166.7.111.177	z-166-7-111-177.ip.fs.fed.us.
166.2.22.221	z-166-2-22-221.ip.fs.fed.us.
72.160.36.159	72-160-36-159.dyn.centurytel.net.
170.144.114.110	z-170-144-114-110.ip.fs.fed.us.
170.144.99.138	z-170-144-99-138.ip.fs.fed.us.
166.5.207.57	z-166-5-207-57.ip.fs.fed.us.
166.5.207.183	z-166-5-207-183.ip.fs.fed.us.
166.2.12.69	z-166-2-12-69.ip.fs.fed.us.
72.160.48.254	72-160-48-254.dyn.centurytel.net.
166.2.12.21	z-166-2-12-21.ip.fs.fed.us.
166.5.207.53	z-166-5-207-53.ip.fs.fed.us.
170.144.108.21	z-170-144-108-21.ip.fs.fed.us.
170.144.104.103	z-170-144-104-103.ip.fs.fed.us.
170.144.111.244	z-170-144-111-244.ip.fs.fed.us.
158.68.192.160	unknown
166.5.175.95	z-166-5-175-95.ip.fs.fed.us.
170.144.119.150	z-170-144-119-150.ip.fs.fed.us.
170.144.123.174	z-170-144-123-174.ip.fs.fed.us.
166.5.180.159	z-166-5-180-159.ip.fs.fed.us.
166.5.148.144	z-166-5-148-144.ip.fs.fed.us.
166.5.175.44	z-166-5-175-44.ip.fs.fed.us.
170.144.123.227	z-170-144-123-227.ip.fs.fed.us.
170.144.214.213	z-170-144-214-213.ip.fs.fed.us.
166.7.111.191	z-166-7-111-191.ip.fs.fed.us.
170.144.96.148	z-170-144-96-148.ip.fs.fed.us.
73.203.98.24	c-73-203-98-24.hsd1.co.comcast.net.
166.5.161.44	z-166-5-161-44.ip.fs.fed.us.
166.2.132.161	z-166-2-132-161.ip.fs.fed.us.
129.101.233.56	CALS-MJ03865Q.ag.uidaho.edu.
129.82.198.34	unknown
166.5.148.73	z-166-5-148-73.ip.fs.fed.us.
166.5.175.107	z-166-5-175-107.ip.fs.fed.us.
166.5.128.35	z-166-5-128-35.ip.fs.fed.us.
166.2.226.180	z-166-2-226-180.ip.fs.fed.us.
170.144.103.228	z-170-144-103-228.ip.fs.fed.us.
166.2.109.185	z-166-2-109-185.ip.fs.fed.us.
166.5.50.146	z-166-5-50-146.ip.fs.fed.us.
166.7.163.81	z-166-7-163-81.ip.fs.fed.us.
129.82.198.35	unknown
129.82.198.30	unknown
71.211.217.230	71-211-217-230.hlrn.qwest.net.
165.83.47.253	unknown
166.7.163.89	z-166-7-163-89.ip.fs.fed.us.
170.144.111.213	z-170-144-111-213.ip.fs.fed.us.
129.82.198.33	unknown
166.2.169.67	z-166-2-169-67.ip.fs.fed.us.
166.7.133.44	z-166-7-133-44.ip.fs.fed.us.
174.16.149.224	174-16-149-224.hlrn.qwest.net.
170.144.97.91	z-170-144-97-91.ip.fs.fed.us.
166.7.136.66	z-166-7-136-66.ip.fs.fed.us.
166.7.82.168	z-166-7-82-168.ip.fs.fed.us.
166.2.109.229	z-166-2-109-229.ip.fs.fed.us.
166.2.54.42	z-166-2-54-42.ip.fs.fed.us.
166.5.213.35	z-166-5-213-35.ip.fs.fed.us.
193.145.230.8	unknown
129.82.198.31	unknown
166.2.12.97	z-166-2-12-97.ip.fs.fed.us.
128.187.97.26	fltr9.byu.edu.
129.82.198.32	unknown
166.6.156.214	z-166-6-156-214.ip.fs.fed.us.
138.4.216.22	unknown
161.213.76.150	unknown
166.5.61.195	z-166-5-61-195.ip.fs.fed.us.
70.89.210.2	70-89-210-2-BusName-spokane.wa.hfc.comcastbusiness.net.
129.82.105.133	nrel-105-133.nrel.colostate.edu.
170.144.109.87	z-170-144-109-87.ip.fs.fed.us.
173.27.190.227	173-27-190-227.client.mchsi.com.
199.156.76.82	199.156.76.82.4k.usda.gov.
166.5.28.217	z-166-5-28-217.ip.fs.fed.us.
129.82.198.36	unknown
166.2.110.150	z-166-2-110-150.ip.fs.fed.us.
166.2.82.63	z-166-2-82-63.ip.fs.fed.us.
128.187.97.22	fltr5.byu.edu.
158.68.66.254	unknown
166.2.69.118	z-166-2-69-118.ip.fs.fed.us.
129.82.175.195	unknown
129.82.198.8	unknown
166.2.77.193	z-166-2-77-193.ip.fs.fed.us.
70.167.252.66	wsip-70-167-252-66.dc.dc.cox.net.
166.6.250.171	z-166-6-250-171.ip.fs.fed.us.
193.153.254.27	27.red-193-153-254.dynamicip.rima-tde.net.
74.203.50.251	74-203-50-251.static.twtelecom.net.
166.6.157.82	z-166-6-157-82.ip.fs.fed.us.
128.187.97.23	fltr6.byu.edu.
10.0.1.17	unknown
166.3.6.41	z-166-3-6-41.ip.fs.fed.us.
170.144.66.214	z-170-144-66-214.ip.fs.fed.us.
50.134.251.247	c-50-134-251-247.hsd1.co.comcast.net.
75.70.64.229	c-75-70-64-229.hsd1.co.comcast.net.
84.123.233.37	84.123.233.37.dyn.user.ono.com.
129.82.115.17	cnr115-17.cnr.colostate.edu.
138.100.95.89	infor15.forestales.upm.es.
138.4.216.182	unknown
166.2.129.203	z-166-2-129-203.ip.fs.fed.us.
166.3.197.64	z-166-3-197-64.ip.fs.fed.us.
73.14.103.231	c-73-14-103-231.hsd1.co.comcast.net.
73.95.8.248	c-73-95-8-248.hsd1.co.comcast.net.
128.187.97.20	fltr3.byu.edu.
138.4.195.174	unknown
38.109.208.132	unknown
66.219.218.25	66-219-218-25.dynamic.ip.veracitynetworks.com.
166.3.196.62	z-166-3-196-62.ip.fs.fed.us.
24.9.120.54	c-24-9-120-54.hsd1.co.comcast.net.
73.14.61.100	c-73-14-61-100.hsd1.co.comcast.net.
73.243.218.139	c-73-243-218-139.hsd1.co.comcast.net.
96.81.62.141	96-81-62-141-static.hfc.comcastbusiness.net.
128.187.97.19	fltr2.byu.edu.
170.144.18.235	z-170-144-18-235.ip.fs.fed.us.
24.9.82.157	c-24-9-82-157.hsd1.co.comcast.net.
73.14.38.239	c-73-14-38-239.hsd1.co.comcast.net.
79.150.173.199	199.red-79-150-173.dynamicip.rima-tde.net.
96.90.172.69	96-90-172-69-static.hfc.comcastbusiness.net.
97.126.148.227	97-126-148-227.slkc.qwest.net.
128.187.97.18	fltr1.byu.edu.
174.29.12.138	174-29-12-138.hlrn.qwest.net.
67.165.246.79	c-67-165-246-79.hsd1.co.comcast.net.
138.100.95.83	infor9.forestales.upm.es.
174.16.177.114	174-16-177-114.hlrn.qwest.net.
199.159.20.139	199.159.20.139.4k.usda.gov.
45.56.46.29	unknown
67.174.121.32	c-67-174-121-32.hsd1.co.comcast.net.
85.52.14.106	106.pool85-52-14.dynamic.orange.es.
129.19.63.3	unknown
129.82.114.110	cnr114-110.cnr.colostate.edu.
129.82.198.13	unknown
166.2.47.168	z-166-2-47-168.ip.fs.fed.us.
166.7.51.73	z-166-7-51-73.ip.fs.fed.us.
170.144.16.223	z-170-144-16-223.ip.fs.fed.us.
45.56.33.121	unknown
50.152.38.5	c-50-152-38-5.hsd1.co.comcast.net.
50.78.200.89	50-78-200-89-static.hfc.comcastbusiness.net.
66.219.236.171	66-219-236-171.dynamic.ip.veracitynetworks.com.
73.229.184.20	c-73-229-184-20.hsd1.co.comcast.net.
73.78.136.116	c-73-78-136-116.hsd1.co.comcast.net.
75.166.119.200	75-166-119-200.hlrn.qwest.net.
75.166.42.27	75-166-42-27.hlrn.qwest.net.
98.245.170.7	c-98-245-170-7.hsd1.co.comcast.net.
166.2.22.155	z-166-2-22-155.ip.fs.fed.us.
166.2.64.221	z-166-2-64-221.ip.fs.fed.us.
166.5.118.240	z-166-5-118-240.ip.fs.fed.us.
24.9.74.164	c-24-9-74-164.hsd1.co.comcast.net.
45.56.11.12	unknown
45.56.37.244	unknown
45.56.42.26	unknown
50.243.140.227	50-243-140-227-static.hfc.comcastbusiness.net.
67.2.241.20	67-2-241-20.slkc.qwest.net.
67.6.174.193	67-6-174-193.hlrn.qwest.net.
73.229.132.207	c-73-229-132-207.hsd1.co.comcast.net.
75.162.112.214	75-162-112-214.slkc.qwest.net.
129.101.49.97	unknown
129.82.114.21	cnr114-21.cnr.colostate.edu.
129.82.30.223	unknown
129.82.30.48	lcl-135.acns.colostate.edu.
166.3.65.173	z-166-3-65-173.ip.fs.fed.us.
174.23.156.115	174-23-156-115.slkc.qwest.net.
184.96.208.47	184-96-208-47.hlrn.qwest.net.
45.56.33.73	unknown
45.56.40.175	unknown
64.234.248.77	77-248-234-64.skybeam.com.
66.219.213.254	66-219-213-254.dynamic.ip.veracitynetworks.com.
71.237.93.16	c-71-237-93-16.hsd1.co.comcast.net.
73.3.231.12	c-73-3-231-12.hsd1.co.comcast.net.
75.166.215.24	75-166-215-24.hlrn.qwest.net.
75.171.191.177	75-171-191-177.hlrn.qwest.net.
88.26.39.161	161.red-88-26-39.staticip.rima-tde.net.
104.167.151.86	unknown
129.19.63.34	unknown
129.82.136.67	unknown
162.219.43.134	unknown
166.3.77.231	z-166-3-77-231.ip.fs.fed.us.
166.6.29.165	z-166-6-29-165.ip.fs.fed.us.
170.144.89.108	z-170-144-89-108.ip.fs.fed.us.
172.17.5.32	unknown
172.17.68.24	unknown
174.29.170.139	174-29-170-139.hlrn.qwest.net.
193.145.230.9	unknown
195.178.73.225	jak-a-c.mendelu.cz.
204.124.92.254	blm-92-254.blm.gov.
24.9.91.101	c-24-9-91-101.hsd1.co.comcast.net.
5.34.134.165	5.34.134.165.dinamic.user.wimaxonline.es.
50.160.44.67	c-50-160-44-67.hsd1.ut.comcast.net.
66.87.151.153	66-87-151-153.pools.spcsdns.net.
73.14.189.136	c-73-14-189-136.hsd1.co.comcast.net.
73.14.99.158	c-73-14-99-158.hsd1.co.comcast.net.
73.181.51.64	c-73-181-51-64.hsd1.co.comcast.net.
73.95.139.43	unknown
97.118.34.188	97-118-34-188.hlrn.qwest.net.
129.82.195.197	unknown
129.82.30.114	lcl-121.acns.colostate.edu.
129.82.30.167	lcl-28.acns.colostate.edu.
138.4.200.92	unknown
