WR	wepp-165516	"08:11 am  Tuesday November 29, 2016"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-10143	"08:03 am  Friday December 2, 2016"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-33660	"09:17 am  Saturday December 3, 2016"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-46952	"05:11 am  Sunday December 4, 2016"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-60561	"05:34 am  Monday December 5, 2016"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-113342	"00:39 am  Wednesday December 7, 2016"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-9683	"12:43 pm  Saturday December 10, 2016"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-19884	"03:44 am  Monday December 12, 2016"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-37438	"05:35 pm  Tuesday December 13, 2016"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-76386	"00:34 am  Thursday December 15, 2016"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-93163	"06:14 pm  Thursday December 15, 2016"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-101034	"03:50 pm  Friday December 16, 2016"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-106808	"01:34 pm  Saturday December 17, 2016"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-114153	"03:30 pm  Sunday December 18, 2016"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-147066	"10:13 pm  Monday December 19, 2016"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-222036	"11:56 pm  Tuesday December 20, 2016"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-3928	"06:29 pm  Wednesday December 21, 2016"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-134114	"03:08 pm  Friday December 23, 2016"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-140171	"05:27 pm  Saturday December 24, 2016"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-162147	"09:51 am  Monday December 26, 2016"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-91189	"09:01 pm  Thursday December 29, 2016"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-102396	"12:44 pm  Saturday December 31, 2016"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-102492	"01:10 pm  Saturday December 31, 2016"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-108306	"09:04 am  Sunday January 1, 2017"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-135064	"00:35 am  Thursday January 5, 2017"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-148160	"00:51 am  Friday January 6, 2017"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-166336	"12:52 pm  Saturday January 7, 2017"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-237351	"09:32 pm  Wednesday January 11, 2017"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-48942	"05:12 am  Friday January 13, 2017"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-70368	"07:10 am  Sunday January 15, 2017"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-76511	"06:30 pm  Sunday January 15, 2017"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-122887	"08:36 am  Tuesday January 17, 2017"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-146495	"03:56 am  Wednesday January 18, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
WD	wepp-176691	"07:45 am  Thursday January 19, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-187969	"02:02 pm  Thursday January 19, 2017"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-216909	"03:35 pm  Friday January 20, 2017"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-219027	"00:26 am  Saturday January 21, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
WD	wepp-226307	"09:30 pm  Saturday January 21, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-227096	"00:27 am  Sunday January 22, 2017"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-237692	"11:15 am  Monday January 23, 2017"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-3556	"10:17 am  Tuesday January 24, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-26987	"06:32 am  Wednesday January 25, 2017"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-42486	"09:49 pm  Wednesday January 25, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
WD	wepp-51152	"11:37 pm  Thursday January 26, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-53574	"07:57 am  Friday January 27, 2017"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-75446	"03:09 pm  Saturday January 28, 2017"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-208400	"08:30 pm  Wednesday February 1, 2017"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-235368	"04:05 am  Friday February 3, 2017"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-61472	"01:18 am  Saturday February 4, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-61484	"01:30 am  Saturday February 4, 2017"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-64567	"11:26 am  Saturday February 4, 2017"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-73665	"08:02 pm  Sunday February 5, 2017"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-75397	"02:43 am  Monday February 6, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-90140	"11:25 pm  Monday February 6, 2017"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-103608	"09:20 pm  Tuesday February 7, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
