WR	wepp-34886	"07:44 pm  Thursday July 28, 2016"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-77827	"Aug 1, 2016"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-89083	"03:41 am  Wednesday August 3, 2016"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-149777	"Aug 8, 2016"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-156916	"07:42 pm  Monday August 8, 2016"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-201045	"07:37 am  Wednesday August 10, 2016"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-46092	"Aug 14, 2016"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-64693	"07:41 am  Tuesday August 16, 2016"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-130940	"Aug 20, 2016"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-153949	"07:50 pm  Sunday August 21, 2016"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-214725	"03:45 am  Thursday August 25, 2016"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-230463	"Aug 26, 2016"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-10689	"07:40 am  Saturday August 27, 2016"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-146586	"Sep 7, 2016"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-146902	"11:30 am  Wednesday September 7, 2016"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-156563	"01:57 am  Thursday September 8, 2016"	""				0	0	0	0	0		0	0	0	0	0	0		""
WD	wepp-72216	"09:29 am  Thursday September 15, 2016"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-97048	"Sep 18, 2016"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-97049	"08:52 am  Sunday September 18, 2016"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-84563	"Sep 23, 2016"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-84564	"06:15 pm  Friday September 23, 2016"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-70607	"Sep 29, 2016"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-70611	"04:03 am  Thursday September 29, 2016"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-91159	"08:07 pm  Thursday September 29, 2016"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-147954	"Oct 4, 2016"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-147957	"12:33 pm  Tuesday October 4, 2016"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-227031	"Oct 9, 2016"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-227032	"09:55 pm  Sunday October 9, 2016"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-20915	"04:35 pm  Saturday October 15, 2016"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-20916	"Oct 15, 2016"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-20917	"04:35 pm  Saturday October 15, 2016"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-1814	"Oct 21, 2016"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-1815	"01:46 am  Friday October 21, 2016"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-111935	"Oct 26, 2016"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-111936	"12:34 pm  Wednesday October 26, 2016"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-151783	"00:11 am  Sunday October 30, 2016"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-169093	"Nov 1, 2016"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-169094	"01:43 am  Tuesday November 1, 2016"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-229775	"Nov 6, 2016"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-229776	"06:40 am  Sunday November 6, 2016"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-142851	"Nov 11, 2016"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-142852	"03:24 pm  Friday November 11, 2016"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-166838	"11:07 pm  Sunday November 13, 2016"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-28619	"Nov 17, 2016"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-28620	"05:16 am  Thursday November 17, 2016"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-108401	"Nov 22, 2016"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-108403	"02:34 pm  Tuesday November 22, 2016"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-153713	"00:14 am  Monday November 28, 2016"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-153754	"Nov 28, 2016"	""			0	0	0	0	0		0	0	0	0	0		""
WD	wepp-157937	"11:22 am  Monday November 28, 2016"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-30056	"07:16 am  Saturday December 3, 2016"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-30076	"Dec 3, 2016"	""			0	0	0	0	0		0	0	0	0	0		""
wt	wepp-3871	"Dec 9, 2016"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-3876	"05:04 pm  Friday December 9, 2016"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-74201	"Dec 14, 2016"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-74202	"10:41 pm  Wednesday December 14, 2016"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-90028	"10:49 am  Thursday December 15, 2016"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-155814	"Dec 20, 2016"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-155815	"05:55 am  Tuesday December 20, 2016"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-145864	"Dec 25, 2016"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-145865	"04:20 pm  Sunday December 25, 2016"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-90783	"Dec 29, 2016"	""			0	0	0	0	0		0	0	0	0	0		""
WD	wepp-92860	"04:01 am  Friday December 30, 2016"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-99815	"02:49 am  Saturday December 31, 2016"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-114690	"Jan 2, 2017"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-142620	"12:05 pm  Thursday January 5, 2017"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-147623	"Jan 5, 2017"	""			0	0	0	0	0		0	0	0	0	0		""
wt	wepp-181663	"Jan 9, 2017"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-229491	"02:54 am  Wednesday January 11, 2017"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-49917	"Jan 13, 2017"	""			0	0	0	0	0		0	0	0	0	0		""
WD	wepp-52118	"10:47 am  Friday January 13, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-98981	"12:20 pm  Monday January 16, 2017"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-114614	"Jan 17, 2017"	""			0	0	0	0	0		0	0	0	0	0		""
wt	wepp-218256	"Jan 20, 2017"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-227061	"11:56 pm  Saturday January 21, 2017"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-7211	"Jan 24, 2017"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-63738	"03:00 pm  Friday January 27, 2017"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-63787	"03:02 pm  Friday January 27, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
