WR	wepp-221742	"00:19 am  Saturday July 21, 2018"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-221743	"Jul 21, 2018"	""			0	0	0	0	0		0	0	0	0	0		""
WD	wepp-29684	"04:37 am  Sunday July 22, 2018"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-113400	"05:18 pm  Thursday July 26, 2018"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-113401	"Jul 26, 2018"	""			0	0	0	0	0		0	0	0	0	0		""
WD	wepp-154964	"02:32 am  Monday July 30, 2018"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-3802	"Aug 1, 2018"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-3805	"10:30 am  Wednesday August 1, 2018"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-228490	"Aug 6, 2018"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-228491	"10:52 pm  Monday August 6, 2018"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-15168	"09:57 am  Wednesday August 8, 2018"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-216672	"Aug 12, 2018"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-216675	"09:06 am  Sunday August 12, 2018"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-23751	"07:00 am  Tuesday August 14, 2018"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-167536	"Aug 18, 2018"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-167537	"00:52 am  Saturday August 18, 2018"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-226397	"05:28 pm  Sunday August 19, 2018"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-182315	"Aug 24, 2018"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-182359	"05:37 am  Friday August 24, 2018"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-83717	"05:12 am  Saturday August 25, 2018"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-55811	"Aug 31, 2018"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-55816	"01:21 pm  Friday August 31, 2018"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-66605	"02:34 am  Saturday September 1, 2018"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-151760	"Sep 8, 2018"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-151763	"06:18 am  Saturday September 8, 2018"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-36959	"12:36 pm  Wednesday September 12, 2018"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-183886	"Sep 13, 2018"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-187955	"04:59 pm  Sunday September 16, 2018"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-119171	"Sep 19, 2018"	""			0	0	0	0	0		0	0	0	0	0		""
WD	wepp-200181	"12:40 pm  Saturday September 22, 2018"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-31825	"Sep 24, 2018"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-85641	"02:28 am  Wednesday September 26, 2018"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-111994	"Sep 30, 2018"	""			0	0	0	0	0		0	0	0	0	0		""
WD	wepp-82386	"09:23 am  Tuesday October 2, 2018"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-50085	"Oct 6, 2018"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-50086	"04:16 pm  Saturday October 6, 2018"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-222612	"Oct 12, 2018"	""			0	0	0	0	0		0	0	0	0	0		""
wt	wepp-135784	"Oct 19, 2018"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-149897	"02:37 am  Saturday October 20, 2018"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-98515	"Oct 27, 2018"	""			0	0	0	0	0		0	0	0	0	0		""
wt	wepp-18831	"Nov 3, 2018"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-23516	"02:42 pm  Saturday November 3, 2018"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-203273	"Nov 9, 2018"	""			0	0	0	0	0		0	0	0	0	0		""
WD	wepp-150373	"06:23 pm  Monday November 12, 2018"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-237501	"Nov 19, 2018"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-238338	"11:57 am  Monday November 19, 2018"	""	1			0	0	0	0	0	0	0	0		
