WE	wepp-94652	"08:24 am  Friday December 30, 2016"	"BREWTON 3 SSE AL"	clay	20	forest	0	50	30	300	l			ft
WE	wepp-23308	"06:45 am  Sunday July 1, 2018"	"BREWTON 3 SSE AL"	clay	20	range	1	50	30	300	l	15	75	ft
WR	wepp-144472	"03:04 pm  Friday July 6, 2018"	""	30	silt	native	200	4	13	15	50	130	25	20	inveg	ft
WR	wepp-144477	"03:04 pm  Friday July 6, 2018"	""	30	silt	native	200	4	13	15	50	130	25	20	inveg	ft
WR	wepp-144481	"03:04 pm  Friday July 6, 2018"	""	30	silt	native	200	4	13	15	50	130	25	20	inveg	ft
WR	wepp-144494	"03:07 pm  Friday July 6, 2018"	""	30	silt	native	200	4	13	15	50	130	25	20	inveg	ft
WR	wepp-144498	"03:07 pm  Friday July 6, 2018"	""	30	silt	native	200	4	13	15	50	130	25	20	outrut	ft
WR	wepp-144503	"03:08 pm  Friday July 6, 2018"	""	30	silt	native	200	4	13	15	50	130	25	20	outrut	ft
WR	wepp-144581	"03:15 pm  Friday July 6, 2018"	""	30	silt	native	200	4	13	15	50	130	25	20	outrut	ft
WR	wepp-144601	"03:18 pm  Friday July 6, 2018"	""	30	silt	native	200	4	13	15	50	130	25	20	outrut	ft
WR	wepp-144605	"03:18 pm  Friday July 6, 2018"	""	30	silt	native	200	4	13	15	50	130	25	20	outrut	ft
WR	wepp-144609	"03:18 pm  Friday July 6, 2018"	""	30	silt	native	200	4	13	15	50	130	25	20	outrut	ft
WR	wepp-144613	"03:19 pm  Friday July 6, 2018"	""	30	silt	native	200	4	13	15	50	130	25	20	outrut	ft
WR	wepp-144617	"03:19 pm  Friday July 6, 2018"	""	30	silt	native	200	4	13	15	50	130	25	20	outrut	ft
WR	wepp-149125	"03:27 pm  Friday July 6, 2018"	""	30	silt	native	200	4	13	15	50	130	25	20	outrut	ft
WR	wepp-149153	"03:27 pm  Friday July 6, 2018"	""	30	clay	native	200	4	13	15	50	130	25	20	inveg	ft
WR	wepp-149484	"03:30 pm  Friday July 6, 2018"	""	30	clay	native	200	4	13	15	50	130	25	20	inveg	ft
WR	wepp-149488	"03:31 pm  Friday July 6, 2018"	""	30	clay	native	200	4	13	15	50	130	25	20	inveg	ft
WE	wepp-149498	"03:32 pm  Friday July 6, 2018"	""	clay	20	forest	1	50	30	300	l			ft
WR	wepp-149565	"03:36 pm  Friday July 6, 2018"	""	30	clay	native	200	4	13	15	50	130	25	20	inveg	ft
WR	wepp-149571	"03:36 pm  Friday July 6, 2018"	""	30	clay	graveled	200	4	13	15	50	130	25	20	inbare	ft
WR	wepp-149594	"03:37 pm  Friday July 6, 2018"	""	30	silt	paved	200	4	13	15	50	130	25	20	outrut	ft
WR	wepp-150071	"05:38 pm  Friday July 6, 2018"	""	30	silt	paved	200	4	13	15	50	130	25	20	outrut	ft
WR	wepp-150075	"05:38 pm  Friday July 6, 2018"	""	20	silt	paved	200	4	13	15	50	130	25	20	outrut	ft
WR	wepp-150135	"05:39 pm  Friday July 6, 2018"	""	20	silt	paved	200	4	13	15	50	130	25	20	outrut	ft
WR	wepp-150149	"05:42 pm  Friday July 6, 2018"	""	20	silt	paved	200	4	13	15	50	130	25	20	outrut	ft
WR	wepp-150153	"05:42 pm  Friday July 6, 2018"	""	20	silt	paved	200	4	13	15	50	130	25	20	outrut	ft
WE	wepp-150783	"07:04 pm  Friday July 6, 2018"	""	sand	20	forest	1	50	30	300	l			ft
WE	wepp-150816	"07:04 pm  Friday July 6, 2018"	""	sand	20	forest	1	50	30	300	l			ft
WE	wepp-177580	"07:25 pm  Friday July 6, 2018"	""	sand	20	forest	1	50	30	300	l			ft
WE	wepp-177685	"07:34 pm  Friday July 6, 2018"	"CHARLESTON KAN AP WV"	sand	20	forest	1	50	30	300	l			ft
WR	wepp-177868	"07:36 pm  Friday July 6, 2018"	"BIRMINGHAM WB AP AL"	30	clay	native	200	4	13	15	50	130	25	20	inveg	ft
WE	wepp-177908	"07:36 pm  Friday July 6, 2018"	"BREWTON 3 SSE AL"	clay	20	forest	0	50	30	300	l			ft
WE	wepp-178033	"07:37 pm  Friday July 6, 2018"	"BREWTON 3 SSE AL"	clay	20	forest	1	50	30	300	l			ft
WE	wepp-178153	"07:37 pm  Friday July 6, 2018"	"BREWTON 3 SSE AL"	clay	20	forest	1	50	30	300	l			ft
WE	wepp-178281	"07:38 pm  Friday July 6, 2018"	"BREWTON 3 SSE AL"	clay	20	forest	1	50	30	300	l			ft
WE	wepp-184186	"07:50 pm  Friday July 6, 2018"	"BREWTON 3 SSE AL"	clay	20	forest	1	50	30	300	l			ft
WE	wepp-184311	"07:51 pm  Friday July 6, 2018"	"DENVER WB AP CO"	clay	20	forest	1	50	30	300	l			ft
WE	wepp-184462	"07:57 pm  Friday July 6, 2018"	"DENVER WB AP CO"	clay	20	forest	1	50	30	300	l			ft
WE	wepp-9479	"06:34 am  Thursday July 12, 2018"	"BREWTON 3 SSE AL"	clay	20	forest	1	50	30	300	l			ft
