WD	wepp-168487	"04:56 am  Monday November 14, 2016"	"BIRMINGHAM WB AP AL"	10	clay	OldForest	50	0	30	100	20	OldForest	50	30	5	100	20	0	ft	""
WD	wepp-168557	"05:01 am  Monday November 14, 2016"	"Wonju KOREA test 2"	10	silt	OldForest	150	20	20	95	20	OldForest	20	20	20	95	20	0	m	""
WD	wepp-168740	"05:05 am  Monday November 14, 2016"	"Wonju KOREA test 2"	30	silt	OldForest	150	20	20	95	20	OldForest	20	20	20	95	20	0	m	""
WD	wepp-168806	"05:10 am  Monday November 14, 2016"	"Wonju KOREA test 2"	30	silt	Bunchgrass	150	20	20	60	20	Bunchgrass	20	20	20	60	20	0	m	""
WD	wepp-168844	"05:11 am  Monday November 14, 2016"	"Wonju KOREA test 2"	30	silt	OldForest	150	20	20	95	20	OldForest	20	20	20	95	20	0	m	""
WD	wepp-168879	"05:12 am  Monday November 14, 2016"	"Wonju KOREA test 2"	30	silt	Bunchgrass	150	20	20	95	20	Bunchgrass	20	20	20	95	20	0	m	""
WD	wepp-168922	"05:17 am  Monday November 14, 2016"	"Wonju KOREA test 2"	30	silt	Shrub	150	20	20	85	20	Shrub	20	20	20	85	20	0	m	""
WD	wepp-168980	"05:20 am  Monday November 14, 2016"	"Wonju KOREA test 2"	30	silt	Sod	150	20	20	40	20	Sod	20	20	20	40	20	0	m	""
WD	wepp-169032	"05:23 am  Monday November 14, 2016"	"Wonju KOREA test 2"	30	silt	Sod	150	20	20	20	20	Sod	20	20	20	20	20	0	m	""
WD	wepp-169106	"05:28 am  Monday November 14, 2016"	"Wonju KOREA test 2"	30	sand	OldForest	150	20	20	95	20	OldForest	20	20	20	95	20	0	m	""
WR	wepp-169216	"05:33 am  Monday November 14, 2016"	"Wonju KOREA test 2"	30	silt	native	120	5	5	5	30	0.3	20	15	inveg	m
WR	wepp-169258	"05:36 am  Monday November 14, 2016"	"Wonju KOREA test 2"	30	silt	native	120	5	5	5	30	0.3	20	15	inveg	m
WR	wepp-169296	"05:38 am  Monday November 14, 2016"	"Wonju KOREA test 2"	30	silt	native	120	5	5	5	30	20	20	15	inveg	m
WD	wepp-208854	"00:09 am  Wednesday November 16, 2016"	"Wonju KOREA test 2"	30	silt	OldForest	150	20	20	95	20	OldForest	20	20	20	95	20	0	m	""
WD	wepp-209059	"00:18 am  Wednesday November 16, 2016"	"Wonju KOREA test 2"	30	silt	Bunchgrass	150	20	20	95	20	Bunchgrass	20	20	20	95	20	0	m	""
WD	wepp-209196	"00:21 am  Wednesday November 16, 2016"	"Wonju KOREA test 2"	30	silt	Shrub	150	20	20	85	20	Shrub	20	20	20	85	20	0	m	""
WD	wepp-209383	"00:23 am  Wednesday November 16, 2016"	"Wonju KOREA test 2"	30	silt	Sod	150	20	20	40	20	Sod	20	20	20	40	20	0	m	""
WD	wepp-209714	"00:29 am  Wednesday November 16, 2016"	"Wonju KOREA test 2"	30	silt	Sod	150	20	20	20	20	Sod	20	20	20	20	20	0	m	""
WD	wepp-209910	"00:33 am  Wednesday November 16, 2016"	"Wonju KOREA test 2"	30	clay	OldForest	150	20	20	95	20	OldForest	20	20	20	95	20	0	m	""
WD	wepp-210316	"00:37 am  Wednesday November 16, 2016"	"Wonju KOREA test 2"	30	sand	OldForest	150	20	20	95	20	OldForest	20	20	20	95	20	0	m	""
WD	wepp-210378	"00:38 am  Wednesday November 16, 2016"	"Wonju KOREA test 2"	30	silt	OldForest	150	20	20	95	20	OldForest	20	20	20	95	20	0	m	""
WD	wepp-210459	"00:39 am  Wednesday November 16, 2016"	"Wonju KOREA test 2"	30	silt	Bunchgrass	150	20	20	95	20	Bunchgrass	20	20	20	95	20	0	m	""
WR	wepp-212511	"01:04 am  Wednesday November 16, 2016"	"Wonju KOREA test 2"	30	silt	native	120	5	5	5	30	0.3	20	15	outrut	m
WR	wepp-212750	"01:07 am  Wednesday November 16, 2016"	"Wonju KOREA test 2"	30	silt	native	120	5	5	5	30	0.3	20	15	outrut	m
WR	wepp-212887	"01:09 am  Wednesday November 16, 2016"	"Wonju KOREA test 2"	30	silt	native	120	5	5	5	30	20	20	15	outrut	m
WR	wepp-212932	"01:09 am  Wednesday November 16, 2016"	"Wonju KOREA test 2"	30	silt	native	120	5	5	5	30	20	20	15	outrut	m
WD	wepp-213244	"01:13 am  Wednesday November 16, 2016"	"Wonju KOREA test 2"	10	silt	OldForest	150	20	20	95	20	OldForest	20	20	20	95	20	0	m	""
WD	wepp-213355	"01:14 am  Wednesday November 16, 2016"	"Wonju KOREA test 2"	30	silt	OldForest	150	20	20	95	20	OldForest	20	20	20	95	20	0	m	""
WD	wepp-213365	"01:14 am  Wednesday November 16, 2016"	"Wonju KOREA test 2"	30	silt	OldForest	150	20	20	95	20	OldForest	20	20	20	95	20	0	m	""
