WD	wepp-230688	"06:55 am  Wednesday November 16, 2016"	"HALEAKALA EXP FARM HI"	10	clay	OldForest	50	20	20	100	20	OldForest	50	20	20	100	20	0	ft	""
WD	wepp-231174	"07:03 am  Wednesday November 16, 2016"	"HALEAKALA EXP FARM HI"	30	silt	OldForest	150	20	20	95	20	OldForest	20	20	20	95	20	0	ft	""
WD	wepp-231287	"07:05 am  Wednesday November 16, 2016"	"HALEAKALA EXP FARM HI"	30	silt	OldForest	150	20	20	95	20	OldForest	20	20	20	95	20	0	m	""
WD	wepp-231495	"07:08 am  Wednesday November 16, 2016"	"HALEAKALA EXP FARM HI"	30	silt	Bunchgrass	150	20	20	60	20	Bunchgrass	20	20	20	60	20	0	m	""
WR	wepp-231920	"07:16 am  Wednesday November 16, 2016"	"HALEAKALA EXP FARM HI"	30	silt	native	120	5	5	5	30	0.3	20	15	outrut	m
WD	wepp-232055	"07:20 am  Wednesday November 16, 2016"	""				0	0	0	0	0		0	0	0	0	0	0		""
WD	wepp-232556	"07:22 am  Wednesday November 16, 2016"	"HALEAKALA EXP FARM HI"	10	silt	OldForest	150	20	20	95	20	OldForest	20	20	20	95	20	0	m	""
WD	wepp-232566	"07:22 am  Wednesday November 16, 2016"	"HALEAKALA EXP FARM HI"	30	silt	OldForest	150	20	20	95	20	OldForest	20	20	20	95	20	0	m	""
WD	wepp-232648	"07:25 am  Wednesday November 16, 2016"	"HALEAKALA EXP FARM HI"	30	silt	Bunchgrass	150	20	20	60	20	Bunchgrass	20	20	20	60	20	0	m	""
WD	wepp-232868	"07:29 am  Wednesday November 16, 2016"	"HALEAKALA EXP FARM HI"	30	silt	Bunchgrass	150	20	20	95	20	Bunchgrass	20	20	20	95	20	0	m	""
WD	wepp-232912	"07:30 am  Wednesday November 16, 2016"	"HALEAKALA EXP FARM HI"	30	silt	Bunchgrass	150	20	20	95	20	Bunchgrass	20	20	20	95	20	0	m	""
WD	wepp-232952	"07:31 am  Wednesday November 16, 2016"	"HALEAKALA EXP FARM HI"	30	silt	Shrub	150	20	20	85	20	Shrub	20	20	20	85	20	0	m	""
WD	wepp-233156	"07:33 am  Wednesday November 16, 2016"	"HALEAKALA EXP FARM HI"	30	silt	Sod	150	20	20	40	20	Sod	20	20	20	40	20	0	m	""
WD	wepp-234822	"07:45 am  Wednesday November 16, 2016"	"HALEAKALA EXP FARM HI"	30	silt	Sod	150	20	20	40	20	Sod	20	20	20	40	20	0	m	""
WD	wepp-235136	"07:47 am  Wednesday November 16, 2016"	"HALEAKALA EXP FARM HI"	30	silt	Sod	150	20	20	20	20	Sod	20	20	20	20	20	0	m	""
WD	wepp-236003	"07:50 am  Wednesday November 16, 2016"	"HALEAKALA EXP FARM HI"	30	silt	Sod	150	20	20	20	20	Sod	20	20	20	20	20	0	m	""
WD	wepp-236217	"07:52 am  Wednesday November 16, 2016"	"HALEAKALA EXP FARM HI"	30	silt	Sod	150	20	20	20	20	Sod	20	20	20	20	20	0	m	""
WD	wepp-236255	"07:52 am  Wednesday November 16, 2016"	"HALEAKALA EXP FARM HI"	30	silt	Sod	150	20	20	40	20	Sod	20	20	20	40	20	0	m	""
WD	wepp-236381	"07:53 am  Wednesday November 16, 2016"	"HALEAKALA EXP FARM HI"	30	silt	Sod	150	20	20	20	20	Sod	20	20	20	20	20	0	m	""
WD	wepp-236670	"07:54 am  Wednesday November 16, 2016"	"HALEAKALA EXP FARM HI"	30	clay	OldForest	150	20	20	95	20	OldForest	20	20	20	95	20	0	m	""
WD	wepp-237110	"07:56 am  Wednesday November 16, 2016"	"HALEAKALA EXP FARM HI"	30	sand	OldForest	150	20	20	95	20	OldForest	20	20	20	95	20	0	m	""
WR	wepp-238097	"08:02 am  Wednesday November 16, 2016"	"HALEAKALA EXP FARM HI"	30	silt	native	120	5	5	5	30	0.3	20	15	outrut	m
WR	wepp-238214	"08:03 am  Wednesday November 16, 2016"	"HALEAKALA EXP FARM HI"	30	silt	native	120	5	5	5	30	0.3	20	15	outrut	m
WR	wepp-238324	"08:04 am  Wednesday November 16, 2016"	"HALEAKALA EXP FARM HI"	30	silt	native	120	5	5	5	30	0.3	20	15	outrut	m
WR	wepp-238368	"08:05 am  Wednesday November 16, 2016"	"HALEAKALA EXP FARM HI"	30	silt	native	120	5	5	5	30	0.3	20	15	outrut	m
WR	wepp-238405	"08:05 am  Wednesday November 16, 2016"	"HALEAKALA EXP FARM HI"	30	silt	native	120	5	5	5	30	0.3	20	15	outrut	m
