WD	wepp-221924	"09:04 am  Wednesday November 26, 2014"	"../working/116_107_21_12_a"	30	silt		100	20	20	95	10	OldForest	50	20	20	95	10	0	m	""
WD	wepp-221934	"09:04 am  Wednesday November 26, 2014"	"Wonju KOREA test 2"	30	silt	OldForest	100	20	20	95	10	OldForest	100	20	20	95	10	0	m	""
WD	wepp-222186	"09:12 am  Wednesday November 26, 2014"	"Wonju KOREA test 2"	30	silt	Bunchgrass	100	20	20	60	10	OldForest	100	20	20	95	10	0	m	""
WD	wepp-222225	"09:12 am  Wednesday November 26, 2014"	"Wonju KOREA test 2"	30	silt	Bunchgrass	100	20	20	60	10	Bunchgrass	100	20	20	60	10	0	m	""
WD	wepp-222277	"09:14 am  Wednesday November 26, 2014"	"Wonju KOREA test 2"	30	silt	Bunchgrass	100	20	20	95	10	Bunchgrass	100	20	20	95	10	0	m	""
WD	wepp-222400	"09:19 am  Wednesday November 26, 2014"	"Wonju KOREA test 2"	30	silt	OldForest	100	20	20	95	10	OldForest	100	20	20	95	10	0	m	""
WD	wepp-222460	"09:20 am  Wednesday November 26, 2014"	"Wonju KOREA test 2"	30	silt	Bunchgrass	100	20	20	95	10	Bunchgrass	100	20	20	95	10	0	m	""
WD	wepp-222551	"09:23 am  Wednesday November 26, 2014"	""				0	0	0	0	0		0	0	0	0	0	0		""
WD	wepp-222618	"09:26 am  Wednesday November 26, 2014"	"Wonju KOREA test 2"	30	silt	OldForest	100	20	20	95	10	OldForest	100	20	20	95	10	0	m	""
WD	wepp-222816	"09:32 am  Wednesday November 26, 2014"	"Wonju KOREA test 2"	30	silt	Sod	100	20	20	50	10	Sod	100	20	20	50	10	0	m	""
WD	wepp-222931	"09:37 am  Wednesday November 26, 2014"	"Wonju KOREA test 2"	30	silt	Shrub	100	20	20	80	10	Shrub	100	20	20	80	10	0	m	""
WD	wepp-223057	"09:42 am  Wednesday November 26, 2014"	"Wonju KOREA test 2"	30	sand	OldForest	100	20	20	95	10	OldForest	100	20	20	95	10	0	m	""
WD	wepp-239401	"03:09 pm  Wednesday November 26, 2014"	"Wonju KOREA test 2"	30	silt	OldForest	100	20	20	95	10	OldForest	100	20	20	95	10	0	m	""
WD	wepp-239975	"03:15 pm  Wednesday November 26, 2014"	"Wonju KOREA test 2"	30	silt	Bunchgrass	100	20	20	95	10	Bunchgrass	100	20	20	95	10	0	m	""
WD	wepp-240534	"03:20 pm  Wednesday November 26, 2014"	"Wonju KOREA test 2"	30	silt	Sod	100	20	20	50	10	Bunchgrass	100	20	20	50	10	0	m	""
WD	wepp-240691	"03:22 pm  Wednesday November 26, 2014"	"Wonju KOREA test 2"	30	silt	Sod	100	20	20	50	10	Sod	100	20	20	50	10	0	m	""
WD	wepp-240946	"03:24 pm  Wednesday November 26, 2014"	"Wonju KOREA test 2"	30	silt	Shrub	100	20	20	80	10	Shrub	100	20	20	80	10	0	m	""
WD	wepp-241170	"03:26 pm  Wednesday November 26, 2014"	"Wonju KOREA test 2"	30	sand	OldForest	100	20	20	95	10	OldForest	100	20	20	95	10	0	m	""
WR	wepp-242882	"03:44 pm  Wednesday November 26, 2014"	"Wonju KOREA test 2"	30	silt	native	100	5	5	5	30	0.3	20	20	outrut	m
WR	wepp-242978	"03:45 pm  Wednesday November 26, 2014"	"Wonju KOREA test 2"	30	silt	native	100	5	5	5	30	0.3	20	10	outrut	m
WR	wepp-243156	"03:47 pm  Wednesday November 26, 2014"	"Wonju KOREA test 2"	30	silt	native	100	5	5	5	30	0.3	20	10	outrut	m
WR	wepp-243434	"03:49 pm  Wednesday November 26, 2014"	"Wonju KOREA test 2"	30	silt	native	100	5	5	5	30	20	10	10	outrut	m
WR	wepp-17087	"00:09 am  Thursday November 27, 2014"	"Wonju KOREA test 2"	30	silt	native	100	5	5	5	30	0.3	20	10	outrut	m
WR	wepp-17134	"00:10 am  Thursday November 27, 2014"	"Wonju KOREA test 2"	30	silt	native	100	5	5	5	30	0.3	20	10	outrut	m
WD	wepp-17418	"00:17 am  Thursday November 27, 2014"	""				0	0	0	0	0		0	0	0	0	0	0		""
WD	wepp-17420	"00:18 am  Thursday November 27, 2014"	""				0	0	0	0	0		0	0	0	0	0	0		""
WD	wepp-17465	"00:19 am  Thursday November 27, 2014"	"Wonju KOREA test 2"	30	silt	HighFire	100	20	20	95	10	HighFire	100	20	20	95	10	0	m	""
WD	wepp-17537	"00:19 am  Thursday November 27, 2014"	"Wonju KOREA test 2"	30	silt	Shrub	100	20	20	95	10	Shrub	100	20	20	95	10	0	m	""
WD	wepp-17809	"00:30 am  Thursday November 27, 2014"	"../working/116_107_21_12_a"	30	silt	OldForest	100	20	20	95	10		100	20	20	95	10	0	ft	""
WD	wepp-17854	"00:30 am  Thursday November 27, 2014"	"Wonju KOREA test 2"	30	silt	OldForest	100	20	20	95	10	OldForest	100	20	20	95	10	0	ft	""
WD	wepp-17967	"00:36 am  Thursday November 27, 2014"	"Wonju KOREA test 2"	30	silt	OldForest	100	20	20	95	10	OldForest	100	20	20	95	10	0	m	""
WD	wepp-18080	"00:41 am  Thursday November 27, 2014"	"Wonju KOREA test 2"	30	silt	Bunchgrass	100	20	20	95	10	Bunchgrass	100	20	20	95	10	0	m	""
WD	wepp-18196	"00:52 am  Thursday November 27, 2014"	"Wonju KOREA test 2"	30	silt	Sod	100	20	20	50	10	Sod	100	20	20	50	10	0	m	""
WD	wepp-18549	"01:01 am  Thursday November 27, 2014"	"Wonju KOREA test 2"	30	silt	Shrub	100	20	20	80	10	Shrub	100	20	20	80	10	0	m	""
WD	wepp-18633	"01:09 am  Thursday November 27, 2014"	"Wonju KOREA test 2"	30	sand	OldForest	100	20	20	95	10	OldForest	100	20	20	95	10	0	m	""
WD	wepp-18833	"01:18 am  Thursday November 27, 2014"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-18970	"01:24 am  Thursday November 27, 2014"	"Wonju KOREA test 2"	30	silt	native	100	5	5	5	30	0.3	20	10	inveg	m
WR	wepp-19286	"01:36 am  Thursday November 27, 2014"	"Wonju KOREA test 2"	30	silt	native	100	5	5	5	30	0.3	20	10	inveg	m
WR	wepp-23426	"05:49 am  Thursday November 27, 2014"	"Wonju KOREA test 2"	30	silt	native	100	5	5	5	30	0.3	20	10	outrut	m
WR	wepp-23569	"05:53 am  Thursday November 27, 2014"	"Wonju KOREA test 2"	30	silt	native	100	5	5	5	30	0.3	20	10	outrut	m
WR	wepp-23988	"06:01 am  Thursday November 27, 2014"	"Wonju KOREA test 2"	30	silt	native	100	5	5	5	30	0.3	20	10	outrut	m
WR	wepp-24179	"06:02 am  Thursday November 27, 2014"	"Wonju KOREA test 2"	30	silt	native	100	5	5	5	30	20	10	10	outrut	m
WR	wepp-26265	"06:31 am  Thursday November 27, 2014"	"Wonju KOREA test 2"	30	silt	native	100	5	5	5	30	0.3	20	10	inveg	m
WR	wepp-26319	"06:31 am  Thursday November 27, 2014"	"Wonju KOREA test 2"	30	sand	native	100	5	5	5	30	0.3	20	10	outrut	m
WR	wepp-26383	"06:31 am  Thursday November 27, 2014"	"Wonju KOREA test 2"	30	silt	native	100	5	5	5	30	0.3	20	10	inveg	m
