WR	wepp-1853	"06:24 pm  Wednesday March 8, 2017"	"FLAGSTAFF WB AP AZ"	30	sand	graveled	820	5	16.4	13.12	50	114.82	40	20	inveg	ft
WR	wepp-1900	"06:26 pm  Wednesday March 8, 2017"	"FLAGSTAFF WB AP AZ"	30	sand	graveled	820	5	16.4	13.12	50	114.82	40	20	outrut	ft
WR	wepp-1940	"06:27 pm  Wednesday March 8, 2017"	"FLAGSTAFF WB AP AZ"	30	sand	graveled	820	5	16.4	13.12	50	114.82	40	20	outunrut	ft
WR	wepp-1979	"06:27 pm  Wednesday March 8, 2017"	"FLAGSTAFF WB AP AZ"	30	sand	graveled	820	5	16.4	13.12	50	114.82	40	20	outrut	ft
WR	wepp-2057	"06:29 pm  Wednesday March 8, 2017"	"FLAGSTAFF WB AP AZ"	30	sand	graveled	820	5	16.4	13.12	50	114.82	40	20	outrut	ft
WR	wepp-2199	"06:31 pm  Wednesday March 8, 2017"	"FLAGSTAFF WB AP AZ"	30	sand	graveled	820	5	16.4	13.12	50	114.82	40	20	outunrut	ft
WR	wepp-2240	"06:32 pm  Wednesday March 8, 2017"	"FLAGSTAFF WB AP AZ"	30	sand	graveled	820	5	16.4	13.12	50	114.82	40	20	outrut	ft
WR	wepp-2459	"06:34 pm  Wednesday March 8, 2017"	"FLAGSTAFF WB AP AZ"	30	sand	graveled	820	5	16.4	13.12	50	114.82	40	20	outunrut	ft
WR	wepp-2534	"06:35 pm  Wednesday March 8, 2017"	"FLAGSTAFF WB AP AZ"	30	sand	graveled	820	5	16.4	13.12	50	114.82	40	20	outrut	ft
WR	wepp-2575	"06:35 pm  Wednesday March 8, 2017"	"FLAGSTAFF WB AP AZ"	30	sand	graveled	820	5	16.4	13.12	50	114.82	40	20	outunrut	ft
WD	wepp-3289	"06:48 pm  Wednesday March 8, 2017"	"BIRMINGHAM WB AP AL"	10	clay	Skid	50	0	30	60	20	OldForest	50	30	5	100	20	0	ft	""
WD	wepp-3759	"07:07 pm  Wednesday March 8, 2017"	"CHARLESTON KAN AP WV"	10	clay	Skid	131.23	50	50	30	20	Skid	131.23	50	50	30	20	0	ft	""
WD	wepp-3855	"07:08 pm  Wednesday March 8, 2017"	"CHARLESTON KAN AP WV"	10	clay	Skid	131.23	50	50	60	20	Skid	131.23	50	50	60	20	0	ft	""
WD	wepp-3865	"07:09 pm  Wednesday March 8, 2017"	"CHARLESTON KAN AP WV"	10	clay	Skid	131.23	50	50	100	20	Skid	131.23	50	50	100	20	0	ft	""
WD	wepp-3913	"07:09 pm  Wednesday March 8, 2017"	"CHARLESTON KAN AP WV"	10	clay	Bunchgrass	131.23	50	50	100	20	Bunchgrass	131.23	50	50	100	20	0	ft	""
