WD	wepp-80090	"02:00 pm  Sunday September 22, 2019"	"MOUNT SHASTA CA"	10	silt	OldForest	50	0	30	100	20	Skid	50	30	5	20	20	0	ft	""
wt	wepp-102553	"Sep 26, 2019"	"BIRMINGHAM WB AP AL"	granitic	OldForest	0	30	50	100	20	YoungForest	30	5	50	100	20	m	""
WF	wepp-102683	"08:03 pm  Thursday September 26, 2019"	"MOSCOW U OF I ID                        1"	clay	200	50	0	30	15	40	20	20	4	ft
WF	wepp-102718	"08:03 pm  Thursday September 26, 2019"	"MOSCOW U OF I ID                        1"	clay	200	50	0	30	15	40	20	20	4	ft
WF	wepp-102809	"08:04 pm  Thursday September 26, 2019"	"MOSCOW U OF I ID                        1"	clay	200	50	0	30	15	40	20	20	4	ft
WF	wepp-102802	"08:04 pm  Thursday September 26, 2019"	"MOSCOW U OF I ID                        1"	clay	200	50	0	30	15	40	20	20	4	ft
WF	wepp-102823	"08:04 pm  Thursday September 26, 2019"	"MOSCOW U OF I ID                        1"	clay	200	50	0	30	15	40	20	20	4	ft
WF	wepp-102820	"08:04 pm  Thursday September 26, 2019"	"MOSCOW U OF I ID                        1"	clay	200	50	0	30	15	40	20	20	4	ft
WF	wepp-102834	"08:04 pm  Thursday September 26, 2019"	"MOSCOW U OF I ID                        1"	clay	200	50	0	30	15	40	20	20	4	ft
WF	wepp-102847	"08:04 pm  Thursday September 26, 2019"	"MOSCOW U OF I ID                        1"	clay	200	50	0	30	15	40	20	20	4	ft
WF	wepp-102856	"08:04 pm  Thursday September 26, 2019"	"MOSCOW U OF I ID                        1"	clay	200	50	0	30	15	40	20	20	4	ft
WF	wepp-102867	"08:04 pm  Thursday September 26, 2019"	"MOSCOW U OF I ID                        1"	clay	200	50	0	30	15	40	20	20	4	ft
WF	wepp-102874	"08:04 pm  Thursday September 26, 2019"	"MOSCOW U OF I ID                        1"	clay	200	50	0	30	15	40	20	20	4	ft
WF	wepp-102904	"08:04 pm  Thursday September 26, 2019"	"MOSCOW U OF I ID                        1"	clay	200	50	0	30	15	40	20	20	4	ft
WF	wepp-102922	"08:04 pm  Thursday September 26, 2019"	"MOSCOW U OF I ID                        1"	clay	200	50	0	30	15	40	20	20	4	ft
WF	wepp-102888	"08:04 pm  Thursday September 26, 2019"	"MOSCOW U OF I ID                        1"	clay	200	50	0	30	15	40	20	20	4	ft
WF	wepp-103086	"08:04 pm  Thursday September 26, 2019"	"BIRMINGHAM WB AP AL"	clay	200	50	0	30	15	40	20	20	4	ft
WR	wepp-103535	"08:04 pm  Thursday September 26, 2019"	"ALBIA IA"	30	clay	native	60	4	4	5	50	40	25	20	inveg	m
WR	wepp-103577	"08:05 pm  Thursday September 26, 2019"	"ALBIA IA"	30	clay	native	60	4	4	5	50	40	25	20	inveg	m
WR	wepp-105050	"08:57 pm  Thursday September 26, 2019"	"BIRMINGHAM WB AP AL"	30	silt	graveled	200	4	13	15	50	130	25	20	inveg	ft
WR	wepp-105356	"09:10 pm  Thursday September 26, 2019"	"ALBIA IA"	30	clay	native	200	4	13	15	50	130	25	20	inveg	ft
WR	wepp-105432	"09:14 pm  Thursday September 26, 2019"	"ALBIA IA"	30	clay	native	200	40	13	15	50	130	25	20	inveg	ft
WR	wepp-105478	"09:14 pm  Thursday September 26, 2019"	"ALBIA IA"	30	clay	native	200	4	13	15	50	130	25	20	inveg	ft
WE	wepp-105917	"09:33 pm  Thursday September 26, 2019"	"DENVER WB AP CO"	silt	20	chap	0	50	30	300	l	80	0	ft
WD	wepp-106193	"09:40 pm  Thursday September 26, 2019"	"CHARLESTON KAN AP WV"	10	silt	LowFire	50	0	30	85	20	Bunchgrass	50	30	5	60	20	0	ft	""
WD	wepp-106344	"09:47 pm  Thursday September 26, 2019"	"CHARLESTON KAN AP WV"	10	silt	HighFire	50	0	30	45	20	OldForest	50	30	5	100	20	0	ft	""
WD	wepp-106391	"09:48 pm  Thursday September 26, 2019"	"CHARLESTON KAN AP WV"	10	silt	HighFire	50	0	30	45	20	OldForest	50	30	5	100	20	0	ft	""
WF	wepp-106471	"09:51 pm  Thursday September 26, 2019"	"ALBIA IA"	clay	200	50	0	30	15	40	20	20	4	ft
WF	wepp-106558	"09:51 pm  Thursday September 26, 2019"	"ALBIA IA"	clay	200	50	0	30	15	40	20	20	4	ft
WF	wepp-106680	"09:59 pm  Thursday September 26, 2019"	"BIRMINGHAM WB AP AL"	silt	300	100	0	30	15	40	20	20	4	ft
