WR	wepp-8795	"03:19 pm  Thursday November 8, 2012"	"FORT BRAGG CA"	30	sand	graveled	150	2	16	15	50	100	50	20	outrut	ft
WD	wepp-10613	"04:19 pm  Thursday November 8, 2012"	"SANTA CRUZ CA"	10	clay	OldForest	400	80	80	100	5	OldForest	50	80	5	100	5	0	ft	""
WD	wepp-10697	"04:19 pm  Thursday November 8, 2012"	"SANTA CRUZ CA"	10	silt	OldForest	400	80	80	100	5	OldForest	50	80	5	100	5	0	ft	""
WD	wepp-10887	"04:20 pm  Thursday November 8, 2012"	"SANTA CRUZ CA"	10	silt	OldForest	400	80	80	85	5	OldForest	50	80	5	100	5	0	ft	""
WD	wepp-11075	"04:20 pm  Thursday November 8, 2012"	"SANTA CRUZ CA"	30	silt	OldForest	400	80	80	85	5	OldForest	50	80	5	100	5	0	ft	""
WR	wepp-11658	"04:35 pm  Thursday November 8, 2012"	"FORT BRAGG CA"	30	sand	graveled	81.3	4	16	12	81	25	80	20	outrut	ft
WR	wepp-11832	"04:39 pm  Thursday November 8, 2012"	"FORT BRAGG CA"	30	sand	graveled	81.3	4	16	12	81	25	80	20	outrut	ft
WR	wepp-12084	"04:42 pm  Thursday November 8, 2012"	"FORT BRAGG CA"	30	sand	graveled	71.3	5	16	10	59	25	80	20	outrut	ft
WR	wepp-12147	"04:42 pm  Thursday November 8, 2012"	"FORT BRAGG CA"	30	sand	graveled	71.3	5	16	10	59	25	80	20	outrut	ft
WR	wepp-12183	"04:43 pm  Thursday November 8, 2012"	"FORT BRAGG CA"	30	sand	graveled	10	5	20	10	40	25	80	20	outrut	ft
WR	wepp-12231	"04:44 pm  Thursday November 8, 2012"	"FORT BRAGG CA"	30	sand	graveled	10	5	20	10	40	25	80	20	outrut	ft
WR	wepp-12492	"04:45 pm  Thursday November 8, 2012"	"FORT BRAGG CA"	30	sand	graveled	123.8	7	16	12	65	25	80	20	outrut	ft
WR	wepp-12543	"04:45 pm  Thursday November 8, 2012"	"FORT BRAGG CA"	30	sand	graveled	123.8	7	16	12	65	25	80	20	outrut	ft
WR	wepp-12721	"04:47 pm  Thursday November 8, 2012"	"FORT BRAGG CA"	30	sand	graveled	89.4	1	16	10	55	25	80	20	outrut	ft
WR	wepp-12821	"04:47 pm  Thursday November 8, 2012"	"FORT BRAGG CA"	30	sand	graveled	89.4	1	16	10	55	25	80	20	outrut	ft
WR	wepp-12891	"04:48 pm  Thursday November 8, 2012"	"FORT BRAGG CA"	30	sand	graveled	75	11	16	10	50	25	80	20	outrut	ft
WR	wepp-12934	"04:48 pm  Thursday November 8, 2012"	"FORT BRAGG CA"	30	sand	graveled	75	11	16	10	50	25	80	20	outrut	ft
WR	wepp-13001	"04:49 pm  Thursday November 8, 2012"	"FORT BRAGG CA"	30	sand	graveled	81.3	6	16	12	81	25	80	20	outrut	ft
WR	wepp-13048	"04:50 pm  Thursday November 8, 2012"	"FORT BRAGG CA"	30	sand	graveled	81.3	6	16	12	81	25	80	20	outrut	ft
WR	wepp-13252	"04:52 pm  Thursday November 8, 2012"	"FORT BRAGG CA"	30	sand	native	75	11	16	10	50	25	80	20	outrut	ft
WR	wepp-13356	"04:53 pm  Thursday November 8, 2012"	"FORT BRAGG CA"	30	sand	native	75	11	16	10	50	25	80	20	outrut	ft
WR	wepp-13453	"04:54 pm  Thursday November 8, 2012"	"FORT BRAGG CA"	30	sand	native	71.3	5	16	10	59	25	80	20	outrut	ft
WR	wepp-13493	"04:55 pm  Thursday November 8, 2012"	"FORT BRAGG CA"	30	sand	native	71.3	5	16	10	59	25	80	20	outrut	ft
WR	wepp-25677	"09:35 am  Wednesday November 14, 2012"	"FORT BRAGG CA"	30	sand	graveled	81.3	6	16	12	81	25	80	20	outrut	ft
WR	wepp-25722	"09:35 am  Wednesday November 14, 2012"	"FORT BRAGG CA"	30	sand	graveled	81.3	6	16	12	81	25	80	20	outrut	ft
WR	wepp-25783	"09:36 am  Wednesday November 14, 2012"	"FORT BRAGG CA"	30	sand	graveled	10	5	20	10	40	25	80	20	outrut	ft
WR	wepp-25826	"09:37 am  Wednesday November 14, 2012"	"FORT BRAGG CA"	30	sand	graveled	10	5	20	10	40	25	80	20	outrut	ft
WR	wepp-25883	"09:38 am  Wednesday November 14, 2012"	"FORT BRAGG CA"	30	sand	graveled	123.8	7	16	12	65	25	80	20	outrut	ft
WR	wepp-25905	"09:38 am  Wednesday November 14, 2012"	"FORT BRAGG CA"	30	sand	graveled	123.8	7	16	12	65	25	80	20	outrut	ft
WR	wepp-25930	"09:39 am  Wednesday November 14, 2012"	"FORT BRAGG CA"	30	sand	graveled	89.4	1	16	10	55	25	80	20	outrut	ft
WR	wepp-25950	"09:39 am  Wednesday November 14, 2012"	"FORT BRAGG CA"	30	sand	graveled	89.4	1	16	10	55	25	80	20	outrut	ft
WR	wepp-25970	"09:40 am  Wednesday November 14, 2012"	"FORT BRAGG CA"	30	sand	native	71.3	5	16	10	59	25	80	20	outrut	ft
WR	wepp-25991	"09:40 am  Wednesday November 14, 2012"	"FORT BRAGG CA"	30	sand	native	71.3	5	16	10	59	25	80	20	outrut	ft
WR	wepp-26014	"09:41 am  Wednesday November 14, 2012"	"FORT BRAGG CA"	30	sand	native	75	11	16	10	50	25	80	20	outrut	ft
WR	wepp-26035	"09:41 am  Wednesday November 14, 2012"	"FORT BRAGG CA"	30	sand	native	75	11	16	10	50	25	80	20	outrut	ft
WD	wepp-23376	"02:51 pm  Tuesday June 3, 2014"	"SAN LUIS OBISPO POL CA"	10	clay	Shrub	112.5	0	65	95	15	Shrub	112.5	0	55	85	15	0	ft	""
WD	wepp-23414	"02:52 pm  Tuesday June 3, 2014"	"SAN LUIS OBISPO POL CA"	10	clay	Shrub	112.5	0	65	95	15	Shrub	112.5	0	55	85	15	0	ft	""
WD	wepp-23454	"02:54 pm  Tuesday June 3, 2014"	"SAN LUIS OBISPO POL CA"	10	clay	HighFire	112.5	0	65	45	15	HighFire	112.5	0	55	45	15	0	ft	""
WR	wepp-128971	"08:29 am  Tuesday October 27, 2015"	"SAN LUIS OBISPO POL CA"	30	loam	native	150	10	16	14	35	75	20	10	outrut	ft
WR	wepp-129195	"08:30 am  Tuesday October 27, 2015"	"SAN LUIS OBISPO POL CA"	30	loam	native	150	10	16	4	35	75	20	10	outrut	ft
