WR	wepp-30392	"08:58 am  Tuesday November 17, 2009"	"SEELEY LAKE RS MT 22.55 +"	1	clay	native	200	4	13	15	50	130	25	20	inveg
WR	wepp-30447	"08:59 am  Tuesday November 17, 2009"	"SEELEY LAKE RS MT 22.55 +"	1	clay	native	200	4	13	15	50	130	25	20	inveg
WR	wepp-31018	"09:13 am  Tuesday November 17, 2009"	"Lake Wilson, AR +"	30	clay	native	200	4	13	15	50	130	25	20	inveg
WR	wepp-31392	"09:25 am  Tuesday November 17, 2009"	"Lake Wilson, AR +"	1	loam	native	200	4	13	15	50	130	25	40	inveg
WR	wepp-31572	"09:29 am  Tuesday November 17, 2009"	"Lake Wilson, AR +"	1	loam	graveled	200	4	13	15	50	130	25	40	inveg
WR	wepp-31884	"09:36 am  Tuesday November 17, 2009"	"Lake Wilson, AR +"	1	loam	graveled	200	4	13	15	50	50	5	40	inveg
WR	wepp-32007	"09:40 am  Tuesday November 17, 2009"	"Lake Wilson, AR +"	1	loam	graveled	200	4	13	15	50	50	5	40	outunrut
WR	wepp-32202	"09:44 am  Tuesday November 17, 2009"	"Lake Wilson, AR +"	1	loam	paved	200	4	13	15	50	50	5	40	inbare
WR	wepp-32402	"09:46 am  Tuesday November 17, 2009"	"Lake Wilson, AR +"	1	loam	paved	200	4	13	15	50	50	5	40	inveg
WD	wepp-15821	"08:59 am  Wednesday November 18, 2009"	"Lake Wilson, AR +"	10	loam	tree20	54.8780487804878	5	10	100	40	tree5	7.62195121951219	10	14	100	40	0	ft	""
WD	wepp-16066	"09:13 am  Wednesday November 18, 2009"	"Lake Wilson, AR +"	10	loam	shrub	54.8780487804878	5	10	85	40	tree5	7.62195121951219	10	14	100	40	0	ft	""
WD	wepp-16324	"09:15 am  Wednesday November 18, 2009"	"Lake Wilson, AR +"	10	loam	shrub	54.8780487804878	5	10	60	40	tree5	7.62195121951219	10	14	100	40	0	ft	""
WD	wepp-16738	"09:30 am  Wednesday November 18, 2009"	"Lake Wilson, AR +"	10	loam	shrub	54.8780487804878	5	10	60	40	tree20	7.62195121951219	10	14	100	40	0	ft	""
WD	wepp-17057	"09:42 am  Wednesday November 18, 2009"	"Lake Wilson, AR +"	10	loam	low	54.8780487804878	5	10	86	40	tree20	7.62195121951219	10	14	100	40	0	ft	""
