WE	wepp-25970	"02:30 pm  Tuesday September 21, 1915"	"RENO WSFO AP NV"	clay	20	range	0	50	30	300	h	15	75	ft
WE	wepp-78470	"01:15 pm  Monday November 5, 2018"	"RENO WSFO AP NV"	clay	20	range	0	50	30	300	l	15	75	ft
WE	wepp-78596	"01:16 pm  Monday November 5, 2018"	"RENO WSFO AP NV"	clay	20	range	0	50	30	300	h	15	75	ft
WB	wepp-78809	"01:17 pm  Monday November 5, 2018"	"RENO WSFO AP NV"	clay	200	50	0	30	15	40	20	20	4	ft
WB	wepp-78852	"01:17 pm  Monday November 5, 2018"	"RENO WSFO AP NV"	clay	200	50	0	30	15	40	20	20	4	ft
WB	wepp-78888	"01:17 pm  Monday November 5, 2018"	"RENO WSFO AP NV"	clay	200	50	0	30	15	40	20	20	4	ft
WB	wepp-78964	"01:17 pm  Monday November 5, 2018"	"RENO WSFO AP NV"	clay	200	50	0	30	15	40	20	20	4	ft
WB	wepp-78975	"01:17 pm  Monday November 5, 2018"	"RENO WSFO AP NV"	clay	200	50	0	30	15	40	20	20	4	ft
WB	wepp-78982	"01:17 pm  Monday November 5, 2018"	"RENO WSFO AP NV"	clay	200	50	0	30	15	40	20	20	4	ft
WE	wepp-57838	"01:41 pm  Thursday December 20, 2018"	"RENO WSFO AP NV"	clay	20	forest	0	50	30	300	l			ft
WD	wepp-83008	"10:00 am  Wednesday June 19, 2019"	"FLAGSTAFF WB AP AZ"	10	clay	OldForest	50	0	30	100	20	OldForest	50	30	5	100	20	0	ft	""
