WE	wepp-5672	"01:20 pm  Friday May 17, 2013"	"North 25 - Rill - CJB +"	clay	20	forest	0	50	30	100	l			m
WE	wepp-5819	"01:32 pm  Friday May 17, 2013"	"North 25 - Rill - CJB +"	sand	5	forest	20	20	20	29.53	h			ft
WE	wepp-5912	"01:34 pm  Friday May 17, 2013"	"North 25 - Rill - CJB +"	sand	5	forest	40	40	40	29.53	h			ft
WE	wepp-6183	"01:53 pm  Friday May 17, 2013"	"North 25 - Rill - CJB +"	sand	5	forest	15	15	15	12.97	h			ft
WE	wepp-6273	"01:53 pm  Friday May 17, 2013"	"North 25 - Rill - CJB +"	sand	5	forest	20	20	20	12.87	h			ft
WE	wepp-6362	"01:53 pm  Friday May 17, 2013"	"North 25 - Rill - CJB +"	sand	5	forest	30	30	30	12.57	h			ft
WE	wepp-6451	"01:54 pm  Friday May 17, 2013"	"North 25 - Rill - CJB +"	sand	5	forest	40	40	40	12.18	h			ft
WE	wepp-6543	"01:54 pm  Friday May 17, 2013"	"North 25 - Rill - CJB +"	sand	5	forest	50	50	50	11.73	h			ft
WE	wepp-6633	"01:54 pm  Friday May 17, 2013"	"North 25 - Rill - CJB +"	sand	5	forest	60	60	60	11.25	h			ft
WE	wepp-6750	"01:55 pm  Friday May 17, 2013"	"North 25 - Rill - CJB +"	sand	5	forest	65	65	65	11	h			ft
WE	wepp-6839	"01:55 pm  Friday May 17, 2013"	"North 25 - Rill - CJB +"	sand	5	forest	15	15	15	29.2	h			ft
WE	wepp-6928	"01:55 pm  Friday May 17, 2013"	"North 25 - Rill - CJB +"	sand	5	forest	20	20	20	28.96	h			ft
WE	wepp-7017	"01:56 pm  Friday May 17, 2013"	"North 25 - Rill - CJB +"	sand	5	forest	30	30	30	28.28	h			ft
WE	wepp-7107	"01:56 pm  Friday May 17, 2013"	"North 25 - Rill - CJB +"	sand	5	forest	40	40	40	27.42	h			ft
WE	wepp-7196	"01:56 pm  Friday May 17, 2013"	"North 25 - Rill - CJB +"	sand	5	forest	50	50	50	26.41	h			ft
WE	wepp-7285	"01:56 pm  Friday May 17, 2013"	"North 25 - Rill - CJB +"	sand	5	forest	60	60	60	25.32	h			ft
WE	wepp-7374	"01:57 pm  Friday May 17, 2013"	"North 25 - Rill - CJB +"	sand	5	forest	65	65	65	24.76	h			ft
WE	wepp-7463	"01:57 pm  Friday May 17, 2013"	"Tripod - Rills - CJB +"	sand	5	forest	20	20	20	28.96	h			ft
WE	wepp-7552	"01:57 pm  Friday May 17, 2013"	"Tripod - Rills - CJB +"	sand	5	forest	30	30	30	27.42	h			ft
WE	wepp-7641	"01:58 pm  Friday May 17, 2013"	"Tripod - Rills - CJB +"	sand	5	forest	40	40	40	27.42	h			ft
WE	wepp-7730	"01:58 pm  Friday May 17, 2013"	"Columbia - Rills - CJB +"	silt	5	forest	20	20	20	28.96	h			ft
WE	wepp-7819	"01:58 pm  Friday May 17, 2013"	"Columbia - Rills - CJB +"	silt	5	forest	30	30	30	28.28	h			ft
WE	wepp-7908	"01:59 pm  Friday May 17, 2013"	"Columbia - Rills - CJB +"	silt	5	forest	40	40	40	27.42	h			ft
WE	wepp-7997	"01:59 pm  Friday May 17, 2013"	"Columbia - Rills - CJB +"	silt	5	forest	50	50	50	26.41	h			ft
WE	wepp-8086	"01:59 pm  Friday May 17, 2013"	"School - Rill - CJB +"	silt	5	forest	20	20	20	28.96	h			ft
WE	wepp-8221	"02:00 pm  Friday May 17, 2013"	"School - Rill - CJB +"	silt	5	forest	30	30	30	28.28	h			ft
WE	wepp-8310	"02:00 pm  Friday May 17, 2013"	"School - Rill - CJB +"	silt	5	forest	40	40	40	27.42	h			ft
WE	wepp-8399	"02:00 pm  Friday May 17, 2013"	""	sand	5	forest	20	20	20	28.28	h			ft
