WE	wepp-99721	"02:10 pm  Tuesday November 19, 2019"	"TAHOE CA"	silt	20	forest	0	50	30	300	l			ft
WE	wepp-105620	"02:16 pm  Tuesday November 19, 2019"	"TAHOE CA"	silt	20	forest	0	50	30	300	h			ft
WE	wepp-105946	"02:17 pm  Tuesday November 19, 2019"	"TAHOE CA"	silt	20	forest	0	50	30	300	h			ft
WE	wepp-107631	"02:18 pm  Tuesday November 19, 2019"	"TAHOE CA"	silt	20	range	0	50	30	300	l	20	70	ft
WE	wepp-108183	"02:19 pm  Tuesday November 19, 2019"	"TAHOE CA"	silt	20	range	0	50	30	300	h	20	70	ft
WE	wepp-109186	"02:20 pm  Tuesday November 19, 2019"	"TAHOE CA"	silt	20	chap	0	50	30	300	l	20	70	ft
WE	wepp-110234	"02:20 pm  Tuesday November 19, 2019"	"TAHOE CA"	silt	20	chap	0	50	30	300	h	20	70	ft
WR	wepp-112873	"02:28 pm  Tuesday November 19, 2019"	"TAHOE CA"	30	silt	native	200	4	13	15	50	130	25	20	inveg	ft
WR	wepp-112955	"02:28 pm  Tuesday November 19, 2019"	"TAHOE CA"	30	silt	native	200	4	13	15	50	130	25	20	inveg	ft
WR	wepp-113185	"02:29 pm  Tuesday November 19, 2019"	"TAHOE CA"	30	silt	native	200	5	13	15	50	50	25	20	outrut	ft
WR	wepp-113602	"02:30 pm  Tuesday November 19, 2019"	"TAHOE CA"	30	silt	native	200	15	13	15	50	50	25	20	outrut	ft
WR	wepp-113981	"02:30 pm  Tuesday November 19, 2019"	"TAHOE CA"	30	silt	native	200	15	13	15	50	150	25	20	outrut	ft
WR	wepp-114283	"02:31 pm  Tuesday November 19, 2019"	"TAHOE CA"	30	silt	native	200	15	13	15	50	150	25	20	outrut	ft
WR	wepp-114451	"02:32 pm  Tuesday November 19, 2019"	"TAHOE CA"	30	silt	native	200	15	13	15	50	150	25	20	outrut	ft
WR	wepp-114645	"02:32 pm  Tuesday November 19, 2019"	"TAHOE CA"	30	silt	native	200	5	13	15	50	150	25	20	outrut	ft
WR	wepp-115098	"02:33 pm  Tuesday November 19, 2019"	"TAHOE CA"	30	silt	native	200	15	13	15	50	150	25	20	outrut	ft
WR	wepp-115244	"02:34 pm  Tuesday November 19, 2019"	"TAHOE CA"	30	silt	graveled	200	5	13	15	50	50	25	20	outrut	ft
WR	wepp-115492	"02:34 pm  Tuesday November 19, 2019"	"TAHOE CA"	30	silt	graveled	200	15	13	15	50	50	25	20	outrut	ft
WR	wepp-115596	"02:35 pm  Tuesday November 19, 2019"	"TAHOE CA"	30	silt	graveled	200	5	13	15	50	150	25	20	outrut	ft
WR	wepp-115800	"02:36 pm  Tuesday November 19, 2019"	"TAHOE CA"	30	silt	graveled	200	15	13	15	50	150	25	20	outrut	ft
WE	wepp-118218	"02:53 pm  Tuesday November 19, 2019"	"TAHOE CA"	silt	20	chap	0	50	30	300	h	20	70	ft
WE	wepp-118356	"02:53 pm  Tuesday November 19, 2019"	"TAHOE CA"	silt	20	chap	0	50	30	300	h	20	70	ft
WE	wepp-118678	"02:54 pm  Tuesday November 19, 2019"	"TAHOE CA"	silt	20	range	0	50	30	300	h	20	70	ft
WE	wepp-119066	"02:56 pm  Tuesday November 19, 2019"	"TAHOE CA"	silt	20	range	0	50	30	300	h	20	70	ft
WE	wepp-119280	"02:56 pm  Tuesday November 19, 2019"	"TAHOE CA"	silt	20	range	0	50	30	300	l	20	70	ft
WE	wepp-119405	"02:57 pm  Tuesday November 19, 2019"	"TAHOE CA"	silt	20	range	0	50	30	300	l	20	70	ft
WE	wepp-119661	"02:58 pm  Tuesday November 19, 2019"	"TAHOE CA"	silt	20	range	0	50	30	300	h	20	70	ft
WE	wepp-120473	"03:10 pm  Tuesday November 19, 2019"	"TAHOE CA"	silt	20	chap	0	50	30	300	h	20	70	ft
WE	wepp-120681	"03:11 pm  Tuesday November 19, 2019"	"TAHOE CA"	silt	20	range	0	50	30	300	h	20	70	ft
WE	wepp-121042	"11:13 pm  Tuesday November 19, 2019"	"TAHOE CA"	silt	20	forest	0	50	30	300	h			ft
