WR	wepp-108091	"12:16 pm  Thursday September 28, 2017"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-111542	"06:57 pm  Thursday September 28, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-7835	"09:33 am  Wednesday October 4, 2017"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-50624	"00:25 am  Thursday October 5, 2017"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-105732	"10:25 pm  Sunday October 8, 2017"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-37870	"12:50 pm  Tuesday October 10, 2017"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-11021	"03:35 pm  Wednesday October 11, 2017"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-45437	"11:59 pm  Thursday October 12, 2017"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-72242	"07:29 am  Saturday October 14, 2017"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-198932	"09:51 am  Sunday October 15, 2017"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-204313	"06:49 pm  Sunday October 15, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-99949	"04:37 am  Tuesday October 17, 2017"	""	1			0	0	0	0	0	0	0	0		
