WR	wepp-15667	"08:18 am  Monday November 16, 2009"	"LUFKIN CAA AP TX"	30	silt	native	1000	2	20	15	50	130	25	20	inbare
WR	wepp-4318	"11:15 am  Sunday November 14, 2010"	"LUFKIN CAA AP TX"	30	silt	native	1000	2	15	15	50	130	25	20	inbare	ft
WR	wepp-4355	"11:20 am  Sunday November 14, 2010"	"LUFKIN CAA AP TX"	30	silt	native	400	10	15	15	50	130	25	20	inbare	ft
WR	wepp-4360	"11:20 am  Sunday November 14, 2010"	"LUFKIN CAA AP TX"	30	silt	native	360	15	15	15	50	130	25	20	inbare	ft
WR	wepp-4378	"11:23 am  Sunday November 14, 2010"	"LUFKIN CAA AP TX"	30	silt	native	250	2	15	15	50	130	25	20	inbare	ft
WR	wepp-4530	"11:40 am  Sunday November 14, 2010"	"LUFKIN CAA AP TX"	30	silt	native	250	2	15	15	50	130	25	20	inbare	ft
WR	wepp-4535	"11:41 am  Sunday November 14, 2010"	"LUFKIN CAA AP TX"	30	silt	native	80	10	15	15	50	130	25	20	inbare	ft
WR	wepp-4730	"12:02 pm  Sunday November 14, 2010"	"LUFKIN CAA AP TX"	30	silt	native	60	15	15	15	50	130	25	20	inbare	ft
WR	wepp-4787	"12:09 pm  Sunday November 14, 2010"	"LUFKIN CAA AP TX"	30	silt	native	250	2	15	15	50	130	25	20	inveg	ft
WR	wepp-4825	"12:13 pm  Sunday November 14, 2010"	"LUFKIN CAA AP TX"	30	silt	native	60	10	15	15	50	130	25	20	inveg	ft
WR	wepp-4857	"12:13 pm  Sunday November 14, 2010"	"LUFKIN CAA AP TX"	30	silt	native	80	10	15	15	50	130	25	20	inveg	ft
WR	wepp-5120	"12:48 pm  Sunday November 14, 2010"	"LUFKIN CAA AP TX"	30	silt	native	60	15	15	15	50	130	25	20	inveg	ft
WR	wepp-5183	"12:54 pm  Sunday November 14, 2010"	"LUFKIN CAA AP TX"	30	silt	graveled	250	2	15	15	50	130	25	20	inveg	ft
WR	wepp-5306	"12:56 pm  Sunday November 14, 2010"	"LUFKIN CAA AP TX"	30	silt	graveled	80	10	15	15	50	130	25	20	inveg	ft
WR	wepp-5311	"12:57 pm  Sunday November 14, 2010"	"LUFKIN CAA AP TX"	30	silt	graveled	60	15	15	15	50	130	25	20	inveg	ft
WR	wepp-17367	"10:23 am  Wednesday March 28, 2012"	"LUFKIN CAA AP TX"	30	silt	native	1000	2	20	20	50	130	25	20	inveg	ft
WR	wepp-17460	"10:32 am  Wednesday March 28, 2012"	"LUFKIN CAA AP TX"	30	silt	native	1000	2	20	20	50	130	25	20	inbare	ft
WR	wepp-17481	"10:33 am  Wednesday March 28, 2012"	"LUFKIN CAA AP TX"	30	silt	native	400	10	20	20	50	130	25	20	inbare	ft
WR	wepp-17501	"10:34 am  Wednesday March 28, 2012"	"LUFKIN CAA AP TX"	30	silt	native	360	15	20	20	50	130	25	20	inbare	ft
WR	wepp-17600	"10:41 am  Wednesday March 28, 2012"	"LUFKIN CAA AP TX"	30	clay	native	250	2	20	15	50	130	25	20	inveg	ft
WR	wepp-17620	"10:42 am  Wednesday March 28, 2012"	"LUFKIN CAA AP TX"	30	clay	native	360	15	20	15	50	130	25	20	inveg	ft
WR	wepp-17639	"10:43 am  Wednesday March 28, 2012"	"LUFKIN CAA AP TX"	30	clay	native	400	10	20	15	50	130	25	20	inveg	ft
WR	wepp-17658	"10:44 am  Wednesday March 28, 2012"	"LUFKIN CAA AP TX"	30	silt	native	1000	2	20	15	50	130	25	20	inbare	ft
WR	wepp-17697	"10:45 am  Wednesday March 28, 2012"	"LUFKIN CAA AP TX"	30	silt	native	400	10	20	15	50	130	25	20	inbare	ft
WR	wepp-17717	"10:46 am  Wednesday March 28, 2012"	"LUFKIN CAA AP TX"	30	silt	native	360	15	20	15	50	130	25	20	inbare	ft
WR	wepp-17793	"10:46 am  Wednesday March 28, 2012"	"LUFKIN CAA AP TX"	30	silt	native	250	2	20	15	50	130	25	20	inbare	ft
WR	wepp-17817	"10:50 am  Wednesday March 28, 2012"	"LUFKIN CAA AP TX"	30	silt	native	80	10	20	15	50	130	25	20	inbare	ft
WR	wepp-17864	"10:51 am  Wednesday March 28, 2012"	"LUFKIN CAA AP TX"	30	silt	native	60	15	20	15	50	130	25	20	inbare	ft
WR	wepp-17904	"10:54 am  Wednesday March 28, 2012"	"LUFKIN CAA AP TX"	30	silt	native	250	2	20	15	50	130	25	20	inveg	ft
