WR	wepp-28305	"06:52 pm  Saturday December 29, 2012"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-15462	"01:14 pm  Wednesday January 2, 2013"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-13434	"09:21 am  Friday January 4, 2013"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-13873	"10:06 am  Friday January 4, 2013"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-23791	"03:42 am  Saturday January 5, 2013"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-32424	"04:11 pm  Monday January 7, 2013"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-13969	"05:36 pm  Thursday January 10, 2013"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-14518	"06:45 pm  Thursday January 10, 2013"	""				0	0	0	0	0		0	0	0	0	0	0		""
WD	wepp-11253	"01:44 pm  Saturday January 12, 2013"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-6750	"05:01 am  Monday January 14, 2013"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-12331	"05:31 am  Wednesday January 16, 2013"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-8542	"08:30 am  Friday January 18, 2013"	""				0	0	0	0	0		0	0	0	0	0	0		""
