WD	wepp-112126	"09:58 pm  Monday December 8, 2014"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-147113	"11:00 pm  Tuesday December 9, 2014"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-15690	"03:32 am  Friday December 12, 2014"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-95625	"05:37 am  Sunday December 14, 2014"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-125390	"04:58 am  Monday December 15, 2014"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-132659	"10:19 am  Thursday December 18, 2014"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-220898	"08:35 pm  Saturday December 20, 2014"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-19445	"Dec 21, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
wt	wepp-32320	"Dec 21, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-58683	"05:02 am  Friday December 26, 2014"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-59811	"06:21 am  Friday December 26, 2014"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-132733	"08:32 pm  Saturday June 11, 2016"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-149737	"09:38 pm  Sunday June 12, 2016"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-182215	"10:29 pm  Monday June 13, 2016"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-227091	"11:59 pm  Tuesday June 14, 2016"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-230263	"11:12 pm  Monday February 12, 2018"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-64467	"01:48 am  Thursday August 16, 2018"	""				0	0	0	0	0		0	0	0	0	0	0		""
WD	wepp-51940	"05:03 pm  Friday November 8, 2019"	""				0	0	0	0	0		0	0	0	0	0	0		""
