WR	wepp-104529	"09:12 pm  Saturday July 2, 2016"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-110148	"11:15 am  Sunday July 3, 2016"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-67053	"08:50 am  Friday January 8, 2021"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-59480	"08:51 am  Tuesday January 12, 2021"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-87286	"08:51 am  Wednesday January 13, 2021"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-120336	"08:54 am  Thursday January 14, 2021"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-182233	"08:34 am  Saturday January 16, 2021"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-209803	"08:37 am  Sunday January 17, 2021"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-245016	"08:33 am  Monday January 18, 2021"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-2310	"Mar 7, 2021"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-44320	"04:35 pm  Saturday January 29, 2022"	""	1			0	0	0	0	0	0	0	0		
