WD	wepp-220773	"10:42 am  Friday March 20, 2015"	"REDLANDS CA"	10	clay	HighFire	100	30	30	10	20	OldForest	100	30	30	10	20	0	ft	""
WD	wepp-220914	"10:45 am  Friday March 20, 2015"	"REDLANDS CA"	10	sand	HighFire	100	30	30	10	20	OldForest	100	30	30	10	20	0	ft	""
WD	wepp-220978	"10:49 am  Friday March 20, 2015"	"REDLANDS CA"	10	clay	LowFire	100	30	30	85	20	LowFire	100	30	30	85	20	0	ft	""
WD	wepp-221050	"10:50 am  Friday March 20, 2015"	"REDLANDS CA"	10	clay	OldForest	100	30	30	100	20	OldForest	100	30	30	100	20	0	ft	""
WD	wepp-221426	"10:55 am  Friday March 20, 2015"	"REDLANDS CA"	10	clay	OldForest	100	30	30	100	20	OldForest	100	30	30	100	20	0	ft	""
WD	wepp-221914	"11:00 am  Friday March 20, 2015"	"REDLANDS CA"	10	clay	HighFire	100	30	30	10	20	HighFire	100	30	30	10	20	0	ft	""
WD	wepp-222062	"11:03 am  Friday March 20, 2015"	"REDLANDS CA"	10	clay	HighFire	100	30	30	10	20	HighFire	100	30	30	10	20	0	ft	""
WD	wepp-222136	"11:04 am  Friday March 20, 2015"	"REDLANDS CA"	10	sand	HighFire	100	30	30	10	20	HighFire	100	30	30	10	20	0	ft	""
WD	wepp-222184	"11:05 am  Friday March 20, 2015"	"REDLANDS CA"	10	clay	LowFire	100	30	30	85	20	LowFire	100	30	30	85	20	0	ft	""
WD	wepp-222223	"11:06 am  Friday March 20, 2015"	"REDLANDS CA"	10	clay	OldForest	100	30	30	100	20	OldForest	100	30	30	100	20	0	ft	""
WD	wepp-222323	"11:07 am  Friday March 20, 2015"	"REDLANDS CA"	10	clay	HighFire	100	50	50	10	20	HighFire	100	50	50	10	20	0	ft	""
WD	wepp-222364	"11:08 am  Friday March 20, 2015"	"REDLANDS CA"	10	clay	HighFire	250	30	30	10	20	HighFire	250	30	30	10	20	0	ft	""
WD	wepp-222414	"11:09 am  Friday March 20, 2015"	"REDLANDS CA"	10	clay	HighFire	250	50	50	10	20	HighFire	250	50	50	10	20	0	ft	""
WE	wepp-222724	"11:14 am  Friday March 20, 2015"	"REDLANDS CA"	clay	20	forest	50	50	50	200	h			ft
WE	wepp-223009	"11:17 am  Friday March 20, 2015"	"REDLANDS CA"	clay	20	forest	50	50	50	200	h			ft
WD	wepp-244443	"10:31 am  Saturday March 21, 2015"	"REDLANDS CA"	10	clay	HighFire	100	30	30	10	20	HighFire	100	30	5	10	20	0	ft	""
WD	wepp-244481	"10:32 am  Saturday March 21, 2015"	"REDLANDS CA"	10	clay	HighFire	100	30	30	10	20	HighFire	100	30	30	10	20	0	ft	""
WD	wepp-244518	"10:33 am  Saturday March 21, 2015"	"REDLANDS CA"	10	sand	HighFire	100	30	30	10	20	HighFire	100	30	30	10	20	0	ft	""
WD	wepp-244567	"10:35 am  Saturday March 21, 2015"	""				0	0	0	0	0		0	0	0	0	0	0		""
WD	wepp-244568	"10:35 am  Saturday March 21, 2015"	""				0	0	0	0	0		0	0	0	0	0	0		""
WD	wepp-244569	"10:35 am  Saturday March 21, 2015"	""				0	0	0	0	0		0	0	0	0	0	0		""
WD	wepp-244570	"10:35 am  Saturday March 21, 2015"	"REDLANDS CA"	10	clay	LowFire	100	30	30	85	20	LowFire	100	30	30	85	20	0	ft	""
WD	wepp-244609	"10:36 am  Saturday March 21, 2015"	"REDLANDS CA"	10	clay	OldForest	100	30	30	100	20	OldForest	100	30	30	100	20	0	ft	""
WD	wepp-244677	"10:40 am  Saturday March 21, 2015"	"REDLANDS CA"	10	clay	HighFire	100	30	30	30	30	HighFire	100	30	30	30	30	0	ft	""
WD	wepp-244757	"10:45 am  Saturday March 21, 2015"	"REDLANDS CA"	10	clay	HighFire	100	50	50	50	50	HighFire	100	50	50	50	50	0	ft	""
WD	wepp-244810	"10:46 am  Saturday March 21, 2015"	"REDLANDS CA"	10	clay	HighFire	250	30	30	30	30	HighFire	250	30	30	30	30	0	ft	""
WD	wepp-244872	"10:47 am  Saturday March 21, 2015"	"REDLANDS CA"	10	clay	HighFire	250	50	50	50	50	HighFire	250	50	50	50	50	0	ft	""
WD	wepp-244955	"10:51 am  Saturday March 21, 2015"	"REDLANDS CA"	10	clay	HighFire	100	30	30	10	20	HighFire	100	30	30	10	20	0	ft	""
WD	wepp-244992	"10:52 am  Saturday March 21, 2015"	"REDLANDS CA"	10	clay	HighFire	100	50	50	10	20	HighFire	100	50	50	10	20	0	ft	""
WD	wepp-245032	"10:53 am  Saturday March 21, 2015"	"REDLANDS CA"	10	clay	HighFire	250	30	30	10	20	HighFire	250	30	30	10	20	0	ft	""
WD	wepp-245076	"10:54 am  Saturday March 21, 2015"	"REDLANDS CA"	10	clay	HighFire	250	50	50	10	20	HighFire	250	50	50	10	20	0	ft	""
WE	wepp-245395	"10:56 am  Saturday March 21, 2015"	"REDLANDS CA"	clay	20	forest	50	50	50	200	h			ft
