WE	wepp-3266	"10:03 am  Saturday August 31, 2013"	"MOSCOW U OF I ID"	clay	20	forest	0	50	30	300	l			ft
WE	wepp-3675	"10:47 am  Saturday August 31, 2013"	"Elk Fire 2013 +"	sand	35	forest	10	30	10	500	h			ft
WE	wepp-3802	"10:49 am  Saturday August 31, 2013"	"Elk Fire 2013 +"	sand	35	forest	10	60	10	500	h			ft
WE	wepp-3893	"10:50 am  Saturday August 31, 2013"	"Elk Fire 2013 +"	loam	35	forest	10	60	10	500	h			ft
WE	wepp-4405	"11:47 am  Saturday August 31, 2013"	"Elk Fire 2013 +"	sand	35	forest	10	30	10	500	m			ft
WE	wepp-4503	"11:51 am  Saturday August 31, 2013"	"Elk Fire 2013 +"	sand	35	forest	10	60	10	500	m			ft
WE	wepp-4573	"11:53 am  Saturday August 31, 2013"	"Elk Fire 2013 +"	sand	35	forest	10	60	10	500	h			ft
WE	wepp-4690	"11:54 am  Saturday August 31, 2013"	"Elk Fire 2013 +"	sand	35	forest	10	30	10	500	h			ft
WE	wepp-4781	"11:57 am  Saturday August 31, 2013"	"Elk Fire 2013 +"	loam	35	forest	10	30	10	500	h			ft
WE	wepp-4898	"11:58 am  Saturday August 31, 2013"	"Elk Fire 2013 +"	loam	35	forest	10	60	10	500	h			ft
WE	wepp-4988	"11:59 am  Saturday August 31, 2013"	"Elk Fire 2013 +"	loam	35	forest	10	60	10	500	m			ft
WE	wepp-5077	"12:00 pm  Saturday August 31, 2013"	"Elk Fire 2013 +"	loam	35	forest	10	30	10	500	m			ft
