WR	wepp-68452	"07:38 pm  Monday October 1, 2018"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-223132	"02:01 pm  Friday December 28, 2018"	""				0	0	0	0	0		0	0	0	0	0	0		""
WD	wepp-120226	"09:15 pm  Thursday January 3, 2019"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-37216	"01:58 pm  Thursday February 7, 2019"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-8218	"08:17 pm  Friday March 8, 2019"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-20788	"05:38 am  Saturday March 9, 2019"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-190819	"12:50 pm  Thursday March 14, 2019"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-50034	"10:39 pm  Sunday March 24, 2019"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-182349	"08:45 am  Friday March 29, 2019"	""				0	0	0	0	0		0	0	0	0	0	0		""
WD	wepp-205708	"07:21 am  Monday April 22, 2019"	""				0	0	0	0	0		0	0	0	0	0	0		""
WD	wepp-163402	"11:49 am  Saturday April 27, 2019"	""				0	0	0	0	0		0	0	0	0	0	0		""
WD	wepp-22595	"08:55 am  Tuesday May 7, 2019"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-25759	"10:16 am  Tuesday May 7, 2019"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-180798	"12:01 pm  Tuesday May 21, 2019"	""				0	0	0	0	0		0	0	0	0	0	0		""
WD	wepp-102608	"05:24 pm  Friday May 31, 2019"	""				0	0	0	0	0		0	0	0	0	0	0		""
WD	wepp-83745	"09:11 am  Sunday June 9, 2019"	""				0	0	0	0	0		0	0	0	0	0	0		""
WD	wepp-238177	"05:14 am  Sunday June 16, 2019"	""				0	0	0	0	0		0	0	0	0	0	0		""
WD	wepp-52643	"10:51 am  Tuesday June 18, 2019"	""				0	0	0	0	0		0	0	0	0	0	0		""
WD	wepp-215197	"04:53 am  Tuesday June 25, 2019"	""				0	0	0	0	0		0	0	0	0	0	0		""
WD	wepp-105706	"09:51 pm  Sunday June 30, 2019"	""				0	0	0	0	0		0	0	0	0	0	0		""
WD	wepp-27930	"06:29 am  Monday July 8, 2019"	""				0	0	0	0	0		0	0	0	0	0	0		""
