WE	wepp-5543	"00:31 am  Thursday November 21, 2013"	"BIRMINGHAM WB AP AL"	clay	20	forest	0	50	30	300	l			ft
WE	wepp-5879	"00:34 am  Thursday November 21, 2013"	"Cagliari Mod ITALY"	loam	20	chap	0	50	30	300	m	80	10	ft
WE	wepp-6095	"00:36 am  Thursday November 21, 2013"	"Cagliari Mod ITALY"	clay	20	chap	0	50	30	100	m	80	0	m
WE	wepp-50796	"02:17 am  Thursday June 5, 2014"	"Cagliari Mod ITALY +"	sand	20	range	20	20	20	10	l	40	20	m
WE	wepp-50917	"02:17 am  Thursday June 5, 2014"	"Cagliari Mod ITALY +"	sand	20	range	20	20	20	10	m	40	20	m
WE	wepp-51084	"02:19 am  Thursday June 5, 2014"	"Cagliari Mod ITALY +"	sand	20	range	20	20	20	10	m	40	20	m
WE	wepp-51277	"02:24 am  Thursday June 5, 2014"	"Cagliari Mod ITALY +"	sand	20	range	20	20	20	10	m	40	20	m
WE	wepp-192016	"01:36 am  Wednesday June 25, 2014"	"Cagliari Mod ITALY +"	clay	20	forest	0	50	30	300	l			ft
WE	wepp-192136	"01:37 am  Wednesday June 25, 2014"	"Cagliari Mod ITALY +"	clay	20	forest	0	50	30	300	l			ft
WE	wepp-192275	"01:39 am  Wednesday June 25, 2014"	"Cagliari Mod ITALY +"	clay	20	forest	0	50	30	300	l			ft
WD	wepp-192412	"01:42 am  Wednesday June 25, 2014"	"Cagliari Mod ITALY +"	10	clay	OldForest	50	0	30	100	20	OldForest	50	30	5	100	20	0	ft	""
WE	wepp-192457	"01:44 am  Wednesday June 25, 2014"	"Cagliari Mod ITALY +"	clay	20	forest	0	50	30	300	l			ft
WE	wepp-192616	"01:54 am  Wednesday June 25, 2014"	"Cagliari Mod ITALY +"	clay	20	forest	0	50	30	300	l			ft
WE	wepp-192970	"02:00 am  Wednesday June 25, 2014"	"Cagliari Mod ITALY +"	clay	20	forest	0	50	30	300	l			ft
WD	wepp-193096	"02:03 am  Wednesday June 25, 2014"	"Cagliari Mod ITALY +"	10	clay	OldForest	50	0	30	100	20	OldForest	50	30	5	100	20	0	ft	""
WE	wepp-10664	"02:28 am  Thursday July 10, 2014"	"Ittiri (SS) +"	sand	11	range	20	20	20	10	m	50	35	m
WE	wepp-10843	"02:33 am  Thursday July 10, 2014"	"Ittiri (SS) +"	sand	11	range	20	20	20	10	m	50	35	m
WE	wepp-11017	"02:35 am  Thursday July 10, 2014"	"Ittiri (SS) +"	sand	11	range	35	35	35	10	m	50	35	m
WE	wepp-32329	"03:08 am  Wednesday October 15, 2014"	"Cagliari Mod ITALY +"	clay	20	forest	0	50	30	300	l			ft
