WE	wepp-60807	"08:02 am  Friday April 20, 2018"	"BIRMINGHAM WB AP AL"	clay	20	forest	0	50	30	300	l			ft
WE	wepp-61158	"08:28 am  Friday April 20, 2018"	"Tarea G4 +"	silt	20	forest	0	14.28	30	107	h			m
WE	wepp-61881	"09:03 am  Friday April 20, 2018"	"Tarea G4 +"	silt	20	forest	0	28.16	30	300	h			m
WE	wepp-62107	"09:04 am  Friday April 20, 2018"	"Tarea G4 +"	silt	20	forest	0	30.28	30	300	h			m
WE	wepp-62337	"09:06 am  Friday April 20, 2018"	"Tarea G4 +"	silt	20	forest	0	30.28	30	300	h			m
WE	wepp-62595	"09:08 am  Friday April 20, 2018"	"Tarea G4 +"	silt	20	forest	0	30.28	30	300	h			m
WE	wepp-62832	"09:09 am  Friday April 20, 2018"	"Tarea G4 +"	silt	20	forest	0	14.28	30	300	h			m
WE	wepp-63265	"09:37 am  Friday April 20, 2018"	"Tarea G4 +"	silt	20	forest	10	25.82	20	300	l			m
WE	wepp-63429	"09:42 am  Friday April 20, 2018"	"Tarea G4 +"	silt	20	forest	0	25.82	0	300	l			m
WE	wepp-63575	"09:44 am  Friday April 20, 2018"	"Tarea G4 +"	silt	20	forest	0	27.38	0	292.2	l			m
WE	wepp-63723	"09:45 am  Friday April 20, 2018"	"Tarea G4 +"	silt	20	forest	10	27.38	30	292.2	l			m
WE	wepp-63881	"09:46 am  Friday April 20, 2018"	"Tarea G4 +"	silt	20	forest	10	27.38	30	292.2	h			m
WE	wepp-64174	"09:47 am  Friday April 20, 2018"	"Tarea G4 +"	silt	20	forest	0	27.38	30	292.2	h			m
WE	wepp-64421	"09:52 am  Friday April 20, 2018"	"Tarea G4 +"	silt	20	forest	10	25.82	20	300	h			m
WE	wepp-64677	"09:54 am  Friday April 20, 2018"	"Tarea G4 +"	silt	20	forest	0	25.82	0	300	h			m
WE	wepp-64942	"09:56 am  Friday April 20, 2018"	"Tarea G4 +"	silt	20	forest	14.28	14.28	14.28	300	h			m
WE	wepp-65167	"09:57 am  Friday April 20, 2018"	"Tarea G4 +"	silt	20	forest	14.28	14.28	30	300	h			m
