wt	wepp-10563	"Apr 25, 2011"	"DENVER WB AP CO"	granitic	OldForest	0	30	50	100	20	YoungForest	30	5	50	100	20	ft	""
WF	wepp-11239	"09:49 am  Monday April 25, 2011"	"SEELEY LAKE RS MT 22.55 +"	clay	200	50	0	30	15	40	20	20	4	ft
WE	wepp-11572	"10:23 am  Monday April 25, 1915"	"DENVER WB AP CO"	clay	20	forest	0	50	30	300	l			ft
WE	wepp-11671	"10:23 am  Monday April 25, 1915"	"DENVER WB AP CO"	clay	20	forest	0	50	30	300	l			ft
WE	wepp-11690	"10:23 am  Monday April 25, 1915"	"DENVER WB AP CO"	clay	20	forest	0	50	30	300	l			ft
WE	wepp-11711	"10:23 am  Monday April 25, 1915"	"DENVER WB AP CO"	clay	20	forest	0	50	30	300	l			ft
WE	wepp-11765	"10:23 am  Monday April 25, 1915"	"DENVER WB AP CO"	clay	20	forest	0	50	30	300	l			ft
wt	wepp-5583	"Apr 27, 2011"	"BIRMINGHAM WB AP AL"	granitic	Till	0	30	50	80	20	Bunchgrass	30	5	50	60	20	ft	""
WR	wepp-7394	"05:54 pm  Wednesday April 27, 2011"	"SEELEY LAKE RS MT 22.55 +"	30	clay	native	200	4	13	15	50	130	25	20	inveg	ft
WR	wepp-7476	"06:01 pm  Wednesday April 27, 2011"	"SEELEY LAKE RS MT 22.55 +"	30	clay	native	200	4	13	15	50	130	25	20	inveg	ft
wt	wepp-7484	"Apr 27, 2011"	"DENVER WB AP CO"	granitic	Till	0	30	50	80	20	YoungForest	30	5	50	100	20	ft	""
WR	wepp-7504	"06:02 pm  Wednesday April 27, 2011"	"SEELEY LAKE RS MT 22.55 +"	30	clay	native	200	4	13	15	50	130	25	20	inveg	ft
