WR	wepp-17840	"10:38 am  Monday November 16, 2009"	"OPELIKA AL"	10	sand	native	300	6	28	10	5	131	6	20	outrut
WR	wepp-20786	"03:08 pm  Monday November 16, 2009"	"OPELIKA AL"	7	sand	native	300	6	28	10	5	131	6	0	outrut
WR	wepp-21070	"03:30 pm  Monday November 16, 2009"	"OPELIKA AL"	7	sand	native	300	6	28	10	5	131	6	0	outrut
WR	wepp-21084	"03:30 pm  Monday November 16, 2009"	"OPELIKA AL"	7	sand	native	300	6	28	10	5	131	6	20	outrut
WR	wepp-21090	"03:30 pm  Monday November 16, 2009"	"OPELIKA AL"	7	sand	native	300	6	28	10	5	131	6	0	outrut
WR	wepp-21102	"03:31 pm  Monday November 16, 2009"	"OPELIKA AL"	7	sand	native	300	6	28	10	5	131	6	20	outrut
WR	wepp-21318	"03:51 pm  Monday November 16, 2009"	"OPELIKA AL"	7	sand	native	300	6	28	10	5	131	6	0	outrut
WR	wepp-21356	"03:55 pm  Monday November 16, 2009"	"OPELIKA AL"	7	sand	native	300	6	28	10	5	131	6	0	outrut
WR	wepp-21527	"04:09 pm  Monday November 16, 2009"	"OPELIKA AL"	7	sand	native	300	6	28	10	5	131	6	10	outrut
WR	wepp-21532	"04:10 pm  Monday November 16, 2009"	"OPELIKA AL"	7	sand	native	300	6	28	10	10	131	6	0	outrut
WR	wepp-954	"10:56 am  Tuesday November 17, 2009"	"OPELIKA AL"	7	sand	native	300	6	28	10	5	131	6	0	outunrut
WR	wepp-962	"10:59 am  Tuesday November 17, 2009"	"OPELIKA AL"	7	sand	native	300	6	28	10	5	131	6	0	outrut
WR	wepp-987	"11:00 am  Tuesday November 17, 2009"	"OPELIKA AL"	7	sand	native	300	6	28	10	5	131	6	0	outrut
WR	wepp-1048	"11:03 am  Tuesday November 17, 2009"	"OPELIKA AL"	7	sand	native	300	6	28	10	5	131	6	0	outunrut
WR	wepp-1083	"11:07 am  Tuesday November 17, 2009"	"OPELIKA AL"	7	sand	native	300	10	28	10	5	131	6	0	outunrut
WR	wepp-1468	"11:46 am  Tuesday November 17, 2009"	"OPELIKA AL"	7	sand	native	100	10	28	10	5	131	6	0	outunrut
WR	wepp-1547	"11:57 am  Tuesday November 17, 2009"	"OPELIKA AL"	7	sand	native	300	10	28	10	5	131	6	0	outunrut
WR	wepp-1700	"12:13 pm  Tuesday November 17, 2009"	"OPELIKA AL"	7	sand	native	300	6	28	10	5	131	6	20	outrut
WR	wepp-1705	"12:14 pm  Tuesday November 17, 2009"	"OPELIKA AL"	7	sand	native	300	6	28	10	5	131	6	0	outrut
WR	wepp-2111	"12:54 pm  Tuesday November 17, 2009"	"OPELIKA AL"	7	sand	native	300	6	28	10	5	131	6	0	outrut
WR	wepp-2117	"12:56 pm  Tuesday November 17, 2009"	"OPELIKA AL"	7	sand	native	300	10	28	10	5	131	6	0	outrut
WR	wepp-2151	"12:58 pm  Tuesday November 17, 2009"	"OPELIKA AL"	7	sand	native	100	10	28	10	5	131	6	0	outrut
WR	wepp-2179	"01:00 pm  Tuesday November 17, 2009"	"OPELIKA AL"	7	sand	native	300	10	28	10	5	131	6	0	outrut
WR	wepp-21438	"02:57 pm  Wednesday November 18, 2009"	"OPELIKA AL"	7	sand	native	300	6	28	10	5	131	6	0	outrut
WR	wepp-21448	"02:57 pm  Wednesday November 18, 2009"	"OPELIKA AL"	7	sand	native	300	6	28	10	5	131	9	0	outrut
WR	wepp-2405	"03:22 pm  Monday November 23, 2009"	"OPELIKA AL"	7	sand	native	30	5	28	10	6	131	5	0	outrut
WR	wepp-3383	"04:44 pm  Monday November 23, 2009"	"OPELIKA AL"	7	sand	native	30	5	28	10	6	131	5	0	outrut
WR	wepp-3440	"04:46 pm  Monday November 23, 2009"	"OPELIKA AL"	7	sand	native	30	5	28	10	6	131	5	0	outunrut
WR	wepp-3562	"04:56 pm  Monday November 23, 2009"	"OPELIKA AL"	30	sand	native	300	5	28	10	6	131	5	0	outunrut
WR	wepp-3571	"04:57 pm  Monday November 23, 2009"	"OPELIKA AL"	7	sand	native	300	5	28	10	6	131	5	0	outunrut
WR	wepp-3576	"04:58 pm  Monday November 23, 2009"	"OPELIKA AL"	7	sand	native	300	5	28	10	6	131	5	0	outrut
