WR	wepp-4353	"09:25 am  Wednesday May 26, 2010"	"SEELEY LAKE RS MT 22.55 +"	30	clay	native	200	4	12	25	67	200	25	20	inveg	ft
WR	wepp-4459	"09:33 am  Wednesday May 26, 2010"	"GRAYS RIVER HATCH WA"	30	clay	native	200	4	13	15	50	130	25	20	inveg	ft
WR	wepp-4484	"09:35 am  Wednesday May 26, 2010"	"GRAYS RIVER HATCH WA"	30	clay	native	200	4	13	15	50	130	25	20	inveg	ft
WR	wepp-4489	"09:36 am  Wednesday May 26, 2010"	"GRAYS RIVER HATCH WA"	30	clay	native	200	4	13	15	50	200	25	20	inveg	ft
WR	wepp-4494	"09:36 am  Wednesday May 26, 2010"	"GRAYS RIVER HATCH WA"	30	clay	native	200	4	13	15	50	400	25	20	inveg	ft
WR	wepp-5936	"12:00 pm  Wednesday May 26, 2010"	"GRAYS RIVER HATCH WA"	30	clay	native	200	4	13	15	50	200	25	20	inveg	ft
WR	wepp-5987	"12:00 pm  Wednesday May 26, 2010"	"GRAYS RIVER HATCH WA"	1	clay	native	200	4	13	15	50	200	25	20	inveg	ft
WR	wepp-5992	"12:00 pm  Wednesday May 26, 2010"	"GRAYS RIVER HATCH WA"	30	clay	native	200	4	13	15	50	200	25	20	inveg	ft
WR	wepp-5998	"12:01 pm  Wednesday May 26, 2010"	"GRAYS RIVER HATCH WA"	30	silt	native	200	4	13	15	50	200	25	20	inveg	ft
WR	wepp-6060	"12:08 pm  Wednesday May 26, 2010"	"COLVILLE WB AP WA"	30	clay	native	200	4	13	15	50	130	25	20	inbare	ft
WR	wepp-6238	"12:22 pm  Wednesday May 26, 2010"	"GRAYS RIVER HATCH WA"	30	clay	native	200	4	13	15	50	130	25	20	inveg	ft
WR	wepp-6243	"12:22 pm  Wednesday May 26, 2010"	"GRAYS RIVER HATCH WA"	30	clay	native	200	4	13	15	50	130	25	20	inveg	ft
WR	wepp-6248	"12:23 pm  Wednesday May 26, 2010"	"GRAYS RIVER HATCH WA"	30	clay	native	200	4	13	15	50	130	25	20	inveg	ft
WR	wepp-6285	"12:26 pm  Wednesday May 26, 2010"	"COLVILLE WB AP WA"	30	clay	native	200	4	13	15	50	130	25	20	inveg	ft
WR	wepp-6291	"12:28 pm  Wednesday May 26, 2010"	"COLVILLE WB AP WA"	30	clay	native	200	4	13	15	50	130	25	20	inveg	ft
WR	wepp-6297	"12:29 pm  Wednesday May 26, 2010"	"GRAYS RIVER HATCH WA"	30	clay	native	200	4	13	15	50	130	25	20	inveg	ft
WR	wepp-6329	"12:30 pm  Wednesday May 26, 2010"	"COLVILLE WB AP WA"	30	clay	graveled	200	4	13	15	50	130	25	20	inveg	ft
WR	wepp-6362	"12:30 pm  Wednesday May 26, 2010"	"COLVILLE WB AP WA"	30	clay	graveled	200	4	13	15	50	130	25	20	inveg	ft
WR	wepp-6368	"12:30 pm  Wednesday May 26, 2010"	"COLVILLE WB AP WA"	30	clay	graveled	200	4	13	15	50	130	25	20	inveg	ft
WR	wepp-6383	"12:30 pm  Wednesday May 26, 2010"	"COLVILLE WB AP WA"	30	clay	native	200	4	13	15	50	130	25	20	inveg	ft
WR	wepp-6396	"12:31 pm  Wednesday May 26, 2010"	"COLVILLE WB AP WA"	30	clay	native	200	4	13	15	50	130	25	20	inveg	ft
WR	wepp-6401	"12:31 pm  Wednesday May 26, 2010"	"COLVILLE WB AP WA"	30	clay	graveled	200	4	13	15	50	130	25	20	inveg	ft
WR	wepp-6412	"12:32 pm  Wednesday May 26, 2010"	"COLVILLE WB AP WA"	30	clay	graveled	200	4	13	15	50	130	25	20	inveg	ft
WR	wepp-6417	"12:32 pm  Wednesday May 26, 2010"	"COLVILLE WB AP WA"	30	clay	graveled	200	4	13	15	50	130	25	20	inveg	ft
WR	wepp-6622	"12:39 pm  Wednesday May 26, 2010"	"COLVILLE WB AP WA"	30	silt	native	200	4	12	15	50	130	25	20	outrut	ft
WR	wepp-7015	"12:55 pm  Wednesday May 26, 2010"	"COLVILLE WB AP WA"	30	clay	native	200	4	12	15	50	130	25	20	inbare	ft
WD	wepp-9954	"10:05 am  Wednesday June 2, 2010"	"GRAYS RIVER HATCH WA"	30	clay	tree20	50	0	30	100	20	tree5	50	30	5	100	20	0	ft	""
WD	wepp-9959	"10:05 am  Wednesday June 2, 2010"	"GRAYS RIVER HATCH WA"	30	clay	short	50	0	30	40	20	tall	50	30	5	60	20	0	ft	""
WD	wepp-9964	"10:05 am  Wednesday June 2, 2010"	"DENVER WB AP CO"	30	clay	short	50	0	30	40	20	tall	50	30	5	60	20	0	ft	""
WD	wepp-9969	"10:06 am  Wednesday June 2, 2010"	"DENVER WB AP CO"	30	clay	short	50	0	30	40	20	tall	50	30	5	60	20	0	ft	""
WE	wepp-10008	"10:09 am  Wednesday June 2, 1910"	"GRAYS RIVER HATCH WA"	clay	20	forest	0	50	30	300	l			ft
WF	wepp-3240	"02:35 pm  Thursday March 29, 2012"	"SEXTON SUMMIT WB OR                     3"	sand	200	50	0	30	15	40	20	20	0.1	ft
WR	wepp-13194	"11:13 am  Wednesday May 23, 2012"	"GRAYS RIVER HATCH WA"	30	sand	native	200	4	13	15	50	130	25	20	inbare	ft
WR	wepp-13350	"11:29 am  Wednesday May 23, 2012"	"GRAYS RIVER HATCH WA"	30	sand	native	200	4	13	15	50	130	25	20	inbare	ft
WR	wepp-13390	"11:30 am  Wednesday May 23, 2012"	"GRAYS RIVER HATCH WA"	30	sand	native	200	4	13	15	50	130	25	20	inbare	ft
