WR	wepp-33792	"12:24 pm  Saturday April 24, 2021"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-33853	"12:31 pm  Saturday April 24, 2021"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-71457	"02:18 am  Monday April 26, 2021"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-83578	"01:23 pm  Monday April 26, 2021"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-107397	"12:25 pm  Tuesday April 27, 2021"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-126107	"03:07 am  Wednesday April 28, 2021"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-155328	"03:19 am  Thursday April 29, 2021"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-180821	"10:11 pm  Thursday April 29, 2021"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-196891	"12:31 pm  Friday April 30, 2021"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-202625	"04:26 pm  Friday April 30, 2021"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-213047	"03:06 am  Saturday May 1, 2021"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-219254	"09:23 am  Saturday May 1, 2021"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-220751	"10:55 am  Saturday May 1, 2021"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-236536	"03:05 am  Sunday May 2, 2021"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-238893	"05:24 am  Sunday May 2, 2021"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-11864	"11:48 pm  Sunday May 2, 2021"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-16050	"03:05 am  Monday May 3, 2021"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-27744	"02:30 pm  Monday May 3, 2021"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-45751	"02:23 am  Tuesday May 4, 2021"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-46280	"02:59 am  Tuesday May 4, 2021"	""	1			0	0	0	0	0	0	0	0		
