WR	wepp-72860	"08:05 pm  Tuesday May 4, 2021"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-83366	"05:22 am  Wednesday May 5, 2021"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-136560	"04:34 am  Thursday May 6, 2021"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-159202	"03:10 pm  Thursday May 6, 2021"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-175009	"03:17 am  Friday May 7, 2021"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-178688	"06:09 am  Friday May 7, 2021"	""				0	0	0	0	0		0	0	0	0	0	0		""
WD	wepp-203479	"07:27 am  Saturday May 8, 2021"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-209978	"02:14 pm  Saturday May 8, 2021"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-218224	"09:40 pm  Saturday May 8, 2021"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-220368	"11:32 pm  Saturday May 8, 2021"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-241328	"07:07 pm  Sunday May 9, 2021"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-245112	"10:53 pm  Sunday May 9, 2021"	""				0	0	0	0	0		0	0	0	0	0	0		""
WD	wepp-45149	"03:31 pm  Tuesday May 11, 2021"	""				0	0	0	0	0		0	0	0	0	0	0		""
