WR	wepp-129723	"02:35 pm  Sunday February 7, 2016"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-46084	"02:14 pm  Tuesday February 9, 2016"	""				0	0	0	0	0		0	0	0	0	0	0		""
WD	wepp-48250	"04:33 pm  Tuesday February 9, 2016"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-59304	"Feb 10, 2016"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-59305	"04:11 am  Wednesday February 10, 2016"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-235841	"07:15 pm  Monday September 26, 2016"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-235844	"Sep 26, 2016"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-239828	"06:07 am  Tuesday September 27, 2016"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-5121	"05:57 am  Monday May 10, 2021"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-7664	"07:56 am  Monday May 10, 2021"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-15568	"01:35 pm  Monday May 10, 2021"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-66566	"10:10 am  Wednesday May 12, 2021"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-82106	"08:57 pm  Wednesday May 12, 2021"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-91951	"01:19 am  Thursday May 13, 2021"	""				0	0	0	0	0		0	0	0	0	0	0		""
WD	wepp-107173	"11:43 am  Thursday May 13, 2021"	""				0	0	0	0	0		0	0	0	0	0	0		""
WD	wepp-125175	"02:06 am  Friday May 14, 2021"	""				0	0	0	0	0		0	0	0	0	0	0		""
WD	wepp-165657	"07:20 am  Saturday May 15, 2021"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-166341	"07:52 am  Saturday May 15, 2021"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-197736	"02:55 pm  Sunday May 16, 2021"	""	1			0	0	0	0	0	0	0	0		
