wt	wepp-41231	"Jul 30, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-72586	"01:09 am  Friday August 1, 2014"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-67496	"04:58 pm  Sunday April 19, 2015"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-68391	"Apr 19, 2015"	""			0	0	0	0	0		0	0	0	0	0		""
WD	wepp-4306	"09:22 pm  Monday April 20, 2015"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-107698	"10:17 pm  Wednesday April 22, 2015"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-123153	"12:02 pm  Thursday May 26, 2016"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-131094	"07:07 pm  Thursday May 26, 2016"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-143938	"Oct 29, 2016"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-145439	"09:11 am  Saturday October 29, 2016"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-146647	"01:26 pm  Saturday October 29, 2016"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-180553	"08:49 am  Friday June 9, 2017"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-218708	"12:01 pm  Monday June 12, 2017"	""	1			0	0	0	0	0	0	0	0		
