WR	wepp-18168	"08:42 pm  Wednesday December 23, 2009"	""	1			0	0	0	0	0	0	0	0	
WR	wepp-19820	"09:49 am  Monday December 28, 2009"	""	1			0	0	0	0	0	0	0	0	
WR	wepp-8749	"03:22 pm  Wednesday January 6, 2010"	""	1			0	0	0	0	0	0	0	0	
WR	wepp-19335	"01:46 am  Thursday January 14, 2010"	""	1			0	0	0	0	0	0	0	0	
WR	wepp-22012	"04:47 pm  Saturday January 16, 2010"	""	1			0	0	0	0	0	0	0	0	
WR	wepp-10630	"04:27 pm  Wednesday January 20, 2010"	""	1			0	0	0	0	0	0	0	0	
WR	wepp-12897	"03:55 am  Friday January 29, 2010"	""	1			0	0	0	0	0	0	0	0	
WR	wepp-27779	"07:40 pm  Tuesday February 2, 2010"	""	1			0	0	0	0	0	0	0	0	
WR	wepp-22748	"07:04 pm  Saturday February 27, 2010"	""	1			0	0	0	0	0	0	0	0	
WR	wepp-8938	"08:05 am  Monday March 1, 2010"	""	1			0	0	0	0	0	0	0	0	
WR	wepp-7414	"09:57 pm  Saturday March 13, 2010"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-28979	"04:20 am  Thursday March 25, 2010"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-30477	"06:09 pm  Wednesday April 21, 2010"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-19839	"00:41 am  Tuesday April 27, 2010"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-30559	"07:40 am  Tuesday May 18, 2010"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-18409	"12:21 pm  Saturday May 22, 2010"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-2203	"10:37 pm  Sunday May 23, 2010"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-26218	"07:09 am  Tuesday June 1, 2010"	""	1			0	0	0	0	0	0	0	0		
