WR	wepp-951	"03:16 pm  Sunday January 10, 2010"	""	1			0	0	0	0	0	0	0	0	
WR	wepp-23241	"08:15 am  Thursday February 4, 2010"	""	1			0	0	0	0	0	0	0	0	
WR	wepp-28873	"10:01 pm  Tuesday February 16, 2010"	""	1			0	0	0	0	0	0	0	0	
WR	wepp-32415	"09:46 pm  Tuesday March 2, 2010"	""	1			0	0	0	0	0	0	0	0	
WR	wepp-15456	"06:36 pm  Thursday March 18, 2010"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-9640	"07:49 pm  Saturday April 17, 2010"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-15838	"08:12 pm  Friday May 7, 2010"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-14080	"10:21 am  Monday May 10, 2010"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-7635	"01:44 am  Friday May 21, 2010"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-19900	"05:18 am  Saturday June 5, 2010"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-12019	"10:04 pm  Friday June 25, 2010"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-28666	"02:20 am  Saturday July 10, 2010"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-13116	"11:32 am  Sunday July 11, 2010"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-29733	"11:05 pm  Friday July 16, 2010"	""	1			0	0	0	0	0	0	0	0		
