WR	wepp-27469	"11:06 am  Tuesday December 22, 2009"	""	1			0	0	0	0	0	0	0	0	
WR	wepp-3277	"09:24 am  Friday January 15, 2010"	""	1			0	0	0	0	0	0	0	0	
WR	wepp-21309	"00:32 am  Monday January 18, 2010"	""	1			0	0	0	0	0	0	0	0	
WR	wepp-26099	"08:14 am  Tuesday January 19, 2010"	""	1			0	0	0	0	0	0	0	0	
WR	wepp-4462	"01:16 pm  Sunday February 21, 2010"	""	1			0	0	0	0	0	0	0	0	
WR	wepp-23199	"01:05 pm  Thursday March 4, 2010"	""	1			0	0	0	0	0	0	0	0	
WR	wepp-7553	"07:29 pm  Friday March 26, 2010"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-17128	"09:49 pm  Monday March 29, 2010"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-19426	"05:14 pm  Thursday April 1, 2010"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-7219	"06:16 am  Thursday April 15, 2010"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-27608	"04:48 pm  Saturday May 15, 2010"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-31102	"10:33 pm  Thursday June 3, 2010"	""	1			0	0	0	0	0	0	0	0		
