WR	wepp-12931	"04:17 pm  Friday December 25, 2009"	""	1			0	0	0	0	0	0	0	0	
WR	wepp-31554	"06:03 am  Monday February 1, 2010"	""	1			0	0	0	0	0	0	0	0	
WR	wepp-1586	"07:26 am  Monday February 15, 2010"	""	1			0	0	0	0	0	0	0	0	
WR	wepp-5907	"10:09 am  Sunday March 28, 2010"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-544	"02:28 am  Monday April 19, 2010"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-28825	"03:51 pm  Thursday April 29, 2010"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-9949	"10:35 pm  Sunday May 30, 2010"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-30270	"07:12 am  Sunday June 27, 2010"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-17401	"05:25 pm  Monday June 28, 2010"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-3473	"07:42 am  Tuesday July 6, 2010"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-6759	"01:54 am  Wednesday July 28, 2010"	""	1			0	0	0	0	0	0	0	0		
