WR	wepp-18225	"09:40 am  Friday January 1, 2010"	""	1			0	0	0	0	0	0	0	0	
WR	wepp-4197	"02:55 am  Monday January 4, 2010"	""	1			0	0	0	0	0	0	0	0	
WR	wepp-24832	"02:47 am  Tuesday February 23, 2010"	""	1			0	0	0	0	0	0	0	0	
WR	wepp-31110	"12:22 pm  Monday March 15, 2010"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-7471	"05:51 am  Saturday April 3, 2010"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-15548	"01:58 am  Friday April 23, 2010"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-5333	"08:28 am  Wednesday April 28, 2010"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-14251	"04:57 pm  Monday May 3, 2010"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-21699	"01:59 am  Thursday May 13, 2010"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-14268	"03:47 pm  Wednesday June 2, 2010"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-8347	"11:42 am  Sunday June 6, 2010"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-11448	"09:54 am  Thursday June 10, 2010"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-11006	"07:08 pm  Saturday June 12, 2010"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-30051	"07:55 am  Sunday June 20, 2010"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-6301	"04:53 am  Wednesday June 23, 2010"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-31112	"05:14 pm  Monday July 19, 2010"	""	1			0	0	0	0	0	0	0	0		
