WR	wepp-12470	"10:34 pm  Wednesday April 18, 2012"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-12548	"11:01 pm  Wednesday April 18, 2012"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-12551	"Apr 18, 2012"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-1021	"10:34 am  Sunday May 6, 2012"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-1189	"10:54 am  Sunday May 6, 2012"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-1192	"May 6, 2012"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-11262	"02:04 pm  Friday May 18, 2012"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-11439	"May 18, 2012"	""			0	0	0	0	0		0	0	0	0	0		""
WD	wepp-7886	"00:47 am  Tuesday May 29, 2012"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-533	"01:38 am  Saturday June 2, 2012"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-583	"Jun 2, 2012"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-3549	"05:44 pm  Thursday June 7, 2012"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-4048	"Jun 7, 2012"	""			0	0	0	0	0		0	0	0	0	0		""
WD	wepp-13967	"08:55 pm  Thursday June 14, 2012"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-391	"05:56 pm  Wednesday June 20, 2012"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-3250	"09:25 pm  Monday July 16, 2012"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-26638	"09:07 pm  Sunday July 22, 2012"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-12269	"Sep 26, 2012"	""			0	0	0	0	0		0	0	0	0	0		""
