WD	wepp-15673	"07:27 pm  Thursday October 25, 2012"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-26820	"06:49 pm  Saturday November 3, 2012"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-31941	"Jan 5, 2013"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-4993	"11:42 pm  Tuesday February 12, 2013"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-15695	"03:43 pm  Saturday March 30, 2013"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-4931	"Apr 17, 2013"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-347	"03:50 am  Friday May 17, 2013"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-7910	"00:56 am  Wednesday June 5, 2013"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-5535	"Jun 19, 2013"	""			0	0	0	0	0		0	0	0	0	0		""
wt	wepp-23873	"Jun 20, 2013"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-19119	"08:05 am  Saturday June 22, 2013"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-14368	"10:57 pm  Wednesday July 10, 2013"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-21714	"12:47 pm  Thursday July 11, 2013"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-486	"09:36 am  Monday August 26, 2013"	""	1			0	0	0	0	0	0	0	0		
