WE	wepp-4456	"03:45 am  Wednesday April 18, 2018"	"GUADALAJARA + +"	clay	20	forest	0	50	30	100	l			m
WE	wepp-6931	"04:37 am  Wednesday April 18, 2018"	"Prueba 2 +"	sand	20	range	0	50	30	200	m	15	75	m
WE	wepp-7972	"05:06 am  Wednesday April 18, 2018"	"Prueba 2 +"	sand	20	range	0	50	30	200	m	15	75	m
WE	wepp-17810	"09:28 am  Wednesday April 18, 2018"	"Prueba 2 +"	silt	20	range	0	30	50	240	m	30	0	m
WE	wepp-17994	"09:30 am  Wednesday April 18, 2018"	"Prueba 2 +"	silt	20	range	0	20	30	200	m	5	25	m
WE	wepp-18441	"09:33 am  Wednesday April 18, 2018"	"Prueba 2 +"	silt	20	range	15	20	30	142	m	5	5	m
WE	wepp-18625	"09:34 am  Wednesday April 18, 2018"	"Prueba 2 +"	silt	20	range	25	35	60	163	m	10	0	m
WE	wepp-18861	"09:39 am  Wednesday April 18, 2018"	"Prueba 2 +"	silt	5	range	10	30	60	240	m	40	0	m
WE	wepp-19046	"09:43 am  Wednesday April 18, 2018"	"Prueba 2 +"	silt	5	range	5	20	30	200	l	10	10	m
WE	wepp-19193	"09:45 am  Wednesday April 18, 2018"	"Prueba 2 +"	silt	5	range	15	20	30	142	l	5	5	m
WE	wepp-19400	"09:46 am  Wednesday April 18, 2018"	"Prueba 2 +"	silt	10	range	25	35	60	163	l	5	0	m
WE	wepp-19726	"10:09 am  Wednesday April 18, 2018"	"Prueba 2 +"	silt	5	range	10	30	60	240	m	40	0	m
WE	wepp-19908	"10:09 am  Wednesday April 18, 2018"	"Prueba 2 +"	silt	5	range	5	20	30	200	l	10	10	m
WE	wepp-20022	"10:09 am  Wednesday April 18, 2018"	"Prueba 2 +"	silt	5	range	15	20	30	142	l	5	5	m
WE	wepp-20136	"10:10 am  Wednesday April 18, 2018"	"Prueba 2 +"	silt	10	range	25	35	60	163	l	5	0	m
