WR	wepp-155943	"08:18 pm  Thursday March 24, 2022"	"BIRMINGHAM WB AP AL"	30	clay	native	200	4	13	15	50	130	25	20	inveg	ft
WE	wepp-157252	"08:19 pm  Thursday March 24, 2022"	"BIRMINGHAM WB AP AL"	silt	30	range	0	50	30	300	l	15	75	ft
WE	wepp-162957	"08:27 pm  Thursday March 24, 2022"	"BIRMINGHAM WB AP AL"	silt	30	range	0	50	30	300	l	15	75	ft
WD	wepp-164919	"08:30 pm  Thursday March 24, 2022"	"BIRMINGHAM WB AP AL"	10	clay	OldForest	50	0	30	100	20	OldForest	50	30	5	100	20	0	ft	""
WD	wepp-168935	"08:35 pm  Thursday March 24, 2022"	"BIRMINGHAM WB AP AL"	10	clay	OldForest	50	0	30	100	20	OldForest	50	30	5	100	20	0	ft	""
WE	wepp-171798	"08:39 pm  Thursday March 24, 2022"	"BIRMINGHAM WB AP AL"	clay	20	forest	0	50	30	300	l			ft
WE	wepp-175462	"08:44 pm  Thursday March 24, 2022"	"BIRMINGHAM WB AP AL"	sand	20	forest	0	50	30	300	l			ft
WR	wepp-179871	"08:50 pm  Thursday March 24, 2022"	"BIRMINGHAM WB AP AL"	30	silt	native	200	4	13	15	50	130	25	40	inbare	ft
WR	wepp-181932	"08:53 pm  Thursday March 24, 2022"	"BIRMINGHAM WB AP AL"	30	silt	native	200	4	13	15	50	130	25	40	inveg	ft
WR	wepp-182090	"08:53 pm  Thursday March 24, 2022"	"BIRMINGHAM WB AP AL"	30	silt	native	200	4	13	15	50	130	25	40	outrut	ft
WR	wepp-182243	"08:53 pm  Thursday March 24, 2022"	"BIRMINGHAM WB AP AL"	30	silt	native	200	4	13	15	50	130	25	40	outrut	ft
WR	wepp-183217	"08:54 pm  Thursday March 24, 2022"	"BIRMINGHAM WB AP AL"	30	silt	native	200	4	13	15	50	130	25	40	inbare	ft
WR	wepp-183961	"08:55 pm  Thursday March 24, 2022"	"BIRMINGHAM WB AP AL"	30	silt	native	200	4	13	15	50	130	25	40	inveg	ft
WR	wepp-184538	"08:56 pm  Thursday March 24, 2022"	"BIRMINGHAM WB AP AL"	30	silt	native	200	4	13	15	50	130	25	40	outrut	ft
WR	wepp-184869	"08:56 pm  Thursday March 24, 2022"	"BIRMINGHAM WB AP AL"	30	silt	native	200	4	13	15	50	130	25	40	outrut	ft
WR	wepp-185422	"08:57 pm  Thursday March 24, 2022"	"BIRMINGHAM WB AP AL"	30	silt	native	200	4	13	15	50	130	25	40	outrut	ft
WR	wepp-185982	"08:58 pm  Thursday March 24, 2022"	"BIRMINGHAM WB AP AL"	30	silt	native	200	4	13	15	50	130	25	40	outunrut	ft
WR	wepp-186170	"08:58 pm  Thursday March 24, 2022"	"BIRMINGHAM WB AP AL"	30	silt	native	200	4	13	15	50	130	25	40	outrut	ft
WR	wepp-186313	"08:58 pm  Thursday March 24, 2022"	"BIRMINGHAM WB AP AL"	30	silt	native	200	4	13	15	50	130	25	40	outunrut	ft
