WE	wepp-12601	"08:49 pm  Monday September 17, 2012"	"SAN BERNARDINO CA"	sand	20	forest	0	50	30	800	h			ft
WD	wepp-12694	"08:50 pm  Monday September 17, 2012"	"SAN BERNARDINO CA"	10	clay	HighFire	400	0	30	20	20	HighFire	400	30	5	30	20	0	ft	""
WD	wepp-12885	"09:08 pm  Monday September 17, 2012"	"Orense, Spain + +"	10	sand	HighFire	300	0	40	30	20	HighFire	300	40	10	30	20	0	m	"1"
WD	wepp-12905	"09:08 pm  Monday September 17, 2012"	"Orense, Spain + +"	10	sand	HighFire	200	0	40	30	20	HighFire	200	40	10	30	20	0	m	"2"
WD	wepp-12912	"09:08 pm  Monday September 17, 2012"	"Orense, Spain + +"	10	sand	HighFire	150	0	40	30	20	HighFire	150	40	10	30	20	0	m	"3"
WD	wepp-12932	"09:08 pm  Monday September 17, 2012"	"Orense, Spain + +"	10	sand	HighFire	100	0	40	30	20	HighFire	100	40	10	30	20	0	m	"4"
WD	wepp-12939	"09:08 pm  Monday September 17, 2012"	"Orense, Spain + +"	10	sand	HighFire	50	0	40	30	20	HighFire	50	40	10	30	20	0	m	"5"
WE	wepp-13026	"09:18 pm  Monday September 17, 2012"	"Orense, Spain + +"	sand	20	forest	0	50	20	300	h			m
WE	wepp-13115	"09:19 pm  Monday September 17, 2012"	"Orense, Spain + +"	sand	20	forest	0	50	20	150	h			m
WE	wepp-13204	"09:19 pm  Monday September 17, 2012"	"Orense, Spain + +"	sand	20	forest	0	50	20	200	h			m
WE	wepp-13293	"09:19 pm  Monday September 17, 2012"	"Orense, Spain + +"	sand	20	forest	0	50	20	100	h			m
WE	wepp-13382	"09:20 pm  Monday September 17, 2012"	"Orense, Spain + +"	sand	20	forest	0	50	20	50	h			m
