WR	wepp-212542	"11:14 am  Wednesday November 30, 2016"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-181153	"01:22 pm  Monday January 9, 2017"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-64401	"04:40 pm  Saturday January 14, 2017"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-76092	"05:24 pm  Saturday January 28, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
WD	wepp-170195	"06:10 pm  Tuesday January 31, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
WD	wepp-210929	"04:56 am  Thursday February 2, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-1831	"05:42 pm  Thursday February 16, 2017"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-219678	"10:10 am  Wednesday February 22, 2017"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-13493	"08:44 am  Thursday March 9, 2017"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-38046	"01:01 am  Saturday March 11, 2017"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-46087	"00:32 am  Sunday March 12, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-187334	"03:26 am  Tuesday March 21, 2017"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-45510	"11:27 am  Sunday April 2, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-27110	"02:12 am  Thursday May 11, 2017"	""	1			0	0	0	0	0	0	0	0		
