WR	wepp-2370	"07:11 am  Monday December 23, 2013"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-2373	"Dec 23, 2013"	""			0	0	0	0	0		0	0	0	0	0		""
WD	wepp-2429	"07:14 am  Monday December 23, 2013"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-30635	"05:52 am  Sunday December 29, 2013"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-30636	"Dec 29, 2013"	""			0	0	0	0	0		0	0	0	0	0		""
WD	wepp-8796	"09:05 pm  Monday December 30, 2013"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-7773	"05:08 pm  Saturday January 4, 2014"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-19713	"Jan 6, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WD	wepp-2280	"09:03 am  Tuesday January 7, 2014"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-3795	"02:09 pm  Sunday January 12, 2014"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-31354	"Jan 15, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WD	wepp-31355	"10:59 am  Wednesday January 15, 2014"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-19554	"Jan 23, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
wt	wepp-33873	"Jan 28, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-33879	"11:54 am  Tuesday January 28, 2014"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-152795	"02:50 am  Thursday January 30, 2014"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-146826	"Feb 1, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-136920	"02:51 pm  Wednesday February 5, 2014"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-63447	"Feb 6, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WD	wepp-63597	"04:44 pm  Thursday February 6, 2014"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-81852	"Feb 10, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-190595	"09:54 am  Thursday February 13, 2014"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-92816	"09:08 am  Friday February 14, 2014"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-79735	"Feb 16, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-97507	"06:48 am  Saturday February 22, 2014"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-99307	"06:50 am  Saturday February 22, 2014"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-25743	"Feb 24, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-104811	"03:48 pm  Saturday March 1, 2014"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-104814	"03:48 pm  Saturday March 1, 2014"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-13313	"Mar 4, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-6260	"11:06 am  Sunday March 9, 2014"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-6882	"11:07 am  Sunday March 9, 2014"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-12875	"Mar 12, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-13431	"04:56 pm  Sunday March 16, 2014"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-13568	"04:56 pm  Sunday March 16, 2014"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-20704	"Mar 20, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-19530	"08:57 am  Monday March 24, 2014"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-19533	"08:57 am  Monday March 24, 2014"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-16487	"Mar 28, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-30155	"01:53 pm  Tuesday April 1, 2014"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-30156	"01:53 pm  Tuesday April 1, 2014"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-13009	"Apr 5, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-14860	"04:01 pm  Wednesday April 9, 2014"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-14861	"04:01 pm  Wednesday April 9, 2014"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-27464	"Apr 14, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-16778	"06:00 am  Friday April 18, 2014"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-16779	"06:01 am  Friday April 18, 2014"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-8253	"Apr 21, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-7598	"09:46 am  Saturday April 26, 2014"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-7602	"09:46 am  Saturday April 26, 2014"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-3654	"Apr 29, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-3411	"07:54 am  Sunday May 4, 2014"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-3412	"07:54 am  Sunday May 4, 2014"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-4027	"May 7, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-20834	"08:00 am  Saturday May 10, 2014"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-24538	"05:57 am  Monday May 12, 2014"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-74730	"10:48 am  Sunday May 18, 2014"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-126931	"09:52 am  Tuesday May 20, 2014"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-27214	"05:55 am  Saturday May 24, 2014"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-112709	"01:56 am  Wednesday May 28, 2014"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-140011	"01:58 am  Friday May 30, 2014"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-155854	"May 31, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-204748	"04:12 pm  Monday June 2, 2014"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-46268	"05:59 pm  Wednesday June 4, 2014"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-73342	"Jun 6, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-73357	"04:51 am  Friday June 6, 2014"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-160520	"00:48 am  Tuesday June 10, 2014"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-190210	"Jun 11, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WD	wepp-201582	"09:42 am  Thursday June 12, 2014"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-227301	"02:39 am  Saturday June 14, 2014"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-40952	"Jun 16, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-72352	"07:49 am  Wednesday June 18, 2014"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-95241	"07:39 pm  Thursday June 19, 2014"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-124615	"11:34 pm  Saturday June 21, 2014"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-146826	"Jun 22, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-207925	"03:34 pm  Wednesday June 25, 2014"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-5892	"03:34 am  Friday June 27, 2014"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-25064	"Jun 28, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-34395	"07:36 am  Sunday June 29, 2014"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-95473	"Jul 3, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-95476	"07:38 pm  Thursday July 3, 2014"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-104493	"03:35 pm  Friday July 4, 2014"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-119478	"07:33 pm  Tuesday July 8, 2014"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-239987	"Jul 9, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WD	wepp-40665	"03:34 am  Saturday July 12, 2014"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-60736	"11:34 am  Sunday July 13, 2014"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-81783	"Jul 14, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-147723	"07:35 am  Friday July 18, 2014"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-178667	"03:33 pm  Saturday July 19, 2014"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-184832	"Jul 20, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-195724	"07:33 pm  Sunday July 20, 2014"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-38227	"07:39 pm  Saturday July 26, 2014"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-38241	"Jul 26, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WD	wepp-44688	"07:47 am  Sunday July 27, 2014"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-49440	"03:46 am  Thursday July 31, 2014"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-79766	"Aug 1, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WD	wepp-182547	"11:49 am  Sunday August 3, 2014"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-5974	"Aug 4, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-7109	"03:17 pm  Monday August 4, 2014"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-105392	"Aug 8, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-132490	"03:47 am  Saturday August 9, 2014"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-162478	"11:51 pm  Sunday August 10, 2014"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-176135	"Aug 11, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-56555	"03:54 pm  Wednesday August 13, 2014"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-16386	"Aug 15, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-127513	"03:43 am  Monday August 18, 2014"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-157751	"Aug 18, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WD	wepp-157770	"07:54 pm  Monday August 18, 2014"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-26777	"Aug 22, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-53289	"07:43 pm  Friday August 22, 2014"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-118354	"Aug 25, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WD	wepp-139651	"07:57 am  Tuesday August 26, 2014"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-184011	"12:07 pm  Wednesday August 27, 2014"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-61997	"Aug 29, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
wt	wepp-130184	"Sep 1, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-130197	"08:45 pm  Monday September 1, 2014"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-165382	"03:44 am  Wednesday September 3, 2014"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-60055	"Sep 5, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-210531	"03:44 am  Sunday September 7, 2014"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-68528	"Sep 8, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WD	wepp-62972	"07:53 pm  Wednesday September 10, 2014"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-30331	"Sep 12, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-30352	"11:39 am  Friday September 12, 2014"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-32322	"Sep 17, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-32326	"07:53 pm  Wednesday September 17, 2014"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-41497	"11:39 am  Thursday September 18, 2014"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-82291	"Sep 21, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-111843	"03:47 am  Tuesday September 23, 2014"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-40895	"Sep 24, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
wt	wepp-12225	"Sep 28, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-26589	"07:41 pm  Sunday September 28, 2014"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-114206	"Oct 7, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-117015	"06:53 am  Tuesday October 7, 2014"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-117023	"06:53 am  Tuesday October 7, 2014"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-165323	"Oct 10, 2014"	""			0	0	0	0	0		0	0	0	0	0		""
