WR	wepp-27591	"06:52 am  Wednesday October 16, 2013"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-27592	"Oct 16, 2013"	""			0	0	0	0	0		0	0	0	0	0		""
WD	wepp-50135	"07:34 am  Tuesday October 13, 2015"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-73664	"03:39 am  Wednesday October 14, 2015"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-111542	"Oct 14, 2015"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-235920	"05:45 am  Monday October 19, 2015"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-240379	"07:34 am  Monday October 19, 2015"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-14607	"Oct 19, 2015"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-199571	"11:49 pm  Thursday October 22, 2015"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-85118	"Oct 25, 2015"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-102813	"11:35 am  Monday October 26, 2015"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-27087	"11:47 pm  Thursday October 29, 2015"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-86146	"Oct 31, 2015"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-195705	"02:40 pm  Monday November 2, 2015"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-195881	"02:43 pm  Monday November 2, 2015"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-183115	"Nov 5, 2015"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-45684	"11:37 am  Friday November 6, 2015"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-15665	"06:39 am  Tuesday November 10, 2015"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-57997	"Nov 11, 2015"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-59023	"10:42 am  Friday November 13, 2015"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-2992	"04:31 am  Wednesday November 18, 2015"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-3033	"Nov 18, 2015"	""			0	0	0	0	0		0	0	0	0	0		""
WD	wepp-3245	"04:39 am  Wednesday November 18, 2015"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-132679	"02:23 am  Sunday November 22, 2015"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-158097	"Nov 23, 2015"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-175573	"06:34 am  Wednesday November 25, 2015"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-175911	"06:36 am  Wednesday November 25, 2015"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-52886	"10:38 am  Monday November 30, 2015"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-52894	"Nov 30, 2015"	""			0	0	0	0	0		0	0	0	0	0		""
WD	wepp-81927	"02:36 am  Tuesday December 1, 2015"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-207047	"02:41 am  Friday December 4, 2015"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-10918	"Dec 5, 2015"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-85750	"02:39 pm  Monday December 7, 2015"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-195995	"02:48 pm  Friday December 11, 2015"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-195997	"Dec 11, 2015"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-117637	"10:34 pm  Monday December 14, 2015"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-168883	"02:42 am  Wednesday December 16, 2015"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-212883	"Dec 16, 2015"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-142873	"04:50 pm  Friday December 18, 2015"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-106382	"11:47 pm  Monday December 21, 2015"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-106387	"Dec 21, 2015"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-84174	"07:43 pm  Friday December 25, 2015"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-182919	"Dec 27, 2015"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-93186	"02:40 am  Tuesday December 29, 2015"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-229484	"12:47 pm  Wednesday December 30, 2015"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-83480	"07:22 am  Friday January 1, 2016"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-121026	"Jan 1, 2016"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-48756	"00:30 am  Tuesday January 5, 2016"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-174151	"Jan 7, 2016"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-193281	"05:33 am  Friday January 8, 2016"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-94294	"11:47 pm  Monday January 11, 2016"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-128940	"Jan 13, 2016"	""			0	0	0	0	0		0	0	0	0	0		""
WD	wepp-150357	"02:40 am  Thursday January 14, 2016"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-189289	"08:42 am  Friday January 15, 2016"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-29023	"08:37 pm  Monday January 18, 2016"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-30820	"Jan 18, 2016"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-158416	"08:48 am  Friday January 22, 2016"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-244715	"Jan 24, 2016"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-55269	"01:39 am  Tuesday January 26, 2016"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-152960	"06:45 pm  Thursday January 28, 2016"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-173684	"10:45 am  Friday January 29, 2016"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-198644	"Jan 30, 2016"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-51241	"09:40 pm  Monday February 1, 2016"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-134904	"Feb 4, 2016"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-127061	"01:46 pm  Sunday February 7, 2016"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-69322	"Feb 10, 2016"	""			0	0	0	0	0		0	0	0	0	0		""
