WR	wepp-241522	"06:34 pm  Tuesday February 20, 2018"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-68815	"09:15 am  Monday May 21, 2018"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-186556	"04:20 am  Saturday July 7, 2018"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-186605	"Jul 7, 2018"	""			0	0	0	0	0		0	0	0	0	0		""
wt	wepp-195360	"Jul 7, 2018"	""			0	0	0	0	0		0	0	0	0	0		""
WD	wepp-196780	"11:29 pm  Saturday July 7, 2018"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-197753	"Jul 8, 2018"	""			0	0	0	0	0		0	0	0	0	0		""
wt	wepp-200893	"Jul 8, 2018"	""			0	0	0	0	0		0	0	0	0	0		""
wt	wepp-203148	"Jul 8, 2018"	""			0	0	0	0	0		0	0	0	0	0		""
wt	wepp-32142	"Jul 8, 2018"	""			0	0	0	0	0		0	0	0	0	0		""
wt	wepp-91385	"Jul 9, 2018"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-138029	"03:22 pm  Monday July 9, 2018"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-96579	"05:50 pm  Wednesday July 25, 2018"	""				0	0	0	0	0		0	0	0	0	0	0		""
