WD	wepp-80962	"08:30 pm  Wednesday April 3, 2019"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-10649	"08:33 pm  Monday April 6, 2020"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-18530	"02:55 pm  Saturday April 18, 2020"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-111622	"01:36 am  Tuesday April 21, 2020"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-201671	"03:46 pm  Tuesday May 5, 2020"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-240383	"05:45 pm  Tuesday May 19, 2020"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-119676	"02:53 am  Sunday May 31, 2020"	""				0	0	0	0	0		0	0	0	0	0	0		""
WD	wepp-120547	"03:24 am  Sunday May 31, 2020"	""				0	0	0	0	0		0	0	0	0	0	0		""
WD	wepp-51389	"04:48 am  Sunday June 7, 2020"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-162426	"10:32 pm  Tuesday June 9, 2020"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-177714	"06:39 am  Sunday June 21, 2020"	""				0	0	0	0	0		0	0	0	0	0	0		""
