WD	wepp-80145	"02:48 am  Friday May 26, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-158923	"11:22 pm  Friday July 10, 2020"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-53036	"09:56 am  Wednesday July 15, 2020"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-180396	"00:52 am  Sunday July 19, 2020"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-181975	"01:50 am  Sunday July 19, 2020"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-137730	"10:39 am  Friday August 7, 2020"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-227856	"07:47 am  Tuesday August 11, 2020"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-236218	"03:35 pm  Tuesday August 11, 2020"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-18118	"02:48 pm  Wednesday August 12, 2020"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-200010	"06:03 am  Wednesday April 14, 2021"	""				0	0	0	0	0		0	0	0	0	0	0		""
WD	wepp-92675	"03:40 am  Sunday April 18, 2021"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-70671	"01:13 am  Monday April 26, 2021"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-77470	"10:11 am  Monday April 26, 2021"	""				0	0	0	0	0		0	0	0	0	0	0		""
WD	wepp-164550	"10:55 am  Thursday April 29, 2021"	""				0	0	0	0	0		0	0	0	0	0	0		""
