WR	wepp-158609	"10:47 pm  Friday July 10, 2020"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-97773	"02:54 pm  Thursday July 16, 2020"	""				0	0	0	0	0		0	0	0	0	0	0		""
WD	wepp-9072	"08:50 pm  Thursday May 20, 2021"	""				0	0	0	0	0		0	0	0	0	0	0		""
WD	wepp-16992	"06:11 am  Friday May 21, 2021"	""				0	0	0	0	0		0	0	0	0	0	0		""
WD	wepp-211418	"07:57 pm  Wednesday June 30, 2021"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-192064	"04:12 pm  Wednesday August 18, 2021"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-233842	"09:50 pm  Tuesday August 31, 2021"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-107662	"08:11 pm  Sunday February 20, 2022"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-114741	"08:15 am  Friday May 6, 2022"	""				0	0	0	0	0		0	0	0	0	0	0		""
WD	wepp-116180	"09:45 am  Friday May 6, 2022"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-218100	"07:08 pm  Monday May 9, 2022"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-44228	"11:04 am  Wednesday May 11, 2022"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-116478	"10:14 pm  Sunday May 22, 2022"	""	1			0	0	0	0	0	0	0	0		
