WD	wepp-17608	"05:38 pm  Saturday September 29, 2012"	"EVERGLADES FL"	30	loam	Sod	200	20	20	70	20	LowFire	200	20	20	70	20	0	ft	""
WD	wepp-17655	"05:39 pm  Saturday September 29, 2012"	"EVERGLADES FL"	30	loam	LowFire	200	20	20	70	20	LowFire	200	20	20	70	20	0	ft	""
WR	wepp-24832	"08:13 am  Sunday September 30, 2012"	"EVERGLADES FL"	30	loam	native	200	5	13	15	30	25	20	20	outrut	ft
WR	wepp-24948	"08:25 am  Sunday September 30, 2012"	"EVERGLADES FL"	30	loam	native	200	5	13	15	30	100	20	20	outrut	ft
WR	wepp-25094	"08:31 am  Sunday September 30, 2012"	"EVERGLADES FL"	30	loam	native	200	5	13	15	30	200	20	20	outrut	ft
WD	wepp-1956	"06:19 pm  Tuesday October 2, 2012"	"EVERGLADES FL"	10	loam	OldForest	200	0	20	95	20	OldForest	200	20	0	95	20	0	ft	""
WD	wepp-1979	"06:19 pm  Tuesday October 2, 2012"	"EVERGLADES FL"	30	loam	OldForest	200	0	20	95	20	OldForest	200	20	0	95	20	0	ft	""
WD	wepp-2130	"06:34 pm  Tuesday October 2, 2012"	"../working/67_174_105_146_a"	30	loam	Bunchgrass	200	0	20	90	20	Bunchgrass	200	20	0	90	20	0	ft	""
WD	wepp-2150	"06:35 pm  Tuesday October 2, 2012"	"../working/67_174_105_146_a"	30	loam	Bunchgrass	200	0	20	90	20	Bunchgrass	200	20	0	90	20	0	ft	""
WD	wepp-2197	"06:35 pm  Tuesday October 2, 2012"	"../working/67_174_105_146_a"	30	loam	Bunchgrass	200	0	20	90	20	Bunchgrass	200	20	0	90	20	0	ft	""
WD	wepp-2262	"06:40 pm  Tuesday October 2, 2012"	"EVERGLADES FL"	10	loam	Bunchgrass	200	0	20	90	20	Bunchgrass	200	20	5	90	20	0	ft	""
WD	wepp-2416	"06:51 pm  Tuesday October 2, 2012"	"../working/67_174_105_146_a"	30	loam	Bunchgrass	200	0	20	90	20	Bunchgrass	200	20	0	90	20	0	ft	""
WD	wepp-2438	"06:51 pm  Tuesday October 2, 2012"	"EVERGLADES FL"	30	loam	OldForest	200	0	20	95	20	OldForest	200	20	0	95	20	0	ft	""
WD	wepp-2506	"06:52 pm  Tuesday October 2, 2012"	"../working/67_174_105_146_a"	30	loam	Bunchgrass	200	0	20	90	20	Bunchgrass	200	20	0	90	20	0	ft	""
WD	wepp-2575	"06:53 pm  Tuesday October 2, 2012"	"../working/67_174_105_146_a"	30	loam	Bunchgrass	200	0	20	90	20	Bunchgrass	200	20	0	90	20	0	ft	""
WD	wepp-2675	"06:56 pm  Tuesday October 2, 2012"	"../working/67_174_105_146_a"	30	loam	Bunchgrass	200	20	20	90	20	Bunchgrass	200	20	20	90	20	0	ft	""
WD	wepp-2718	"06:56 pm  Tuesday October 2, 2012"	"../working/67_174_105_146_a"	30	loam	Bunchgrass	200	20	20	90	20	Bunchgrass	200	20	20	90	20	0	ft	""
WD	wepp-2744	"06:57 pm  Tuesday October 2, 2012"	"EVERGLADES FL"	30	loam	Bunchgrass	200	0	20	90	20	Bunchgrass	200	0	20	90	20	0	ft	""
WD	wepp-2763	"06:58 pm  Tuesday October 2, 2012"	"../working/67_174_105_146_a"	30	loam	Bunchgrass	200	20	20	90	20	Bunchgrass	200	20	20	90	20	0	ft	""
WD	wepp-2884	"07:07 pm  Tuesday October 2, 2012"	"EVERGLADES FL"	30	loam	OldForest	200	20	20	95	20	OldForest	200	20	20	95	20	0	ft	""
WD	wepp-2924	"07:09 pm  Tuesday October 2, 2012"	"../working/67_174_105_146_a"	30	loam	Bunchgrass	200	20	20	90	20	Bunchgrass	200	20	20	90	20	0	ft	""
WD	wepp-2943	"07:10 pm  Tuesday October 2, 2012"	"../working/67_174_105_146_a"	30	loam	Bunchgrass	200	20	20	90	20	Bunchgrass	200	20	20	90	20	0	ft	""
WD	wepp-3038	"07:11 pm  Tuesday October 2, 2012"	"../working/67_174_105_146_a"	30	loam	Bunchgrass	200	20	20	90	20	Bunchgrass	200	20	20	90	20	0	ft	""
WD	wepp-3058	"07:12 pm  Tuesday October 2, 2012"	"EVERGLADES FL"	30	loam	Bunchgrass	200	20	21	90	20	Bunchgrass	200	20	21	90	20	0	ft	""
WD	wepp-3078	"07:12 pm  Tuesday October 2, 2012"	"../working/67_174_105_146_a"	30	loam	Bunchgrass	200	20	20	90	20	Bunchgrass	200	20	20	90	20	0	ft	""
WD	wepp-3098	"07:13 pm  Tuesday October 2, 2012"	"EVERGLADES FL"	30	loam	Bunchgrass	200	20	21	90	20	Bunchgrass	200	20	21	90	20	0	ft	""
WD	wepp-3120	"07:14 pm  Tuesday October 2, 2012"	"EVERGLADES FL"	30	loam	OldForest	200	20	20	95	20	OldForest	200	20	20	95	20	0	ft	""
WD	wepp-3323	"07:28 pm  Tuesday October 2, 2012"	"../working/67_174_105_146_a"	30	loam	Bunchgrass	200	20	20	90	20	Bunchgrass	200	20	20	90	20	0	ft	""
WD	wepp-3362	"07:28 pm  Tuesday October 2, 2012"	"../working/67_174_105_146_a"	30	loam	Bunchgrass	200	20	20	90	20	Bunchgrass	200	20	20	90	20	0	ft	""
WD	wepp-3382	"07:28 pm  Tuesday October 2, 2012"	"EVERGLADES FL"	30	loam	Bunchgrass	200	19	20	90	20	Bunchgrass	200	19	20	90	20	0	ft	""
WD	wepp-3489	"07:34 pm  Tuesday October 2, 2012"	"../working/67_174_105_146_a"	30	loam	Bunchgrass	200	20	20	90	20	Bunchgrass	200	20	20	90	20	0	ft	""
WD	wepp-3556	"07:36 pm  Tuesday October 2, 2012"	"EVERGLADES FL"	30	loam	Sod	200	20	20	40	20	Sod	200	20	20	40	20	0	ft	""
WD	wepp-3722	"07:53 pm  Tuesday October 2, 2012"	"../working/67_174_105_146_a"	30	loam	LowFire	200	20	20	70	20	LowFire	200	20	20	70	20	0	ft	""
WD	wepp-3741	"07:53 pm  Tuesday October 2, 2012"	"../working/67_174_105_146_a"	30	loam	LowFire	200	20	20	70	20	LowFire	200	20	20	70	20	0	ft	""
WD	wepp-3761	"07:53 pm  Tuesday October 2, 2012"	"EVERGLADES FL"	30	loam	LowFire	200	19	20	70	20	LowFire	200	19	20	70	20	0	ft	""
WD	wepp-4157	"08:10 pm  Tuesday October 2, 2012"	"EVERGLADES FL"	30	loam	HighFire	200	19	20	20	20	HighFire	200	19	20	20	20	0	ft	""
WD	wepp-4907	"09:34 pm  Tuesday October 2, 2012"	"EVERGLADES FL"	30	loam	HighFire	200	40	40	20	20	HighFire	200	40	40	20	20	0	ft	""
