WD	wepp-190723	"11:53 am  Sunday July 20, 2014"	"CUBA NM modified +"	10	loam	HighFire	50	12	8	5	20	HighFire	50	8	2	10	20	0	ft	""
WD	wepp-191039	"12:08 pm  Sunday July 20, 2014"	"CUBA NM modified +"	10	loam	OldForest	50	12	8	85	20	OldForest	50	8	2	85	20	0	ft	"136 pre fire modified"
WD	wepp-191121	"12:14 pm  Sunday July 20, 2014"	"CUBA NM modified +"	10	loam	HighFire	50	40	30	5	20	HighFire	50	30	15	5	20	0	ft	"137 post fire mod and high burn - modified"
WD	wepp-191177	"12:19 pm  Sunday July 20, 2014"	"CUBA NM modified +"	10	loam	OldForest	50	40	30	95	20	OldForest	50	30	15	95	20	0	ft	"137 pre fire"
WD	wepp-191253	"12:29 pm  Sunday July 20, 2014"	"CUBA NM modified +"	10	loam	OldForest	50	0	30	95	20	OldForest	50	30	5	95	20	0	ft	"138 pre fire - modified"
WD	wepp-191310	"12:33 pm  Sunday July 20, 2014"	"CUBA NM modified +"	10	loam	HighFire	50	80	60	5	20	HighFire	50	60	40	5	20	0	ft	"138 post fire mod and high burn severity - modified"
WD	wepp-191386	"12:40 pm  Sunday July 20, 2014"	"CUBA NM modified +"	10	loam	HighFire	50	80	60	5	20	HighFire	50	60	40	5	20	0	ft	"150 post fire mod and high burn severity - modified"
WD	wepp-191432	"12:43 pm  Sunday July 20, 2014"	"CUBA NM"	10	loam	HighFire	50	80	60	5	20	HighFire	50	60	40	5	20	0	ft	"150 post fire mod and high burn severity - modified"
WD	wepp-192176	"02:09 pm  Sunday July 20, 2014"	"CUBA NM modified +"	10	clay	OldForest	50	65	50	85	20	OldForest	50	50	40	85	20	0	ft	"150 pre fire - modified"
WD	wepp-192226	"02:11 pm  Sunday July 20, 2014"	"CUBA NM modified +"	10	clay	OldForest	50	65	50	85	20	OldForest	50	50	40	85	20	0	ft	"150 pre fire - modified"
WD	wepp-192264	"02:12 pm  Sunday July 20, 2014"	"CUBA NM"	10	clay	OldForest	50	65	50	85	20	OldForest	50	50	40	85	20	0	ft	""
WD	wepp-192320	"02:16 pm  Sunday July 20, 2014"	"CUBA NM modified +"	10	clay	OldForest	50	12	8	85	5	OldForest	50	8	2	85	5	0	ft	"155 pre fire "
WD	wepp-192357	"02:16 pm  Sunday July 20, 2014"	"CUBA NM modified +"	10	clay	OldForest	50	12	8	100	5	OldForest	50	8	2	100	5	0	ft	"155 pre fire - modified"
WD	wepp-192423	"02:21 pm  Sunday July 20, 2014"	"CUBA NM modified +"	10	clay	HighFire	50	12	8	5	5	HighFire	50	8	2	5	5	0	ft	"155 pre fire - modified"
WD	wepp-192460	"02:21 pm  Sunday July 20, 2014"	"CUBA NM modified +"	10	loam	HighFire	50	12	8	5	5	HighFire	50	8	2	5	5	0	ft	""
WD	wepp-192515	"02:25 pm  Sunday July 20, 2014"	"CUBA NM"	10	loam	HighFire	50	12	8	5	5	HighFire	50	8	2	5	5	0	ft	"155 post fire "
WD	wepp-192586	"02:33 pm  Sunday July 20, 2014"	"CUBA NM modified +"	10	loam	HighFire	50	40	30	5	5	HighFire	50	30	15	5	5	0	ft	"156 post fire mod and high burn serverity - modified"
WD	wepp-192639	"02:37 pm  Sunday July 20, 2014"	"CUBA NM modified +"	10	loam	OldForest	50	40	30	85	5	OldForest	50	30	15	85	5	0	ft	"156 pre fire - modified"
WE	wepp-193786	"04:22 pm  Sunday July 20, 2014"	"CUBA NM modified +"	loam	20	forest	65	50	40	50	m			ft
WE	wepp-193996	"04:32 pm  Sunday July 20, 2014"	"CUBA NM modified +"	loam	20	forest	40	30	15	50	m			ft
WE	wepp-194160	"04:34 pm  Sunday July 20, 2014"	"CUBA NM modified +"	loam	20	forest	80	60	40	50	m			ft
