WD	wepp-80530	"09:45 am  Wednesday March 30, 2016"	"REDLANDS CA"	10	clay	HighFire	100	30	30	10	20	OldForest	100	30	30	10	20	0	ft	""
WD	wepp-80583	"09:46 am  Wednesday March 30, 2016"	"REDLANDS CA"	10	clay	HighFire	100	30	30	10	20	HighFire	100	30	30	10	20	0	ft	""
WD	wepp-80841	"09:47 am  Wednesday March 30, 2016"	"REDLANDS CA"	10	sand	HighFire	100	30	30	10	20	HighFire	100	30	30	10	20	0	ft	""
WD	wepp-80897	"09:48 am  Wednesday March 30, 2016"	"REDLANDS CA"	10	clay	HighFire	100	30	30	10	20	HighFire	100	30	30	10	20	0	ft	""
WD	wepp-80947	"09:49 am  Wednesday March 30, 2016"	"REDLANDS CA"	10	clay	LowFire	100	30	30	85	20	LowFire	100	30	30	85	20	0	ft	""
WD	wepp-80999	"09:49 am  Wednesday March 30, 2016"	"REDLANDS CA"	10	clay	OldForest	100	30	30	100	20	OldForest	100	30	30	100	20	0	ft	""
WD	wepp-81072	"09:51 am  Wednesday March 30, 2016"	"REDLANDS CA"	10	clay	HighFire	100	50	50	10	20	HighFire	100	50	50	10	20	0	ft	""
WD	wepp-81132	"09:52 am  Wednesday March 30, 2016"	"REDLANDS CA"	10	clay	HighFire	250	30	30	10	20	HighFire	250	30	30	10	20	0	ft	""
WD	wepp-81175	"09:52 am  Wednesday March 30, 2016"	"REDLANDS CA"	10	clay	HighFire	250	50	50	10	20	HighFire	250	50	50	10	20	0	ft	""
WE	wepp-81275	"09:54 am  Wednesday March 30, 2016"	"REDLANDS CA"	clay	20	forest	50	50	50	200	h			ft
WE	wepp-81528	"09:55 am  Wednesday March 30, 2016"	"REDLANDS CA"	clay	20	forest	50	50	50	200	h			ft
WE	wepp-81768	"09:55 am  Wednesday March 30, 2016"	"REDLANDS CA"	clay	20	forest	50	50	50	200	h			ft
WD	wepp-82167	"10:01 am  Wednesday March 30, 2016"	"REDLANDS CA"	10	clay	HighFire	100	30	30	10	20	HighFire	100	30	30	10	20	0	ft	""
WD	wepp-82216	"10:01 am  Wednesday March 30, 2016"	"REDLANDS CA"	10	sand	HighFire	100	30	30	10	20	HighFire	100	30	30	10	20	0	ft	""
WD	wepp-82264	"10:02 am  Wednesday March 30, 2016"	"REDLANDS CA"	10	clay	LowFire	100	30	30	85	20	LowFire	100	30	30	85	20	0	ft	""
WD	wepp-82330	"10:02 am  Wednesday March 30, 2016"	"REDLANDS CA"	10	clay	OldForest	100	30	30	100	20	OldForest	100	30	30	100	20	0	ft	""
WD	wepp-82561	"10:09 am  Wednesday March 30, 2016"	"REDLANDS CA"	10	clay	HighFire	100	50	50	10	20	HighFire	100	50	50	10	20	0	ft	""
WD	wepp-82608	"10:09 am  Wednesday March 30, 2016"	"REDLANDS CA"	10	clay	HighFire	100	50	50	10	20	HighFire	100	50	50	10	20	0	ft	""
WD	wepp-82650	"10:09 am  Wednesday March 30, 2016"	"REDLANDS CA"	10	clay	HighFire	250	50	50	10	20	HighFire	250	50	50	10	20	0	ft	""
WD	wepp-82695	"10:10 am  Wednesday March 30, 2016"	"REDLANDS CA"	10	clay	HighFire	250	30	30	10	20	HighFire	250	30	30	10	20	0	ft	""
