WE	wepp-221539	"03:16 pm  Wednesday February 10, 2021"	"WALLOWA OR"	clay	20	forest	0	50	30	300	l			ft
WE	wepp-221927	"03:38 pm  Wednesday February 10, 2021"	"WALLOWA OR +"	silt	5	range	51.15	62.28	21	74.87287	m	15	75	m
WE	wepp-222141	"03:39 pm  Wednesday February 10, 2021"	"WALLOWA OR +"	silt	5	range	49.26	75.81	40.98	54.00666	m	15	75	m
WE	wepp-222274	"03:39 pm  Wednesday February 10, 2021"	"WALLOWA OR +"	silt	5	range	57.75	65.74	43.05	102.108	m	15	75	m
WE	wepp-222405	"03:39 pm  Wednesday February 10, 2021"	"WALLOWA OR +"	silt	5	range	50.91	69.41	44.32	27.13275	m	15	75	m
WE	wepp-222541	"03:40 pm  Wednesday February 10, 2021"	"WALLOWA OR +"	silt	5	range	65.53	100	73.61	9.866455	m	15	75	m
WE	wepp-222673	"03:40 pm  Wednesday February 10, 2021"	"WALLOWA OR +"	silt	5	range	62.33	74.16	32.5	44.06696	m	15	75	m
WE	wepp-222807	"03:40 pm  Wednesday February 10, 2021"	"WALLOWA OR +"	sand	5	range	40.07	66.84	25.91	77.67736	m	15	75	m
WE	wepp-222969	"03:40 pm  Wednesday February 10, 2021"	"WALLOWA OR +"	silt	5	range	53.03	68.9	61.61	107.2601	h	15	75	m
WE	wepp-223165	"03:41 pm  Wednesday February 10, 2021"	"WALLOWA OR +"	silt	5	range	56.1	80.17	57.7	41.0311	m	15	75	m
WE	wepp-223297	"03:41 pm  Wednesday February 10, 2021"	"WALLOWA OR +"	silt	5	range	74.13	98.17	57.07	28.20888	m	15	75	m
WE	wepp-223432	"03:41 pm  Wednesday February 10, 2021"	"WALLOWA OR +"	silt	5	range	61.33	71.01	37.9	96.5832	m	15	75	m
WE	wepp-223564	"03:42 pm  Wednesday February 10, 2021"	"WALLOWA OR +"	sand	5	range	49.69	68.89	38.84	130.7518	m	15	75	m
WE	wepp-223707	"03:42 pm  Wednesday February 10, 2021"	"WALLOWA OR +"	silt	5	range	60	73.74	67.59	137.3952	m	15	75	m
WE	wepp-223839	"03:42 pm  Wednesday February 10, 2021"	"WALLOWA OR +"	silt	5	range	54.92	97.8	57.96	28.06962	m	15	75	m
WE	wepp-223969	"03:43 pm  Wednesday February 10, 2021"	"WALLOWA OR +"	silt	5	range	51.67	73.76	54.24	53.13178	m	15	75	m
WE	wepp-224100	"03:43 pm  Wednesday February 10, 2021"	"WALLOWA OR +"	silt	5	range	38.67	80.23	18.86	13.716	m	15	75	m
WE	wepp-224231	"03:43 pm  Wednesday February 10, 2021"	"WALLOWA OR +"	sand	5	range	50.44	60.62	33	300	m	15	75	m
WE	wepp-224361	"03:44 pm  Wednesday February 10, 2021"	"WALLOWA OR +"	silt	5	range	79.33	75.92	32.29	28.14637	m	15	75	m
WE	wepp-224494	"03:44 pm  Wednesday February 10, 2021"	"WALLOWA OR +"	sand	5	range	75.19	80.82	24.62	51.753	m	15	75	m
WE	wepp-224625	"03:44 pm  Wednesday February 10, 2021"	"WALLOWA OR +"	silt	5	range	63	63.01	58.63	127.6433	m	15	75	m
WE	wepp-224758	"03:45 pm  Wednesday February 10, 2021"	"WALLOWA OR +"	silt	5	range	74.95	100	62.98	35.99926	m	15	75	m
WE	wepp-224889	"03:45 pm  Wednesday February 10, 2021"	"WALLOWA OR +"	silt	5	range	51	70.66	39.54	29.85304	m	15	75	m
WE	wepp-225023	"03:45 pm  Wednesday February 10, 2021"	"WALLOWA OR +"	silt	5	range	77.33	66.92	30.96	57.55725	m	15	75	m
WE	wepp-225154	"03:45 pm  Wednesday February 10, 2021"	"WALLOWA OR +"	sand	5	range	73.3	100	47.26	12.20911	m	15	75	m
WE	wepp-225284	"03:46 pm  Wednesday February 10, 2021"	"WALLOWA OR +"	silt	5	range	61.05	82.96	38.2	46.78509	m	15	75	m
WE	wepp-225429	"03:46 pm  Wednesday February 10, 2021"	"WALLOWA OR +"	sand	5	range	68.47	73.74	31.14	127.5957	m	15	75	m
WE	wepp-225560	"03:46 pm  Wednesday February 10, 2021"	"WALLOWA OR +"	silt	5	range	23.1	48.49	45.78	90.48361	h	15	75	m
WE	wepp-225739	"03:47 pm  Wednesday February 10, 2021"	"WALLOWA OR +"	silt	5	range	50.2	71.22	70.18	48.20788	h	15	75	m
WE	wepp-225911	"03:47 pm  Wednesday February 10, 2021"	"WALLOWA OR +"	silt	5	range	22.86	62.7	45.97	57.77293	h	15	75	m
WE	wepp-226081	"03:48 pm  Wednesday February 10, 2021"	"WALLOWA OR +"	silt	5	range	37.48	62.04	39.77	78.62713	h	15	75	m
WE	wepp-226259	"03:48 pm  Wednesday February 10, 2021"	"WALLOWA OR +"	sand	5	range	59.87	77.33	53.42	72.57889	m	15	75	m
WE	wepp-226390	"03:48 pm  Wednesday February 10, 2021"	"WALLOWA OR +"	silt	5	range	20.04	51.78	50.89	101.6432	u	15	75	m
WE	wepp-226420	"03:48 pm  Wednesday February 10, 2021"	"WALLOWA OR +"	silt	5	range	13.44	56.97	57.75	54.16444	h	15	75	m
WE	wepp-226590	"03:49 pm  Wednesday February 10, 2021"	"WALLOWA OR +"	silt	5	range	36.06	52.67	30.85	123.8717	m	15	75	m
WE	wepp-226722	"03:49 pm  Wednesday February 10, 2021"	"WALLOWA OR +"	silt	5	range	64.58	100	72.62	41.66326	m	15	75	m
WE	wepp-226855	"03:49 pm  Wednesday February 10, 2021"	"WALLOWA OR +"	sand	5	range	50.67	81.29	44.55	47.34461	m	15	75	m
WE	wepp-226987	"03:50 pm  Wednesday February 10, 2021"	"WALLOWA OR +"	silt	5	range	78.72	67.18	55.63	18.288	m	15	75	m
WE	wepp-227119	"03:50 pm  Wednesday February 10, 2021"	"WALLOWA OR +"	silt	5	range	26	50.18	32.99	81.6059	u	15	75	m
WE	wepp-227149	"03:50 pm  Wednesday February 10, 2021"	"WALLOWA OR +"	silt	5	range	21.45	44.45	40.98	81.13419	l	15	75	m
WE	wepp-227240	"03:50 pm  Wednesday February 10, 2021"	"WALLOWA OR +"	silt	5	range	15.67	12.14	10.05	98.08934	u	15	75	m
WE	wepp-227275	"03:50 pm  Wednesday February 10, 2021"	"WALLOWA OR +"	silt	5	range	20	37.82	50	71.15464	u	15	75	m
WE	wepp-227305	"03:50 pm  Wednesday February 10, 2021"	"WALLOWA OR +"	silt	5	range	28.99	37.45	44.78	37.4018	l	15	75	m
WE	wepp-227405	"03:51 pm  Wednesday February 10, 2021"	"WALLOWA OR +"	silt	5	range	41.33	72.72	35.4	28.66138	u	15	75	m
WE	wepp-227435	"03:51 pm  Wednesday February 10, 2021"	"WALLOWA OR +"	silt	5	range	40.07	69.01	39.08	26.27293	l	15	75	m
WE	wepp-227527	"03:51 pm  Wednesday February 10, 2021"	"WALLOWA OR +"	silt	5	range	26.87	34.41	34.69	137.3396	u	15	75	m
WE	wepp-227557	"03:51 pm  Wednesday February 10, 2021"	"WALLOWA OR +"	silt	5	range	26.4	50.86	46.67	19.2109	u	15	75	m
WE	wepp-227587	"03:51 pm  Wednesday February 10, 2021"	"WALLOWA OR +"	silt	5	range	18.39	47.99	43.76	17.67403	l	15	75	m
WE	wepp-227682	"03:51 pm  Wednesday February 10, 2021"	"WALLOWA OR +"	silt	5	range	39.36	40.61	41.86	91.44	m	15	75	m
WE	wepp-227817	"03:52 pm  Wednesday February 10, 2021"	"WALLOWA OR +"	silt	5	range	30.67	30.65	32.06	155.8254	u	15	75	m
WE	wepp-227847	"03:52 pm  Wednesday February 10, 2021"	"WALLOWA OR +"	silt	5	range	27.58	50.47	37.42	30.59282	u	15	75	m
WE	wepp-227877	"03:52 pm  Wednesday February 10, 2021"	"WALLOWA OR +"	silt	5	range	25.33	67.06	38.63	31.37725	l	15	75	m
WE	wepp-227970	"03:52 pm  Wednesday February 10, 2021"	"WALLOWA OR +"	silt	5	range	20.67	29.66	28.59	95.01955	u	15	75	m
WE	wepp-228000	"03:52 pm  Wednesday February 10, 2021"	"WALLOWA OR +"	silt	5	range	39	91.04	46.63	14.11976	l	15	75	m
WE	wepp-228091	"03:52 pm  Wednesday February 10, 2021"	"WALLOWA OR +"	silt	5	range	27.33	31.05	41.91	154.9473	u	15	75	m
