WR	wepp-10420	"06:00 pm  Saturday June 12, 2010"	"BIRMINGHAM WB AP AL"	30	clay	graveled	200	4	13	15	50	130	25	20	inveg	ft
WR	wepp-10427	"06:01 pm  Saturday June 12, 2010"	"BIRMINGHAM WB AP AL"	30	clay	graveled	200	4	13	15	50	130	25	20	outrut	ft
WR	wepp-10432	"06:02 pm  Saturday June 12, 2010"	"BIRMINGHAM WB AP AL"	30	clay	paved	200	4	13	15	50	130	25	20	inveg	ft
WR	wepp-10437	"06:02 pm  Saturday June 12, 2010"	"BIRMINGHAM WB AP AL"	30	clay	paved	200	4	13	15	50	130	25	20	outrut	ft
WR	wepp-10630	"06:20 pm  Saturday June 12, 2010"	"SEELEY LAKE RS MT 22.55 +"	30	clay	graveled	200	4	13	15	50	130	25	20	outrut	ft
WR	wepp-10635	"06:20 pm  Saturday June 12, 2010"	"BIRMINGHAM WB AP AL"	30	clay	graveled	200	4	13	15	50	130	25	20	outrut	ft
WR	wepp-10640	"06:20 pm  Saturday June 12, 2010"	"BIRMINGHAM WB AP AL"	30	clay	paved	200	4	13	15	50	130	25	20	outrut	ft
WR	wepp-10771	"06:38 pm  Saturday June 12, 2010"	"BIRMINGHAM WB AP AL"	30	clay	paved	200	4	13	15	50	130	25	20	outrut	ft
WD	wepp-10807	"06:40 pm  Saturday June 12, 2010"	"BIRMINGHAM WB AP AL"	30	clay	tree5	50	0	30	100	20	tree5	50	30	5	100	20	0	ft	""
WD	wepp-10812	"06:41 pm  Saturday June 12, 2010"	"BIRMINGHAM WB AP AL"	30	clay	shrub	50	0	30	80	20	shrub	50	30	5	80	20	0	ft	""
WD	wepp-10818	"06:42 pm  Saturday June 12, 2010"	"BIRMINGHAM WB AP AL"	30	clay	short	50	0	30	40	20	short	50	30	5	40	20	0	ft	""
WD	wepp-11149	"07:22 pm  Saturday June 12, 2010"	"BIRMINGHAM WB AP AL"	30	clay	tree5	50	0	30	100	20	tree5	50	30	5	100	20	0	ft	""
WD	wepp-11155	"07:24 pm  Saturday June 12, 2010"	"BIRMINGHAM WB AP AL"	30	clay	shrub	50	0	30	80	20	shrub	50	30	5	80	20	0	ft	""
WD	wepp-11160	"07:24 pm  Saturday June 12, 2010"	"BIRMINGHAM WB AP AL"	30	clay	short	50	0	30	40	20	short	50	30	5	40	20	0	ft	""
WD	wepp-11192	"07:25 pm  Saturday June 12, 2010"	"BIRMINGHAM WB AP AL"	30	clay	shrub	50	0	30	80	20	shrub	50	30	5	80	20	0	ft	""
