WR	wepp-207678	"03:24 pm  Sunday May 10, 2020"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-120655	"04:31 pm  Friday May 15, 2020"	""				0	0	0	0	0		0	0	0	0	0	0		""
WD	wepp-55133	"08:41 am  Wednesday June 3, 2020"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-179545	"10:49 am  Wednesday June 10, 2020"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-27564	"10:22 pm  Friday June 12, 2020"	""				0	0	0	0	0		0	0	0	0	0	0		""
WD	wepp-46367	"01:57 pm  Saturday June 13, 2020"	""				0	0	0	0	0		0	0	0	0	0	0		""
WD	wepp-83830	"06:43 am  Thursday June 18, 2020"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-228435	"04:38 am  Tuesday June 23, 2020"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-240677	"12:46 pm  Tuesday June 23, 2020"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-188176	"11:32 am  Saturday July 25, 2020"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-202898	"08:40 pm  Saturday July 25, 2020"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-185812	"11:32 am  Friday July 31, 2020"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-185821	"11:32 am  Friday July 31, 2020"	""				0	0	0	0	0		0	0	0	0	0	0		""
