WR	wepp-154841	"08:36 am  Sunday July 23, 2017"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-161967	"07:06 am  Monday July 24, 2017"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-138425	"09:08 am  Wednesday July 26, 2017"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-214471	"04:52 pm  Thursday July 27, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-101542	"04:14 am  Saturday July 29, 2017"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-213549	"08:31 am  Saturday July 29, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-118394	"08:41 am  Wednesday August 2, 2017"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-136733	"05:27 pm  Thursday August 3, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-156548	"10:12 pm  Friday August 4, 2017"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-236699	"02:16 pm  Monday August 7, 2017"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-38630	"07:44 pm  Tuesday August 8, 2017"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-57260	"04:25 am  Thursday August 10, 2017"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-194189	"04:39 pm  Saturday August 12, 2017"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-218740	"01:44 am  Monday March 30, 2020"	""				0	0	0	0	0		0	0	0	0	0	0		""
WD	wepp-60164	"10:24 pm  Thursday April 2, 2020"	""				0	0	0	0	0		0	0	0	0	0	0		""
WD	wepp-188725	"09:46 am  Monday April 6, 2020"	""				0	0	0	0	0		0	0	0	0	0	0		""
WD	wepp-168635	"11:17 am  Friday April 10, 2020"	""				0	0	0	0	0		0	0	0	0	0	0		""
WD	wepp-132329	"10:46 pm  Tuesday April 14, 2020"	""				0	0	0	0	0		0	0	0	0	0	0		""
WD	wepp-71637	"03:37 am  Monday April 20, 2020"	""				0	0	0	0	0		0	0	0	0	0	0		""
WD	wepp-114666	"03:30 am  Tuesday April 28, 2020"	""				0	0	0	0	0		0	0	0	0	0	0		""
WD	wepp-27082	"07:50 am  Thursday May 7, 2020"	""				0	0	0	0	0		0	0	0	0	0	0		""
WD	wepp-228439	"12:40 pm  Monday May 11, 2020"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-80434	"01:31 pm  Thursday May 14, 2020"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-191106	"05:49 am  Monday May 18, 2020"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-18778	"11:45 am  Wednesday May 20, 2020"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-74072	"05:37 am  Friday May 22, 2020"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-175316	"06:22 am  Monday May 25, 2020"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-225530	"06:55 pm  Tuesday May 26, 2020"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-30372	"04:09 am  Thursday May 28, 2020"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-94847	"08:26 am  Saturday May 30, 2020"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-207002	"09:33 pm  Monday June 1, 2020"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-22063	"05:01 am  Saturday June 6, 2020"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-85770	"10:41 am  Monday June 8, 2020"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-70905	"06:48 am  Sunday June 14, 2020"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-93065	"01:22 pm  Thursday June 18, 2020"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-205404	"08:05 am  Monday June 22, 2020"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-215738	"08:06 pm  Friday June 26, 2020"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-227580	"03:48 am  Saturday June 27, 2020"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-167020	"07:24 pm  Wednesday July 1, 2020"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-194831	"06:03 pm  Thursday July 2, 2020"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-26263	"05:52 pm  Sunday July 5, 2020"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-67583	"11:58 pm  Monday July 6, 2020"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-139693	"07:36 am  Friday July 10, 2020"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-169401	"08:20 am  Saturday July 11, 2020"	""				0	0	0	0	0		0	0	0	0	0	0		""
WD	wepp-97114	"02:19 pm  Thursday July 16, 2020"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-227139	"07:50 am  Monday July 20, 2020"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-9906	"02:37 am  Tuesday July 21, 2020"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-10345	"02:52 am  Tuesday July 21, 2020"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-213471	"04:55 am  Sunday July 26, 2020"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-225488	"02:18 pm  Sunday July 26, 2020"	""				0	0	0	0	0		0	0	0	0	0	0		""
WD	wepp-67201	"01:55 pm  Tuesday August 4, 2020"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-68682	"02:52 pm  Tuesday August 4, 2020"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-145732	"08:34 pm  Friday August 7, 2020"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-213662	"04:08 pm  Monday August 10, 2020"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-230452	"10:10 am  Tuesday August 11, 2020"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-50941	"04:59 am  Tuesday June 8, 2021"	""	1			0	0	0	0	0	0	0	0		
