WE	wepp-27717	"09:08 am  Sunday January 13, 2013"	"DENVER WB AP CO"	clay	20	forest	0	50	30	300	l			ft
WE	wepp-538	"05:37 pm  Sunday January 13, 2013"	"MOUNT SHASTA CA"	clay	20	chap	0	50	30	100	l	80	0	m
WE	wepp-786	"05:59 pm  Sunday January 13, 2013"	"MOUNT SHASTA CA"	clay	20	chap	0	50	30	100	l	100	0	m
WE	wepp-856	"06:01 pm  Sunday January 13, 2013"	"MOUNT SHASTA CA"	clay	20	chap	0	50	30	100	l	0	100	m
WE	wepp-933	"06:04 pm  Sunday January 13, 2013"	"MOUNT SHASTA CA"	clay	20	chap	0	50	30	100	l	0	0	m
WE	wepp-983	"06:05 pm  Sunday January 13, 2013"	"MOUNT SHASTA CA"	clay	20	chap	0	50	30	100	l	33	33	m
WE	wepp-2787	"09:42 pm  Sunday January 13, 2013"	"MOUNT SHASTA CA"	clay	20	chap	0	50	30	100	l	100	0	m
WE	wepp-2883	"09:45 pm  Sunday January 13, 2013"	"MOUNT SHASTA CA"	clay	20	chap	0	50	30	100	l	0	100	m
WE	wepp-2933	"09:46 pm  Sunday January 13, 2013"	"MOUNT SHASTA CA"	clay	20	chap	0	50	30	200	l	0	100	m
WE	wepp-2983	"09:47 pm  Sunday January 13, 2013"	"MOUNT SHASTA CA"	clay	20	chap	0	50	30	200	l	0	0	m
WE	wepp-3033	"09:47 pm  Sunday January 13, 2013"	"MOUNT SHASTA CA"	clay	20	chap	0	50	30	200	l	33	33	m
WE	wepp-10626	"07:52 am  Monday January 14, 2013"	"MOUNT SHASTA CA"	clay	20	chap	0	50	30	100	l	80	0	m
WE	wepp-10847	"07:57 am  Monday January 14, 2013"	"MOUNT SHASTA CA"	clay	20	chap	0	50	30	100	m	80	0	m
WE	wepp-10949	"07:58 am  Monday January 14, 2013"	"MOUNT SHASTA CA"	clay	20	chap	0	50	30	100	h	80	0	m
