WE	wepp-220423	"11:12 am  Friday March 13, 2015"	"Orense, Spain +"	clay	20	forest	0	50	30	100	l			m
WE	wepp-224432	"12:37 pm  Friday March 13, 2015"	"Orense, Spain bueno +"	silt	20	chap	65	53	40	148	m	80	0	m
WE	wepp-225027	"12:46 pm  Friday March 13, 2015"	"Orense, Spain bueno +"	silt	20	chap	55	51	47	169	m	80	0	m
WE	wepp-225319	"12:49 pm  Friday March 13, 2015"	"Orense, Spain bueno +"	silt	20	chap	43	36	28	142	m	80	0	m
WE	wepp-225941	"12:55 pm  Friday March 13, 2015"	"Orense, Spain bueno +"	silt	20	chap	46	34	33	160	m	80	0	m
WE	wepp-226189	"12:57 pm  Friday March 13, 2015"	"Orense, Spain bueno +"	silt	20	chap	54	52	55	148	m	80	0	m
WE	wepp-226434	"12:58 pm  Friday March 13, 2015"	"Orense, Spain bueno +"	silt	20	chap	47	52	55	169	m	80	0	m
WE	wepp-226673	"12:59 pm  Friday March 13, 2015"	"Orense, Spain bueno +"	silt	20		38	43	28	142	m	80	0	m
WE	wepp-226924	"01:00 pm  Friday March 13, 2015"	"Orense, Spain bueno +"	silt	20	forest	46	40	25	114	m	80	0	m
WE	wepp-227163	"01:02 pm  Friday March 13, 2015"	"Orense, Spain bueno +"	silt	20	forest	46	34	33	160	m	80	0	m
WE	wepp-227393	"01:03 pm  Friday March 13, 2015"	"Orense, Spain bueno +"	silt	20	forest	40	35	35	216	m	80	0	m
WE	wepp-227616	"01:04 pm  Friday March 13, 2015"	"Orense, Spain bueno +"	silt	20	forest	46	54	27	154	m	80	0	m
WE	wepp-227846	"01:05 pm  Friday March 13, 2015"	"Orense, Spain bueno +"	silt	20	forest	43	46	30	164	m	80	0	m
WE	wepp-228074	"01:06 pm  Friday March 13, 2015"	"Orense, Spain bueno +"	silt	20	forest	48	44	35	216	m	80	0	m
