WE	wepp-204040	"03:41 am  Friday March 13, 2015"	"Gerona, Spaintubu +"	clay	20	range	0	50	30	200	h	15	75	m
WE	wepp-213268	"09:15 am  Friday March 13, 2015"	"Orense, Spain junior +"	silt	20	chap	65	53	54	148	l	20	0	m
WE	wepp-213512	"09:19 am  Friday March 13, 2015"	"Orense, Spain junior +"	silt	20		55	51	47	169	l	20	0	m
WE	wepp-213673	"09:20 am  Friday March 13, 2015"	"Orense, Spain junior +"	silt	20	forest	43	36	28	142	l	20	0	m
WE	wepp-213821	"09:21 am  Friday March 13, 2015"	"Orense, Spain junior +"	silt	20		46	37	25	114	l	20	0	m
WE	wepp-213965	"09:22 am  Friday March 13, 2015"	"Orense, Spain junior +"	silt	20	forest	46	37	33	160	l	20	0	m
WE	wepp-214133	"09:24 am  Friday March 13, 2015"	"Orense, Spain junior +"	silt	20		40	36	35	216	l	20	0	m
WE	wepp-214281	"09:24 am  Friday March 13, 2015"	"Orense, Spain junior +"	silt	20	forest	40	36	35	216	l	20	0	m
WE	wepp-214450	"09:25 am  Friday March 13, 2015"	"Orense, Spain junior +"	silt	20	forest	54	42	27	154	l	20	0	m
WE	wepp-214641	"09:26 am  Friday March 13, 2015"	"Orense, Spain junior +"	silt	20	forest	46	39	30	164	l	20	0	m
WE	wepp-214790	"09:28 am  Friday March 13, 2015"	"Orense, Spain junior +"	silt	20	forest	48	42	35	216	l	20	0	m
WE	wepp-215537	"09:45 am  Friday March 13, 2015"	"Orense, Spain junior +"	silt	20	forest	48	42	35	216	l	20	0	m
