WE	wepp-28335	"02:37 am  Tuesday December 13, 2016"	"BIRMINGHAM WB AP AL"	loam	20	forest	0	50	30	100	l			m
WR	wepp-28547	"02:42 am  Tuesday December 13, 2016"	"BIRMINGHAM WB AP AL"	30	clay	native	200	4	13	15	50	130	25	20	inveg	ft
WR	wepp-28588	"02:46 am  Tuesday December 13, 2016"	"BIRMINGHAM WB AP AL"	30	loam	native	200	4	13	15	50	130	25	20	inveg	ft
WD	wepp-40203	"01:40 am  Wednesday December 14, 2016"	"Orense, Spain + +"	30	loam	tree20	50	0	30	100	20	shrub	50	30	5	80	20	0	m	"Envernallas"
WD	wepp-40208	"01:41 am  Wednesday December 14, 2016"	"Orense, Spain + +"	30	loam	tree20	50	0	30	100	20	shrub	50	30	5	80	20	0	m	"Envernallas"
WD	wepp-40216	"01:45 am  Wednesday December 14, 2016"	"Orense, Spain + +"	30	sand	tree20	50	0	30	100	20	shrub	50	30	5	80	20	0	m	"Envernallas"
WD	wepp-40221	"01:46 am  Wednesday December 14, 2016"	"Orense, Spain + +"	30	sand	tree20	50	0	30	100	20	shrub	50	30	5	80	20	0	m	"Envernallas"
WD	wepp-40231	"01:48 am  Wednesday December 14, 2016"	"Orense, Spain + +"	30	sand	tree20	50	0	30	100	20	shrub	50	30	5	80	20	0	m	"Envernallas"
WD	wepp-40236	"01:48 am  Wednesday December 14, 2016"	"Orense, Spain + +"	30	sand	tree5	50	0	30	100	20	shrub	50	30	5	80	20	0	m	"Envernallas"
WD	wepp-40299	"01:51 am  Wednesday December 14, 2016"	"Orense, Spain + +"	30	sand	high	50	0	30	45	20	shrub	50	30	5	80	20	0	m	"Envernallas"
WE	wepp-40311	"01:55 am  Wednesday December 14, 2016"	"Orense, Spain + +"	clay	20	forest	0	50	30	100	m			m
WE	wepp-40565	"01:59 am  Wednesday December 14, 2016"	"Orense, Spain + +"	loam	20	range	0	50	30	100	m	15	75	m
WE	wepp-41011	"02:20 am  Wednesday December 14, 2016"	"Orense, Spain + +"	sand	20	forest	0	50	30	100	m			m
WE	wepp-41268	"02:30 am  Wednesday December 14, 2016"	"Orense, Spain + +"	sand	20	range	0	50	30	100	m	15	75	m
WE	wepp-95511	"03:22 am  Friday December 16, 2016"	"Orense, Spain + +"	loam	20	chap	0	50	30	100	h	80	0	m
WE	wepp-96184	"04:47 am  Friday December 16, 2016"	"Orense, Spain + +"	loam	20	chap	30	50	0	100	h	80	0	m
WE	wepp-96469	"04:51 am  Friday December 16, 2016"	"Orense, Spain + +"	loam	20	chap	50	20	0	100	h	80	0	m
WE	wepp-96693	"04:52 am  Friday December 16, 2016"	"Orense, Spain + +"	loam	20	chap	20	50	40	100	h	80	0	m
WE	wepp-96923	"05:07 am  Friday December 16, 2016"	"Orense, Spain + +"	loam	20	chap	20	50	40	100	h	80	0	m
