WE	wepp-107162	"05:23 pm  Monday April 24, 2017"	"BIRMINGHAM WB AP AL"	clay	20	forest	0	50	30	100	l			m
WE	wepp-107919	"05:54 pm  Monday April 24, 2017"	"Gerona Sierra, Spain +"	sand	20	forest	0	50	30	100	m			m
WE	wepp-10431	"03:09 am  Saturday April 29, 2017"	"guadalajara + +"	silt	20	forest	10	80	10	150	h			m
WE	wepp-10669	"03:15 am  Saturday April 29, 2017"	"guadalajara + +"	silt	20	forest	15	75	10	180	h			m
WE	wepp-10964	"03:21 am  Saturday April 29, 2017"	"guadalajara + +"	silt	20	forest	17	22	25	150	h			m
WE	wepp-12424	"06:00 am  Saturday April 29, 2017"	"guadalajara + +"	silt	20	forest	20	22	33	150	h			m
WE	wepp-12709	"06:02 am  Saturday April 29, 2017"	"guadalajara + +"	silt	20	forest	22	33	50	130	h			m
WE	wepp-12941	"06:04 am  Saturday April 29, 2017"	"guadalajara + +"	silt	20	forest	20	22	50	100	h			m
WE	wepp-13238	"06:12 am  Saturday April 29, 2017"	"guadalajara + +"	silt	20	forest	0	22	50	100	h			m
WE	wepp-13483	"06:14 am  Saturday April 29, 2017"	"guadalajara + +"	silt	20	forest	20	22	33	150	h			m
WE	wepp-13778	"06:18 am  Saturday April 29, 2017"	"guadalajara + +"	silt	20	forest	14	22	33	150	h			m
WE	wepp-14009	"06:24 am  Saturday April 29, 2017"	"guadalajara + +"	silt	20	forest	20	33	50	200	h			m
WE	wepp-14236	"06:25 am  Saturday April 29, 2017"	"guadalajara + +"	silt	20	forest	20	33	50	300	h			m
WE	wepp-14462	"06:26 am  Saturday April 29, 2017"	"guadalajara + +"	silt	20	forest	20	33	50	250	h			m
WE	wepp-15275	"07:21 am  Saturday April 29, 2017"	"guadalajara + +"	silt	20	forest	14	22	33	300	h			m
WE	wepp-15509	"07:24 am  Saturday April 29, 2017"	"guadalajara + +"	silt	20	forest	20	33	50	200	h			m
WE	wepp-15780	"07:30 am  Saturday April 29, 2017"	"guadalajara + +"	silt	20	forest	20	22	50	160	h			m
WE	wepp-16162	"07:45 am  Saturday April 29, 2017"	"guadalajara + +"	silt	20	forest	22	50	100	200	h			m
