WR	wepp-236308	"01:55 am  Wednesday August 16, 2017"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-36921	"11:58 am  Saturday August 19, 2017"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-190003	"11:34 pm  Sunday August 20, 2017"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-148956	"11:05 pm  Tuesday August 22, 2017"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-179842	"01:46 pm  Friday August 25, 2017"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-195878	"05:36 pm  Saturday August 26, 2017"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-33603	"05:54 am  Tuesday August 29, 2017"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-84997	"11:47 pm  Wednesday August 30, 2017"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-102413	"07:21 am  Friday September 1, 2017"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-140274	"09:39 am  Sunday September 3, 2017"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-180328	"06:01 pm  Tuesday September 5, 2017"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-192484	"02:25 pm  Wednesday September 6, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-194906	"06:29 pm  Wednesday September 6, 2017"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-236808	"05:35 pm  Saturday September 9, 2017"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-17388	"10:16 am  Monday September 11, 2017"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-48813	"01:41 pm  Wednesday September 13, 2017"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-126421	"00:08 am  Sunday September 17, 2017"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-74662	"07:44 pm  Monday September 18, 2017"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-121300	"03:57 am  Wednesday September 20, 2017"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-173226	"10:32 pm  Thursday September 21, 2017"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-177743	"07:39 am  Friday September 22, 2017"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-18160	"06:43 pm  Saturday September 23, 2017"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-138934	"04:50 am  Sunday October 1, 2017"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-140759	"07:47 am  Sunday October 1, 2017"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-210923	"01:59 pm  Monday October 2, 2017"	""	1			0	0	0	0	0	0	0	0		
