za60216f5.ip.fs.fed.us	02:35 am  Tuesday January 1, 2008	3	  Blues 20 Plus AUSTIN 3 S OR +         
za6077012.ip.fs.fed.us	08:26 am  Wednesday January 2, 2008	30	  Sheppard Creek +                      
za6077012.ip.fs.fed.us	08:26 am  Wednesday January 2, 2008	30	  Sheppard Creek +                      
za6077012.ip.fs.fed.us	08:27 am  Wednesday January 2, 2008	30	  Sheppard Creek +                      
za6077012.ip.fs.fed.us	08:27 am  Wednesday January 2, 2008	30	  Sheppard Creek +                      
za6077012.ip.fs.fed.us	08:27 am  Wednesday January 2, 2008	30	  Sheppard Creek +                      
za6077012.ip.fs.fed.us	08:29 am  Wednesday January 2, 2008	30	  Sheppard Creek +                      
za6077012.ip.fs.fed.us	08:29 am  Wednesday January 2, 2008	30	  Sheppard Creek +                      
za6077012.ip.fs.fed.us	08:31 am  Wednesday January 2, 2008	30	  Sheppard Creek +                      
za6077012.ip.fs.fed.us	08:31 am  Wednesday January 2, 2008	30	  Sheppard Creek +                      
za6077012.ip.fs.fed.us	08:31 am  Wednesday January 2, 2008	30	  Sheppard Creek +                      
za6077012.ip.fs.fed.us	08:34 am  Wednesday January 2, 2008	30	  Sheppard Creek +                      
za6077012.ip.fs.fed.us	08:36 am  Wednesday January 2, 2008	30	  Sheppard Creek +                      
za6077012.ip.fs.fed.us	08:39 am  Wednesday January 2, 2008	30	  Sheppard Creek +                      
za6077012.ip.fs.fed.us	08:39 am  Wednesday January 2, 2008	30	  Sheppard Creek +                      
za6077012.ip.fs.fed.us	08:42 am  Wednesday January 2, 2008	30	  Sheppard Creek +                      
za6077012.ip.fs.fed.us	08:42 am  Wednesday January 2, 2008	30	  Sheppard Creek +                      
za6077012.ip.fs.fed.us	08:44 am  Wednesday January 2, 2008	30	  Sheppard Creek +                      
za6077012.ip.fs.fed.us	08:45 am  Wednesday January 2, 2008	30	  Sheppard Creek +                      
za6077012.ip.fs.fed.us	08:51 am  Wednesday January 2, 2008	30	  Sheppard Creek +                      
za6077012.ip.fs.fed.us	08:52 am  Wednesday January 2, 2008	30	  Sheppard Creek +                      
za6077012.ip.fs.fed.us	08:53 am  Wednesday January 2, 2008	30	  Sheppard Creek +                      
za6077012.ip.fs.fed.us	08:53 am  Wednesday January 2, 2008	30	  Sheppard Creek +                      
za6077012.ip.fs.fed.us	09:14 am  Wednesday January 2, 2008	30	  Sheppard Creek +                      
za6077012.ip.fs.fed.us	09:15 am  Wednesday January 2, 2008	30	  Sheppard Creek +                      
za6077012.ip.fs.fed.us	09:15 am  Wednesday January 2, 2008	30	  Sheppard Creek +                      
za6077012.ip.fs.fed.us	09:16 am  Wednesday January 2, 2008	30	  Sheppard Creek +                      
za6077012.ip.fs.fed.us	09:16 am  Wednesday January 2, 2008	30	  Sheppard Creek +                      
za6077012.ip.fs.fed.us	09:16 am  Wednesday January 2, 2008	30	  Sheppard Creek +                      
za6077012.ip.fs.fed.us	09:17 am  Wednesday January 2, 2008	30	  Sheppard Creek +                      
za6077012.ip.fs.fed.us	09:17 am  Wednesday January 2, 2008	30	  Sheppard Creek +                      
za6077012.ip.fs.fed.us	09:17 am  Wednesday January 2, 2008	30	  Sheppard Creek +                      
za6077012.ip.fs.fed.us	09:18 am  Wednesday January 2, 2008	30	  Sheppard Creek +                      
za6077012.ip.fs.fed.us	09:19 am  Wednesday January 2, 2008	30	  Sheppard Creek +                      
za6077012.ip.fs.fed.us	09:22 am  Wednesday January 2, 2008	30	  Sheppard Creek +                      
za6077012.ip.fs.fed.us	09:22 am  Wednesday January 2, 2008	30	  Sheppard Creek +                      
za6077012.ip.fs.fed.us	09:23 am  Wednesday January 2, 2008	30	  Sheppard Creek +                      
za6077012.ip.fs.fed.us	09:24 am  Wednesday January 2, 2008	30	  Sheppard Creek +                      
za6077012.ip.fs.fed.us	09:30 am  Wednesday January 2, 2008	30	  Sheppard Creek +                      
za6077012.ip.fs.fed.us	09:30 am  Wednesday January 2, 2008	30	  Sheppard Creek +                      
za6077012.ip.fs.fed.us	09:31 am  Wednesday January 2, 2008	30	  Sheppard Creek +                      
za6077012.ip.fs.fed.us	09:32 am  Wednesday January 2, 2008	30	  Sheppard Creek +                      
za6077012.ip.fs.fed.us	09:33 am  Wednesday January 2, 2008	30	  Sheppard Creek +                      
