z166222-221.ip.fs.fed.us	01:04 am  Thursday January 1, 2009	my steve +	 LATT=  46.36 LONG= 113.94
z166222-221.ip.fs.fed.us	09:39 am  Friday January 2, 2009	BRIGHT ANGEL RS AZ	 LATT=  36.20 LONG=-112.07
63-202-42-120.fire.ca.gov	03:37 pm  Friday January 2, 2009	SAN BERNARDINO CA	 LATT=  34.13 LONG=-117.27
128.111.110.180	02:47 pm  Sunday January 4, 2009	SANTA BARBARA CA +	 LATT=  34.42 LONG=-119.72
128.111.110.180	02:49 pm  Sunday January 4, 2009	SANTA BARBARA CA +	 LATT=  34.42 LONG=-119.72
128.111.110.180	02:50 pm  Sunday January 4, 2009	SANTA BARBARA CA +	 LATT=  34.42 LONG=-119.72
128.111.110.180	02:51 pm  Sunday January 4, 2009	SANTA BARBARA CA +	 LATT=  34.42 LONG=-119.72
128.111.110.180	02:51 pm  Sunday January 4, 2009	SANTA BARBARA CA +	 LATT=  34.42 LONG=-119.72
128.111.110.180	02:54 pm  Sunday January 4, 2009	SANTA BARBARA CA +	 LATT=  34.42 LONG=-119.72
128.111.110.180	02:55 pm  Sunday January 4, 2009	SANTA BARBARA CA +	 LATT=  34.42 LONG=-119.72
128.111.110.180	02:56 pm  Sunday January 4, 2009	SANTA BARBARA CA +	 LATT=  34.42 LONG=-119.72
128.111.110.180	02:56 pm  Sunday January 4, 2009	SANTA BARBARA CA +	 LATT=  34.42 LONG=-119.72
128.111.110.180	02:57 pm  Sunday January 4, 2009	SANTA BARBARA CA +	 LATT=  34.42 LONG=-119.72
128.111.110.180	02:58 pm  Sunday January 4, 2009	SANTA BARBARA CA +	 LATT=  34.42 LONG=-119.72
128.111.110.180	02:59 pm  Sunday January 4, 2009	SANTA BARBARA CA +	 LATT=  34.42 LONG=-119.72
128.111.110.180	03:00 pm  Sunday January 4, 2009	SANTA BARBARA CA +	 LATT=  34.42 LONG=-119.72
128.111.110.180	03:01 pm  Sunday January 4, 2009	SANTA BARBARA CA +	 LATT=  34.42 LONG=-119.72
128.111.110.180	03:01 pm  Sunday January 4, 2009	SANTA BARBARA CA +	 LATT=  34.42 LONG=-119.72
128.111.110.180	03:02 pm  Sunday January 4, 2009	SANTA BARBARA CA +	 LATT=  34.42 LONG=-119.72
128.111.110.180	03:04 pm  Sunday January 4, 2009	SANTA BARBARA CA +	 LATT=  34.42 LONG=-119.72
128.111.110.180	03:04 pm  Sunday January 4, 2009	SANTA BARBARA CA +	 LATT=  34.42 LONG=-119.72
128.111.110.180	03:05 pm  Sunday January 4, 2009	SANTA BARBARA CA +	 LATT=  34.42 LONG=-119.72
128.111.110.180	03:06 pm  Sunday January 4, 2009	SANTA BARBARA CA +	 LATT=  34.42 LONG=-119.72
128.111.110.180	03:06 pm  Sunday January 4, 2009	SANTA BARBARA CA +	 LATT=  34.42 LONG=-119.72
128.111.110.180	03:07 pm  Sunday January 4, 2009	SANTA BARBARA CA +	 LATT=  34.42 LONG=-119.72
128.111.110.180	03:08 pm  Sunday January 4, 2009	SANTA BARBARA CA +	 LATT=  34.42 LONG=-119.72
128.111.110.180	03:09 pm  Sunday January 4, 2009	SANTA BARBARA CA +	 LATT=  34.42 LONG=-119.72
128.111.110.180	03:09 pm  Sunday January 4, 2009	SANTA BARBARA CA +	 LATT=  34.42 LONG=-119.72
128.111.110.180	03:10 pm  Sunday January 4, 2009	SANTA BARBARA CA +	 LATT=  34.42 LONG=-119.72
128.111.110.180	03:11 pm  Sunday January 4, 2009	SANTA BARBARA CA +	 LATT=  34.42 LONG=-119.72
128.111.110.180	03:12 pm  Sunday January 4, 2009	SANTA BARBARA CA +	 LATT=  34.42 LONG=-119.72
128.111.110.180	03:13 pm  Sunday January 4, 2009	SANTA BARBARA CA +	 LATT=  34.42 LONG=-119.72
128.111.110.180	03:13 pm  Sunday January 4, 2009	SANTA BARBARA CA +	 LATT=  34.42 LONG=-119.72
128.111.110.180	03:14 pm  Sunday January 4, 2009	SANTA BARBARA CA +	 LATT=  34.42 LONG=-119.72
128.111.110.180	03:15 pm  Sunday January 4, 2009	SANTA BARBARA CA +	 LATT=  34.42 LONG=-119.72
128.111.110.180	03:15 pm  Sunday January 4, 2009	SANTA BARBARA CA +	 LATT=  34.42 LONG=-119.72
128.111.110.180	03:16 pm  Sunday January 4, 2009	SANTA BARBARA CA +	 LATT=  34.42 LONG=-119.72
128.111.110.180	03:16 pm  Sunday January 4, 2009	SANTA BARBARA CA +	 LATT=  34.42 LONG=-119.72
128.111.110.180	03:17 pm  Sunday January 4, 2009	SANTA BARBARA CA +	 LATT=  34.42 LONG=-119.72
128.111.110.180	03:17 pm  Sunday January 4, 2009	SANTA BARBARA CA +	 LATT=  34.42 LONG=-119.72
128.111.110.180	03:18 pm  Sunday January 4, 2009	SANTA BARBARA CA +	 LATT=  34.42 LONG=-119.72
128.111.110.180	03:19 pm  Sunday January 4, 2009	SANTA BARBARA CA +	 LATT=  34.42 LONG=-119.72
128.111.110.180	03:19 pm  Sunday January 4, 2009	SANTA BARBARA CA +	 LATT=  34.42 LONG=-119.72
128.111.110.180	03:20 pm  Sunday January 4, 2009	SANTA BARBARA CA +	 LATT=  34.42 LONG=-119.72
128.111.110.180	03:21 pm  Sunday January 4, 2009	SANTA BARBARA CA +	 LATT=  34.42 LONG=-119.72
128.111.110.180	03:22 pm  Sunday January 4, 2009	SANTA BARBARA CA +	 LATT=  34.42 LONG=-119.72
128.111.110.180	03:23 pm  Sunday January 4, 2009	SANTA BARBARA CA +	 LATT=  34.42 LONG=-119.72
128.111.110.180	03:24 pm  Sunday January 4, 2009	SANTA BARBARA CA +	 LATT=  34.42 LONG=-119.72
128.111.110.180	03:24 pm  Sunday January 4, 2009	SANTA BARBARA CA +	 LATT=  34.42 LONG=-119.72
128.111.110.180	03:25 pm  Sunday January 4, 2009	SANTA BARBARA CA +	 LATT=  34.42 LONG=-119.72
128.111.110.180	03:26 pm  Sunday January 4, 2009	SANTA BARBARA CA +	 LATT=  34.42 LONG=-119.72
128.111.110.180	03:27 pm  Sunday January 4, 2009	SANTA BARBARA CA +	 LATT=  34.42 LONG=-119.72
128.111.110.180	03:28 pm  Sunday January 4, 2009	SANTA BARBARA CA +	 LATT=  34.42 LONG=-119.72
128.111.110.180	03:28 pm  Sunday January 4, 2009	SANTA BARBARA CA +	 LATT=  34.42 LONG=-119.72
128.111.110.180	03:29 pm  Sunday January 4, 2009	SANTA BARBARA CA +	 LATT=  34.42 LONG=-119.72
128.111.110.180	03:30 pm  Sunday January 4, 2009	SANTA BARBARA CA +	 LATT=  34.42 LONG=-119.72
